Record_ID,Store_Name,Store_Street_Address,City,State,Zip_Code,County,Store_Type,Latitude,Longitude,ObjectId
1394792,Asia Supermarket Group,4925 Windsor Hl,Windcrest,TX,78239,BEXAR,Super Store,29.511795,-98.392914,1214
1632382,Sisters African Store,2373 Austin Hwy,San Antonio,TX,78218,BEXAR,Grocery Store,29.509039,-98.410248,2149
237993,HEB 262,5601 BANDERA RD,SAN ANTONIO,TX,78238,BEXAR,Supermarket,29.480915,-98.59549,4174
235244,HEB 385,300 W Olmos Dr,San Antonio,TX,78212,BEXAR,Supermarket,29.470903,-98.495605,4940
286645,HEB 556,2118 Fredericksburg Rd,San Antonio,TX,78201,BEXAR,Supermarket,29.464632,-98.526077,5423
226971,CULEBRA MEAT MARKET 01,2800 Culebra Rd,San Antonio,TX,78228,BEXAR,Supermarket,29.447973,-98.554283,5849
230094,Walmart 3279,2100 SE LOOP 410,SAN ANTONIO,TX,78220,BEXAR,Super Store,29.400415,-98.3862,6245
264028,Target Store T1785,11311 Bandera Rd,San Antonio,TX,78250,BEXAR,Super Store,29.547831,-98.661545,6443
231219,LACKLAND AFB COMMISSARY 622,2250 Foulois St,Lackland AFB,TX,78236,BEXAR,Supermarket,29.381905,-98.612213,6668
309511,Target T 1523,4522 Fredericksburg Rd,Balcones Hts,TX,78201,BEXAR,Super Store,29.491545,-98.552788,7527
381178,Walmart Supercenter 5146,8030 Bandera Rd,San Antonio,TX,78250,BEXAR,Super Store,29.518684,-98.633316,8441
273865,HEB 585,1520 Austin Hwy,San Antonio,TX,78218,BEXAR,Supermarket,29.494255,-98.432617,8716
298213,HEB 444,3323 SE Military Dr,San Antonio,TX,78223,BEXAR,Supermarket,29.351837,-98.433769,9272
334282,CULEBRA SUPER MEAT MARKET 03,6060 Old Pearsall Rd,San Antonio,TX,78242,BEXAR,Super Store,29.343521,-98.61689,9336
452171,HEB 480,9900 Wurzbach Rd,San Antonio,TX,78230,BEXAR,Supermarket,29.531506,-98.559929,10148
347973,HEB 189,2130 Culebra Rd,San Antonio,TX,78228,BEXAR,Supermarket,29.446712,-98.541122,10653
343284,Las Americas Latin Market,6623 San Pedro Ave,San Antonio,TX,78216,BEXAR,Grocery Store,29.499311,-98.499275,11425
435990,Fort Sam Houston Commissary 614,2400 Funston Rd,San Antonio,TX,78234,BEXAR,Supermarket,29.449347,-98.445457,11822
256954,Walmart SUPERCENTER 2864,6703 W Loop 1604 N,San Antonio,TX,78254,BEXAR,Super Store,29.500027,-98.702553,12009
319426,Walmart Supercenter 1198,1515 N Loop 1604 E,San Antonio,TX,78232,BEXAR,Super Store,29.610188,-98.470848,12317
299686,HEB 395,12777 W Interstate 10,San Antonio,TX,78230,BEXAR,Supermarket,29.562449,-98.590225,12735
320878,HEB 178,6839 San Pedro Ave,San Antonio,TX,78216,BEXAR,Supermarket,29.503614,-98.500298,14790
361678,HEB 494,10660 W Fm 471,San Antonio,TX,78251,BEXAR,Supermarket,29.493048,-98.702126,15280
375330,HEB 398,2929 Thousand Oaks Dr,San Antonio,TX,78247,BEXAR,Supermarket,29.576752,-98.440575,16171
474999,Walmart SUPERCENTER  5145,1603 Vance Jackson Rd,San Antonio,TX,78213,BEXAR,Super Store,29.488281,-98.535042,16711
518222,Walmart SUPERCENTER  1347,1430 Austin Hwy,San Antonio,TX,78209,BEXAR,Super Store,29.491816,-98.43779,18392
503762,CHICHO BOYS FRUIT MARKET,1631 S Laredo St,San Antonio,TX,78207,BEXAR,Other,29.411497,-98.510216,18874
542428,Walmart SUPERCENTER  765,16503 Nacogdoches Rd,San Antonio,TX,78247,BEXAR,Super Store,29.590845,-98.353821,19400
540781,HEB 294,6580 Fm 78,San Antonio,TX,78244,BEXAR,Supermarket,29.479342,-98.35907,19748
433542,HUNG PHONG ORIENTAL SUPERMARKET INC,243 Remount,San Antonio,TX,78218,BEXAR,Other,29.493053,-98.394295,20282
428161,Culebra Meat Market 07,3017 Blanco Rd,San Antonio,TX,78212,BEXAR,Grocery Store,29.4748,-98.507896,20996
506662,Walmart 2404,8500 JONES MALTSBERGER RD,SAN ANTONIO,TX,78216,BEXAR,Super Store,29.514797,-98.48188,22312
394448,Walmart SUPERCENTER  2599,5555 De Zavala Rd,San Antonio,TX,78249,BEXAR,Super Store,29.563128,-98.595367,23919
598495,HEB 555,910 Kitty Hawk Rd,Universal City,TX,78148,BEXAR,Supermarket,29.547682,-98.313171,24196
367807,Target Store T1354,18288 Blanco Rd,San Antonio,TX,78258,BEXAR,Super Store,29.610363,-98.508308,24465
595234,HEB 205,721 Castroville Rd,San Antonio,TX,78237,BEXAR,Supermarket,29.418177,-98.554306,24841
450132,NORTHSIDE ORIENTAL MKT,2024 Bandera Rd,San Antonio,TX,78228,BEXAR,Other,29.473612,-98.578606,25162
420167,HEB 384,6030 Montgomery,San Antonio,TX,78239,BEXAR,Supermarket,29.510714,-98.370651,26108
487405,HEB 235,9255 Grissom Rd,San Antonio,TX,78251,BEXAR,Supermarket,29.484076,-98.665482,27511
485023,THRIF T MART,6703 S Zarzamora St,San Antonio,TX,78224,BEXAR,Other,29.361315,-98.534637,27624
485685,La Michoacana Meat Market San Antonio 1,2323 SW Military Dr,San Antonio,TX,78224,BEXAR,Supermarket,29.356697,-98.531197,27911
485714,Whole Foods Market 10075,255 E Basse Rd,San Antonio,TX,78209,BEXAR,Super Store,29.493229,-98.479729,27920
426876,HEB Central Market 191,4821 Broadway St,San Antonio,TX,78209,BEXAR,Supermarket,29.470989,-98.46328,29466
424919,Walmart Supercenter 2239,8923 W Military Dr,San Antonio,TX,78245,BEXAR,Super Store,29.442692,-98.642426,29544
1597818,Juliana's Groceries,207 Ferris Ave,San Antonio,TX,78220,BEXAR,Grocery Store,29.414446,-98.436493,30690
514998,Ali Baba International Food Market Inc,9307 Wurzbach Rd,San Antonio,TX,78240,BEXAR,Super Store,29.529716,-98.565056,31673
555923,HEB 195,11551 West Ave,San Antonio,TX,78213,BEXAR,Supermarket,29.547018,-98.510834,31680
555070,HEB 106,1015 S WW White Rd,San Antonio,TX,78220,BEXAR,Supermarket,29.414858,-98.406593,31867
604684,HEB 566,24165 IH 10 W Ste 300,San Antonio,TX,78257,BEXAR,Supermarket,29.664692,-98.631622,31937
467419,HEB 466,108 N Rosillo St,San Antonio,TX,78207,BEXAR,Supermarket,29.428383,-98.524544,32928
494990,HEB 211,415 N New Braunfels Ave,San Antonio,TX,78202,BEXAR,Supermarket,29.424461,-98.461296,33594
