Record_ID,Store_Name,Store_Street_Address,City,State,Zip_Code,County,Store_Type,Latitude,Longitude,ObjectId
1697481,WinCo Foods 122,1800 N Graves St,McKinney,TX,75069,COLLIN,Supermarket,33.215332,-96.626961,795
1661182,Gourmet European Market,17435 Preston Rd,Dallas,TX,75252,COLLIN,Grocery Store,32.990887,-96.803009,1065
1637861,Costco Wholesale 1694,5620 W University Dr,Prosper,TX,75078,COLLIN,Super Store,33.219467,-96.894341,2704
238481,KROGER  563,4017 14th St,Plano,TX,75074,COLLIN,Super Store,33.014118,-96.655968,4215
237036,Walmart Supercenter 5210,2050 N Highway 78,Wylie,TX,75098,COLLIN,Super Store,33.024948,-96.51162,4528
237331,KROGER 581,2925 Custer Rd,Plano,TX,75075,COLLIN,Super Store,33.039341,-96.733543,4546
234334,KROGER  560,7500 Preston Rd,Frisco,TX,75034,COLLIN,Super Store,33.140022,-96.804436,4823
262552,Tom Thumb 0296,6800 W Virginia Pkwy,McKinney,TX,75071,COLLIN,Supermarket,33.198975,-96.706665,6297
261023,TOM THUMB  1788,7801 Alma Dr,Plano,TX,75025,COLLIN,Supermarket,33.082928,-96.712303,6797
307731,Walmart Supercenter 5211,5001 McKinney Ranch Pkwy,McKinney,TX,75070,COLLIN,Super Store,33.159023,-96.681648,7117
380337,Whole Foods Market 10030,2201 Preston Rd,Plano,TX,75093,COLLIN,Super Store,33.029694,-96.796867,8124
294553,La Michoacana Meat Market 17,1409 Jupiter Rd,Plano,TX,75074,COLLIN,Super Store,33.019035,-96.682617,8531
355428,TOM THUMB  2554,3100 Independence Pkwy,Plano,TX,75075,COLLIN,Supermarket,33.039661,-96.75322,9618
340582,Tom Thumb 4105,4625 Frankford Rd,Dallas,TX,75287,COLLIN,Supermarket,32.997757,-96.827385,11154
315689,Walmart Supercenter 206,2041 N Redbud Blvd,McKinney,TX,75069,COLLIN,Super Store,33.220486,-96.628944,12382
264953,KROGER  544,1212 E Bethany Dr,Allen,TX,75002,COLLIN,Super Store,33.085472,-96.644928,13706
360674,KROGER 522,7100 INDEPENDENCE PKY,PLANO,TX,75025,COLLIN,Super Store,33.073318,-96.748627,15791
403698,ALBERTSONS 4234,3001 S Central Expy # 200,McKinney,TX,75070,COLLIN,Supermarket,33.170822,-96.640396,17310
403927,Walmart SUPERCENTER 2996,18121 MARSH LANE,DALLAS,TX,75287,COLLIN,Super Store,32.996006,-96.855614,17329
504608,Kroger 547,3205 Main St,Frisco,TX,75034,COLLIN,Super Store,33.152981,-96.862007,18824
476560,TOM THUMB  3641,3411 Custer Pkwy,Richardson,TX,75080,COLLIN,Supermarket,32.999069,-96.72924,18962
392280,KROGER 568,1320 W McDermott Dr,Allen,TX,75013,COLLIN,Super Store,33.100899,-96.700783,23268
567145,Tom Thumb 4239,921 S Westgate Way,Wylie,TX,75098,COLLIN,Supermarket,33.005795,-96.554611,23682
523380,Fiesta Mart 59,1200 E PARKER RD,PLANO,TX,75074,COLLIN,Super Store,33.037903,-96.696541,24575
444810,TOM THUMB  2595,3945 Legacy Dr,Plano,TX,75023,COLLIN,Supermarket,33.073994,-96.770744,25012
631713,Walmart SUPERCENTER  2883,8801 Ohio Dr,Plano,TX,75024,COLLIN,Super Store,33.097851,-96.796913,25298
601009,TOM THUMB  3582,18212 Preston Rd,Dallas,TX,75252,COLLIN,Supermarket,32.999798,-96.793686,26163
634435,Walmart 3482,425 COIT RD,PLANO,TX,75075,COLLIN,Super Store,33.004128,-96.770798,26720
683779,TOM THUMB  2570,5968 W Parker Rd,Plano,TX,75093,COLLIN,Supermarket,33.045124,-96.828644,26921
1684916,Desi Meat And Grocery,701 W White St,Anna,TX,75409,COLLIN,Other,33.34383,-96.557037,28083
686057,Walmart Supercenter 2086,1700 Dallas Pkwy,Plano,TX,75093,COLLIN,Super Store,33.026211,-96.829292,28363
491601,Target Store 1764,2200 Dallas Pkwy,Plano,TX,75093,COLLIN,Super Store,33.030441,-96.828789,29997
836753,Desi Bazaar,801 S Greenville Ave,Allen,TX,75002,COLLIN,Grocery Store,33.087341,-96.671097,30663
555507,TOM THUMB  2581,4848 Preston Rd,Frisco,TX,75034,COLLIN,Supermarket,33.118431,-96.805443,31424
604582,Walmart SUPERCENTER  2926,6000 Coit Rd,Plano,TX,75023,COLLIN,Super Store,33.054783,-96.770348,31851
574348,Walmart NEIGHBORHOOD MKT 3574,1520 E Exchange Pkwy,Allen,TX,75002,COLLIN,Super Store,33.114864,-96.629944,33308
799232,BROOKSHIRE 73,675 Sunset Blvd,Celina,TX,75009,COLLIN,Supermarket,33.313644,-96.777901,33476
800871,TARGET STORE T 2142,8900 State Highway 121,McKinney,TX,75070,COLLIN,Super Store,33.126797,-96.729897,37078
548421,Kroger 540,3305 N Dallas Pkwy,Plano,TX,75093,COLLIN,Super Store,33.047256,-96.83007,37303
587897,Walmart SUPERCENTER  1117,6001 N Central Expy,Plano,TX,75023,COLLIN,Super Store,33.056114,-96.695152,39776
586883,HEB Central Market 546,320 Coit Rd,Plano,TX,75075,COLLIN,Supermarket,33.002003,-96.764702,39817
625001,Walmart SUPERCENTER 2973,115 W Fm 544,Murphy,TX,75094,COLLIN,Super Store,33.011681,-96.614212,42224
726845,Market Street 561,6100 W Eldorado Pkwy,McKinney,TX,75070,COLLIN,Supermarket,33.174179,-96.696198,45466
808710,Walmart 5311,1721 N CUSTER RD,MCKINNEY,TX,75071,COLLIN,Super Store,33.216644,-96.735573,47024
995229,La Michoacana Meat Market 36,311 W University Dr,McKinney,TX,75069,COLLIN,Supermarket,33.214935,-96.619652,49870
1001843,Walmart Supercenter 5866,8555 Preston Rd,Frisco,TX,75034,COLLIN,Super Store,33.147182,-96.807816,54853
877394,AFRIBBEAN MARKET,901 E Plano Pkwy,Plano,TX,75074,COLLIN,Grocery Store,33.00742,-96.700859,56002
814316,Walmart 2995,8040 INDEPENDENCE PKWY,PLANO,TX,75025,COLLIN,Super Store,33.087002,-96.748055,57555
740189,KROGER 546,4851 LEGACY DR,FRISCO,TX,75034,COLLIN,Super Store,33.11845,-96.840584,60909
819870,Kroger 548,1210 N Greenville Ave,Allen,TX,75002,COLLIN,Super Store,33.115894,-96.652313,61941
850042,INDIA BAZAAR,832 W Spring Creek Pkwy Ste 510,Plano,TX,75023,COLLIN,Super Store,33.055485,-96.709137,62555
852056,Brookshire Food Store 131,1325 W White St,Anna,TX,75409,COLLIN,Supermarket,33.344673,-96.566666,63530
