Record_ID,Store_Name,Store_Street_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,ObjectId
1699117,HEB Food Store 817,2351 W Interstate Highway 635,Irving,TX,75063,    ,DALLAS,Supermarket,32.921303,-96.983322,540
1402621,Homefoods I I I Llc,2301 W Rochelle Rd,Irving,TX,75062,7050,DALLAS,Grocery Store,32.841888,-96.97538,594
1689960,Fair Park Farmers Market,3535 Grand Ave,Dallas,TX,75210,1006,DALLAS,Farmers and Markets,32.778282,-96.763084,644
1634103,Joe V's Smart Shop 805,7700 Samuell Blvd,Dallas,TX,75227,    ,DALLAS,Supermarket,32.792328,-96.68573,1582
1627332,Abyssinia Market Irving ,4010 N Belt Ln Rd,Irving,TX,75038,    ,DALLAS,Grocery Store,32.867268,-96.981628,2054
1627921,Kelley Produce Dfm,920 S Harwood,Dallas,TX,75201,    ,DALLAS,Other,32.777588,-96.790024,2309
1397707,Cherry Grocery Store,3801 W Walnut St,Garland,TX,75042,6258,DALLAS,Grocery Store,32.916832,-96.68792,2764
245243,Target T 1836,739 N Highway 67,Cedar Hill,TX,75104,2142,DALLAS,Super Store,32.601971,-96.934326,3013
250180,Walmart Supercenter 789,200 US Highway 80 E,Mesquite,TX,75149,1656,DALLAS,Super Store,32.78878,-96.599113,3223
255060,KROGER 511,10677 E Northwest Hwy,Dallas,TX,75238,4899,DALLAS,Super Store,32.865559,-96.701599,3391
244478,NEW TRUONG NGUYEN MARKET,3555 W Walnut St,Garland,TX,75042,4016,DALLAS,Super Store,32.918491,-96.684555,3557
236670,TOM THUMB  3621,4010 N Macarthur Blvd,Irving,TX,75038,6413,DALLAS,Supermarket,32.860073,-96.957474,4491
267426,Target 1489,5301 N Garland Ave,Garland,TX,75040,2716,DALLAS,Super Store,32.965866,-96.646782,4873
228350,SUPER MERCADO MEXICO # 3,7828 Lake June Rd,Dallas,TX,75217,1601,DALLAS,Supermarket,32.734192,-96.687202,5001
286040,KROGER 448,950 E Sandy Lake Rd,Coppell,TX,75019,3109,DALLAS,Super Store,32.970753,-96.960983,5367
287398,Walmart SUPERCENTER 5147,1521 S Cockrell Hill Rd,Dallas,TX,75211,    ,DALLAS,Super Store,32.72868,-96.891541,5594
239168,SUPER MERCADO MEXICO # 4,5535 Columbia Ave,Dallas,TX,75214,5123,DALLAS,Supermarket,32.800983,-96.75666,5706
284355,Fiesta Mart 54,2940 S 1st St,Garland,TX,75041,3437,DALLAS,Super Store,32.880661,-96.63002,5736
231026,TOM THUMB  1784,1501 Pioneer Rd,Mesquite,TX,75149,6032,DALLAS,Supermarket,32.746086,-96.586266,6574
233120,Walmart SUPERCENTER 880,4100 W Airport Fwy,Irving,TX,75062,5913,DALLAS,Super Store,32.836632,-97.006607,7012
280346,Fiesta Mart 40,5334 Ross Ave,Dallas,TX,75206,7453,DALLAS,Super Store,32.80949,-96.7705,7108
312393,Albertsons 0269,2150 N Josey Ln,Carrollton,TX,75006,2991,DALLAS,Supermarket,32.974655,-96.887741,7223
278236,JERRYS SUPERMARKET #3,532 W Jefferson Blvd,Dallas,TX,75208,4722,DALLAS,Supermarket,32.743134,-96.831673,7320
309499,Walmart 3225,2501 LAKEVIEW PKWY,ROWLETT,TX,75088,    ,DALLAS,Super Store,32.908401,-96.578308,7526
309801,TOM THUMB 1973,7000 Snider Plz,Dallas,TX,75205,1335,DALLAS,Supermarket,32.850533,-96.787849,7562
308464,KIEST MARKET,3807 E Kiest Blvd,Dallas,TX,75203,4122,DALLAS,Grocery Store,32.738579,-96.789238,7666
380409,Fiesta Mart 32,9727 Webb Chapel Rd,Dallas,TX,75220,3555,DALLAS,Super Store,32.867172,-96.866028,8130
380578,Albertsons 4260,2165 Buckingham Rd,Richardson,TX,75081,5477,DALLAS,Supermarket,32.931278,-96.683952,8147
381996,TOM THUMB  3623,210 E Pleasant Run Rd,Desoto,TX,75115,3938,DALLAS,Supermarket,32.603264,-96.855812,8225
291608,Walmart SUPERCENTER 2975,3959 Broadway Blvd,Garland,TX,75043,2586,DALLAS,Super Store,32.865517,-96.606361,8624
274004,La Michoacana Meat Market 07,833 N Westmoreland Rd,Dallas,TX,75211,2524,DALLAS,Super Store,32.75116,-96.875183,8724
315515,Whole Foods Market 10140,4100 Lomo Alto Dr,Dallas,TX,75219,1535,DALLAS,Super Store,32.820919,-96.815041,8922
296764,TOM THUMB  3560,8698 Skillman St,Dallas,TX,75243,8265,DALLAS,Supermarket,32.896137,-96.720451,9264
297044,Walmart Supercenter 2427,9301 Forest Lane,DALLAS,TX,75243,    ,DALLAS,Super Store,32.91087,-96.738815,9283
332357,KROGER 559,1406 W Walnut St,Garland,TX,75042,5841,DALLAS,Super Store,32.914948,-96.65007,9355
