Record_ID,Store_Name,Store_Street_Address,City,State,Zip_Code,County,Store_Type,Latitude,Longitude,ObjectId
1698915,Joe V's Smart Shop 792,4107 Fry RD.,Katy,TX,77449,HARRIS,Supermarket,29.832573,-95.722534,147
1690345,Siempre Grocery 019,9922 S Gessner Rd,Houston,TX,77071,HARRIS,Grocery Store,29.670755,-95.528809,595
1697895,HEB Food Store 759,19529 Northpark Dr,Kingwood,TX,77339,HARRIS,Supermarket,30.068659,-95.251701,596
1447446,Cypress Grocery And Halal Meat,11700 Barker Cypress Rd,Houston,TX,77433,HARRIS,Grocery Store,29.945112,-95.676521,896
1408288,Kohinoor Indo/pak Grocery Halal Meat & Cafe,20423 Kuykendahl Rd,Spring,TX,77379,HARRIS,Grocery Store,30.067778,-95.507751,1528
1631464,La Monarca Meat Market #2,1050 W Rankin Rd,Houston,TX,77067,HARRIS,Grocery Store,29.966463,-95.435699,1669
1620891,Premier Meat Market,15315 Fm 529 Rd,Houston,TX,77095,HARRIS,Grocery Store,29.87912,-95.638855,1949
1634452,Dara African Grocery,19125 W Little York Rd,Katy,TX,77449,HARRIS,Grocery Store,29.864161,-95.702103,2265
1634664,Simply Halal,6806 Bintliff Dr,Houston,TX,77074,HARRIS,Grocery Store,29.706606,-95.505417,2370
251659,Lewis Food Town 216,6470 W Little York Rd,Houston,TX,77091,HARRIS,Supermarket,29.865873,-95.485535,3251
254079,Fiesta Mart 24,11240 Fondren Rd,Houston,TX,77096,HARRIS,Super Store,29.656834,-95.509903,3407
254648,Jerusalem Halal Meats,3330 Hillcroft St,Houston,TX,77057,HARRIS,Super Store,29.72851,-95.501305,3752
252857,HEB 577,10251 Kempwood Dr,Houston,TX,77043,HARRIS,Supermarket,29.822653,-95.546303,3900
268177,Brookshire Brothers 9,5249 Franz Rd,Katy,TX,77493,HARRIS,Super Store,29.801542,-95.809891,4390
268501,Walmart SUPERCENTER  772,3506 Highway 6 S,Houston,TX,77082,HARRIS,Super Store,29.720642,-95.644768,4417
266653,Cox's Foodarama Inc. #22,7320 Antoine Dr,Houston,TX,77088,HARRIS,Super Store,29.867895,-95.472832,4621
271346,Fiesta Mart 9,10401 Jensen Dr,Houston,TX,77093,HARRIS,Super Store,29.864391,-95.333588,4652
286138,HONG KONG FOOD MARKET 4,11205 Bellaire Blvd,HOUSTON,TX,77072,HARRIS,Super Store,29.703684,-95.579338,5378
227876,KROGER CO  352,18030 Fm 529 Rd,Cypress,TX,77433,HARRIS,Super Store,29.881443,-95.68557,5680
226635,La Michoacana Meat Market 27,3910 Aldine Mail Rd,Houston,TX,77039,HARRIS,Super Store,29.902412,-95.340096,5825
226938,KROGER 366,12434 State Highway 249,Houston,TX,77086,HARRIS,Super Store,29.912296,-95.477859,5848
263811,WATKINS CENTER,10510 Cullen Blvd,Houston,TX,77047,HARRIS,Super Store,29.645489,-95.356171,6145
1600727,Southwest Farmers Market,920 S Mason Rd,Katy,TX,77450,HARRIS,Grocery Store,29.767288,-95.752594,6319
276306,La Michoacana Meat Market 28,12385 Bissonnet St,Houston,TX,77099,HARRIS,Supermarket,29.675898,-95.598312,6671
275208,Fiesta Mart 28,11006 Airline Dr,Houston,TX,77037,HARRIS,Super Store,29.916031,-95.40522,6702
276503,Walmart  SUPERCENTER 1137,13750 East Fwy,Houston,TX,77015,HARRIS,Super Store,29.768044,-95.177063,6784
277111,Fiesta Mart 3,800 S Wayside Dr,Houston,TX,77023,HARRIS,Super Store,29.730232,-95.308998,6819
277155,La Michoacana Meat Market 4,2030 Wirt Rd,Houston,TX,77055,HARRIS,Supermarket,29.80871,-95.484863,6824
277936,Fiesta Mart 7,6200 Bellaire Blvd,Houston,TX,77081,HARRIS,Super Store,29.705578,-95.491905,6993
278022,KROGER  367,3820 Atascocita Rd,Humble,TX,77396,HARRIS,Super Store,29.980194,-95.215897,7000
233035,RANDALLS  1011,14610 Memorial Dr,Houston,TX,77079,HARRIS,Supermarket,29.772018,-95.606987,7003
310442,KROGER 737,12400 Fm 1960 Rd W,Houston,TX,77065,HARRIS,Super Store,29.922436,-95.603592,7144
307854,Fiesta Mart 20,8320 Fm 1960 Rd W,Houston,TX,77070,HARRIS,Super Store,29.961584,-95.545937,7269
311200,Fiesta Mart 49,4114 Fulton St,Houston,TX,77009,HARRIS,Super Store,29.797327,-95.367874,7301
278987,Walmart SUPERCENTER 5116,9025 Spencer Hwy,La Porte,TX,77571,HARRIS,Super Store,29.664116,-95.099785,7386
249404,KROGER 740,7747 Kirby Dr,Houston,TX,77030,HARRIS,Super Store,29.695173,-95.415314,7403
279603,Walmart 3500,5655 E SAM HOUSTON PKWY N,HOUSTON,TX,77015,HARRIS,Super Store,29.805998,-95.165123,7641
281200,La Michoacana Meat Market 10,6036 S Gessner Dr,Houston,TX,77036,HARRIS,Super Store,29.714411,-95.540306,7818
249291,Walmart SUPERCENTER 1062,150 W El Dorado Blvd,Friendswood,TX,77546,HARRIS,Super Store,29.551973,-95.159126,7964
291917,KROGER  346,1505 Wirt Rd,Houston,TX,77055,HARRIS,Super Store,29.796362,-95.484978,8166
294071,CARNIC. Y FRUT. CASE DEL PUEBLO,15 W Main St,Humble,TX,77338,HARRIS,Grocery Store,29.998058,-95.266991,8315
273386,KROGER  342,1905 El Mar Ln,Seabrook,TX,77586,HARRIS,Super Store,29.569984,-95.025688,8358
314880,Fiesta Mart 50,5815 Lockwood Dr,Houston,TX,77026,HARRIS,Super Store,29.812511,-95.317879,8383
272858,Walmart Supercenter 5091,26270 Northwest Fwy,Cypress,TX,77429,HARRIS,Super Store,29.974117,-95.699425,8941
289684,GUANAJUATO SUPERMARKET,5429 Mount Houston Rd,Houston,TX,77093,HARRIS,Supermarket,29.891098,-95.310272,9094
298493,RANDALLS 1066,12850 Memorial Dr,Houston,TX,77024,HARRIS,Supermarket,29.774508,-95.560211,9442
332483,KROGER 738,8745 Spring Cypress Rd,Spring,TX,77379,HARRIS,Super Store,30.032709,-95.552773,9468
356467,Walmart 1103,3450 FM 1960 RD W,HOUSTON,TX,77068,HARRIS,Super Store,29.998158,-95.484215,9503
297814,KROGER  395,360 Fm 1960 Rd W,Houston,TX,77090,HARRIS,Super Store,30.019602,-95.435081,9732
331389,HEB Food Store 737,2300 N Shepherd Dr,Houston,TX,77008,HARRIS,Supermarket,29.807312,-95.410194,9800
334779,Lewis Food Town 5,3316 S Shaver St,Houston,TX,77587,HARRIS,Supermarket,29.658659,-95.208229,9824
335312,KROGER  318,19300 W Lake Houston Pkwy,Humble,TX,77346,HARRIS,Super Store,30.001064,-95.160912,9995
387470,KROGER  355,1938 W Gray St,Houston,TX,77019,HARRIS,Super Store,29.753799,-95.405525,10037
347438,Walmart SUPERCENTER 1837,9451 Fm 1960 Bypass Rd W,Humble,TX,77338,HARRIS,Super Store,30.008959,-95.283401,10048
347651,KROGER 385,16400 El Camino Real,Houston,TX,77062,HARRIS,Super Store,29.558554,-95.124672,10427
347761,HEB 576,7310 Louetta Rd,Spring,TX,77379,HARRIS,Supermarket,30.020164,-95.525452,10539
340628,KROGER 307,15802 Champion Forest Dr,Spring,TX,77379,HARRIS,Super Store,30.002243,-95.533234,11159
341258,Walmart 744,6626 FM 1960 RD E,HUMBLE,TX,77346,HARRIS,Super Store,29.995665,-95.176369,11203
341319,Fiesta Mart 5,5600 Mykawa Rd,Houston,TX,77033,HARRIS,Super Store,29.693972,-95.326683,11208
354934,KROGER 746,11701 S Sam Houston Pkwy E,Houston,TX,77089,HARRIS,Super Store,29.603247,-95.214783,11313
282796,Fiesta Mart 43,8650 S Braeswood Blvd,Houston,TX,77031,HARRIS,Super Store,29.671438,-95.529251,11495
353177,Kroger 371,12222 Jones Rd,Houston,TX,77070,HARRIS,Super Store,29.951744,-95.583,11588
352563,KROGER  974,1700 N Alexander Dr,Baytown,TX,77520,HARRIS,Super Store,29.740883,-94.95295,11756
339794,KROGER  309,1801 S Voss Rd,Houston,TX,77057,HARRIS,Super Store,29.74847,-95.500961,11794
241253,Walmart SUPERCENTER 5045,22605 State Highway 249,Tomball,TX,77375,HARRIS,Super Store,30.014164,-95.5951,12384
316127,La Michoacana Meat Market 06,1413 Gessner Dr,Houston,TX,77080,HARRIS,Supermarket,29.795561,-95.545181,12668
302241,HEB 497,1621 S Mason Rd,Katy,TX,77450,HARRIS,Supermarket,29.756968,-95.75045,13129
398204,THANG HUNG FOOD MARKET,3020 Gears Rd,Houston,TX,77067,HARRIS,Super Store,29.946941,-95.465752,13241
337300,Supermercado Teloloapan 7,5330 Chimney Rock Rd,Houston,TX,77081,HARRIS,Grocery Store,29.723637,-95.476624,13274
323228,HEB 492,1550 Fry Rd,Houston,TX,77084,HARRIS,Supermarket,29.789127,-95.716805,13403
336082,COX'S FOODARAMA INC,4425 W Fuqua St,Houston,TX,77045,HARRIS,Super Store,29.612246,-95.445129,13509
336932,RANDALLS  4033,5586 Weslayan St,Houston,TX,77005,HARRIS,Supermarket,29.72168,-95.442123,13654
455291,Fiesta Mart 51,9420 Cullen Blvd,Houston,TX,77051,HARRIS,Super Store,29.655214,-95.356674,14344
499643,Walmart SUPERCENTER  768,1313 N Fry Rd,Katy,TX,77449,HARRIS,Super Store,29.813482,-95.720642,14348
325853,MI TIENDA 066,1630 Spencer Hwy,South Houston,TX,77587,HARRIS,Supermarket,29.66473,-95.209206,14594
326281,Walmart Supercenter 5287,21150 Kuykendahl Rd,Spring,TX,77379,HARRIS,Super Store,30.075663,-95.51503,14654
455929,Lewis Food Town 208,3322 Center St,Deer Park,TX,77536,HARRIS,Supermarket,29.681721,-95.123466,14835
360032,KROGER 748,10010 Cypresswood Dr,Houston,TX,77070,HARRIS,Super Store,29.981943,-95.56588,15973
360081,Lewis Food Town 11,5367 Antoine Dr,Houston,TX,77091,HARRIS,Supermarket,29.842367,-95.474419,15993
417981,RANDALLS 1061,3131 W Holcombe Blvd,Houston,TX,77025,HARRIS,Supermarket,29.704868,-95.425949,16021
374378,HEB 540,3111 Woodridge Dr,Houston,TX,77087,HARRIS,Supermarket,29.696041,-95.297806,16509
442872,Casa Del Pueblo Meat Market 3,13572 State Highway 249 # B,Houston,TX,77086,HARRIS,Other,29.918495,-95.491592,16750
405019,Lewis Food Town 201,5 Uvalde Rd,Houston,TX,77015,HARRIS,Supermarket,29.805435,-95.181107,17183
403942,MERCADO LA MEXICANA,4910 Aldine Mail Rd,Houston,TX,77039,HARRIS,Grocery Store,29.902813,-95.318474,17333
501321,KROGER  312,1035 N Shepherd Dr,Houston,TX,77008,HARRIS,Super Store,29.789328,-95.41098,17438
378261,La Michoacana Meat Market 02,7649 Clarewood Dr,Houston,TX,77036,HARRIS,Super Store,29.709173,-95.519676,17708
327279,LA MEXICANA FRUIT & MEAT MKT #3,5911 Rampart St,Houston,TX,77081,HARRIS,Grocery Store,29.71694,-95.488548,17905
519359,Lewis Food Town 8,3002 W Baker Rd,Baytown,TX,77521,HARRIS,Supermarket,29.771128,-94.996231,18184
1600680,Las Fuentes Meat Market & Bakery,20153 Fm 2920 Rd,Tomball,TX,77377,HARRIS,Grocery Store,30.07933,-95.738586,18664
503684,Supermercado Teloloapan 5,202 Uvalde Rd,Houston,TX,77015,HARRIS,Grocery Store,29.797895,-95.183273,18854
543382,KROGER  609,239 W 20th St,Houston,TX,77008,HARRIS,Super Store,29.804369,-95.400482,19176
539229,LA MORELIANA 1,10301 Club Creek Dr,Houston,TX,77036,HARRIS,Supermarket,29.688013,-95.552971,19322
477115,Lewis Food Town 204,15875 Fm 529 Rd,Houston,TX,77095,HARRIS,Supermarket,29.879112,-95.648613,19388
344669,BIG CITY FOODS,11330 Homestead Rd,Houston,TX,77016,HARRIS,Supermarket,29.884197,-95.299454,19498
477540,GUERRERO MEAT MARKET,8419 Winkler Dr,Houston,TX,77017,HARRIS,Grocery Store,29.675703,-95.265259,19697
477609,TARGET STORE T 1458,19511 Interstate 45,Spring,TX,77388,HARRIS,Super Store,30.050713,-95.431885,19744
482627,Lewis Food Town 209,302 N Main St,Highlands,TX,77562,HARRIS,Supermarket,29.819008,-95.057373,19905
432498,Walmart Supercenter 1409,10750 Westview Dr,Houston,TX,77043,HARRIS,Super Store,29.793192,-95.564926,20755
