Record_ID,Store_Name,Store_Street_Address,City,State,Zip_Code,County,Store_Type,Latitude,Longitude,ObjectId
1627328,Cuban Grocery Co #4 4,4201 S Congress Ave,Austin,TX,78745,TRAVIS,Grocery Store,30.220797,-97.76458,1530
1618482,Global Foodland,11501 Menchaca Rd,Austin,TX,78748,TRAVIS,Grocery Store,30.153116,-97.832718,2318
246108,RANDALLS 2471,2727 Exposition Blvd,Austin,TX,78703,TRAVIS,Supermarket,30.303402,-97.76429,3076
276861,HEB 096,7025 Village Center Dr,Austin,TX,78731,TRAVIS,Supermarket,30.351864,-97.75486,6920
436536,RANDALLS 1779,2301 Ranch Road,Lakeway,TX,78734,TRAVIS,Supermarket,30.342083,-97.967712,11017
340255,HEB 024,11521 N Fm 620 Ste A,Austin,TX,78726,TRAVIS,Supermarket,30.454943,-97.826248,11126
397291,Central Market 420,4477 S LAMAR,AUSTIN,TX,78745,TRAVIS,Supermarket,30.23213,-97.799423,13156
338163,HEB 161,7112 ED Bluestein Blvd,Austin,TX,78723,TRAVIS,Supermarket,30.312014,-97.662666,13341
412086,LA MICHOACANA MEAT MARKET AUSTIN 2,6908 Cameron Rd,Austin,TX,78752,TRAVIS,Supermarket,30.324617,-97.693314,15088
501355,HEB 183,9414 N Lamar Blvd,Austin,TX,78753,TRAVIS,Supermarket,30.363714,-97.696701,17442
518757,HEB 227,2110 NEW SLAUGHTER LN,AUSTIN,TX,78748,TRAVIS,Supermarket,30.177429,-97.836998,18116
516260,HEB 229,6607 S Interstate 35,Austin,TX,78744,TRAVIS,Supermarket,30.188984,-97.771027,18548
543987,Whole Foods Market 10036,9607 Research Blvd Ste 300,Austin,TX,78759,TRAVIS,Super Store,30.388334,-97.743553,21013
407496,RANDALLS 2485,2025 W Ben White Blvd,Austin,TX,78704,TRAVIS,Supermarket,30.230015,-97.789391,22008
507261,HEB 428,6900 Brodie Ln,Austin,TX,78745,TRAVIS,Supermarket,30.214317,-97.830147,22358
459290,Walmart Supercenter 1253,710 E Ben White Blvd,Austin,TX,78704,TRAVIS,Super Store,30.218655,-97.754875,22438
363051,HEB 451,7301 N FM 620,AUSTIN,TX,78726,TRAVIS,Supermarket,30.40439,-97.853607,23111
595357,HEB 236,1434 Wells Branch Pkwy,Pflugerville,TX,78660,TRAVIS,Supermarket,30.441156,-97.664429,24869
487134,HEB 202,5808 Burnet Rd,Austin,TX,78756,TRAVIS,Supermarket,30.334166,-97.739952,27425
421294,Walmart SUPERCENTER 1185,1030 Norwood Park Blvd,Austin,TX,78753,TRAVIS,Super Store,30.338202,-97.692329,27654
512892,HEB 404,12400 W Highway 71,Bee Cave,TX,78738,TRAVIS,Supermarket,30.304525,-97.932091,28145
719984,Whole Foods Market 10145,525 N Lamar Blvd,Austin,TX,78703,TRAVIS,Super Store,30.271276,-97.754105,28871
462829,Walmart STORE  2133,5017 W Highway 290,Austin,TX,78735,TRAVIS,Super Store,30.233643,-97.821976,30285
461749,WHISTLE STOP GROCERY,834 E Rundberg Ln,Austin,TX,78753,TRAVIS,Supermarket,30.357244,-97.686089,30590
837982,HEB 31,12860 Research Blvd,Austin,TX,78750,TRAVIS,Supermarket,30.43499,-97.772079,30944
569666,RANDALLS 2477,3300 Bee Caves Rd,West Lake Hills,TX,78746,TRAVIS,Supermarket,30.275913,-97.800209,31179
472769,Walmart SUPERCENTER 3569,12900 NO I-35 SVC RD SB,AUSTIN,TX,78753,TRAVIS,Super Store,30.413265,-97.674042,32173
559271,HEB 479,201 N FM 685,Pflugerville,TX,78660,TRAVIS,Supermarket,30.438543,-97.612602,32379
490268,MT SUPERMARKET  LP,10901 N Lamar Blvd,Austin,TX,78753,TRAVIS,Super Store,30.378466,-97.688293,32452
472049,HEB 465,2701 E 7th St,Austin,TX,78702,TRAVIS,Supermarket,30.260563,-97.711555,32618
