name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude ,date_collected,website,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON
Bhakti Urban Farm,"5415 Wheatley St, Houston, TX 77091, USA",29.8451,-95.430974,https://bhaktiurbanfarm.org/,"establishment, point_of_interest",ChIJ8bafqs7HQIYRC1jkAoeFhpg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope Farms Urban Agricultural Showcase and Training Center - Recipe for Success,"10401 Scott St, Houston, TX 77051, USA",29.6464207,-95.3674515,https://hopefarmshtx.org/,"establishment, point_of_interest",ChIJ34nmSxeVQIYRoRhZ4JnYa9M,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finca Tres Robles,"5715 Canal St, Houston, TX 77011, USA",29.7457197,-95.3156578,http://www.smallplaces.org/,"establishment, point_of_interest",ChIJf6jWI5y-QIYRaS3zCwz0TSc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montrose Urban Food Farm,"1914 W Clay St, Houston, TX 77019, USA",29.755287,-95.4027892,Not listed,"establishment, point_of_interest",ChIJYc04aFPBQIYRu67UUuXwq7g,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your Urban Farm,"7442 Park Pl Blvd, Houston, TX 77087, USA",29.6847205,-95.2937676,Not listed,"establishment, point_of_interest",ChIJgQn0wPW9QIYResr3Yv6T6Us,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verdegreens Farms,"1208 Bland St, Houston, TX 77091, USA",29.8611472,-95.4315871,http://www.verdegreens.com/,"establishment, point_of_interest",ChIJGYR6WgHHQIYRUMcXPhCi5A8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant It Forward Farms @ Braeswood Church,"10595 Fondren Rd, Houston, TX 77096, USA",29.6666517,-95.5083781,https://plantitforward.farm/,"establishment, point_of_interest",ChIJWR8DZdrpQIYR_HQ6QPoESck,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moonflower Farms & Technology Center,"3805 Fuqua St, Houston, TX 77047, USA",29.6127128,-95.3609035,http://www.moonflowerfarms.com/,"establishment, point_of_interest",ChIJbel5SZaVQIYRhMsTq6NHN-U,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant It Forward Farms @ University of St Thomas,"1318 Sul Ross St, Houston, TX 77006, USA",29.738083,-95.3955299,https://plantitforward.farm/,"establishment, point_of_interest",ChIJWYdpOZ3AQIYRhOIfad70n6A,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dream Harvest: Sustainable Indoor Farming,"8416 S Breeze Dr, Houston, TX 77071, USA",29.6574038,-95.5232647,http://www.dreamharvest.com/,"establishment, food, point_of_interest",ChIJu7aYeirpQIYRslEgb6Amryk,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant It Forward Farms @ Westbury Community Garden,"12581 Dunlap St, Houston, TX 77035, USA",29.6387778,-95.4950667,https://plantitforward.farm/,"establishment, point_of_interest",ChIJt8gsvJnpQIYROLR0tprWSdM,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSU Community Farm,"3216 Blodgett St, Houston, TX 77004, USA",29.7197658,-95.3642646,https://linktr.ee/tsufarm,"establishment, point_of_interest",ChIJNc_lGwC_QIYRAdPMrMo6tm0,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settegast Community Garden,"7984 Tate St, Houston, TX 77028",29.81008804,-95.2811213,https://www.houstonhabitat.org/settegast-community-garden/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shamba Ya Amani,8401 Dairy View Ln,29.68711383,-95.60130335,http://www.famhoustontx.org/shamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty's Community Garden,"3201 Airline Dr, Houston, TX, 77022",29.81563378,-95.38301696,https://texaslocalfood.org/tclf-partner/beautys-community-garden/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atkinson Farms,"3217 Spring Cypress Rd, Spring, TX 77388, USA",30.0606155,-95.4651922,https://www.facebook.com/Atkinson4thgeneration/,"establishment, point_of_interest",ChIJF1tfBLs0R4YR9nj0u00IQa4,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Farms,"17427 Kitzman Rd, Cypress, TX 77429, USA",30.034792,-95.680474,https://www.facebook.com/23farm/,"establishment, point_of_interest",ChIJx6D2vGbVQIYRAEMZTA9yhfs,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
