StateAbbr,CountyName,TractFIPS,CHD_CrudePrev,CHD_Crude95CI
TX,Bexar,48029110100,5.3,"( 4.7,  5.9)"
TX,Bexar,48029110300,7.1,"( 6.4,  8.0)"
TX,Bexar,48029110500,7.8,"( 6.9,  8.7)"
TX,Bexar,48029110600,10.1,"( 9.1, 11.2)"
TX,Bexar,48029110700,10.4,"( 9.1, 11.7)"
TX,Bexar,48029111000,5.3,"( 4.6,  5.9)"
TX,Bexar,48029111100,4.0,"( 3.6,  4.6)"
TX,Bexar,48029120100,1.2,"( 1.0,  1.4)"
TX,Bexar,48029120301,4.5,"( 3.9,  5.2)"
TX,Bexar,48029120302,5.8,"( 5.0,  6.8)"
TX,Bexar,48029120401,8.5,"( 7.4,  9.9)"
TX,Bexar,48029120402,4.8,"( 4.1,  5.6)"
TX,Bexar,48029120502,7.2,"( 6.4,  8.1)"
TX,Bexar,48029120503,7.0,"( 6.3,  7.7)"
TX,Bexar,48029120504,7.3,"( 6.5,  8.2)"
TX,Bexar,48029120601,4.8,"( 4.3,  5.4)"
TX,Bexar,48029120602,3.9,"( 3.4,  4.4)"
TX,Bexar,48029120701,5.4,"( 4.8,  6.0)"
TX,Bexar,48029120702,6.9,"( 5.9,  8.0)"
TX,Bexar,48029120800,5.0,"( 4.4,  5.8)"
TX,Bexar,48029120901,7.9,"( 6.7,  9.3)"
TX,Bexar,48029120902,5.9,"( 5.2,  6.6)"
TX,Bexar,48029121000,5.8,"( 5.1,  6.5)"
TX,Bexar,48029121110,4.7,"( 4.2,  5.3)"
TX,Bexar,48029121111,5.1,"( 4.6,  5.8)"
TX,Bexar,48029121112,6.4,"( 5.6,  7.3)"
TX,Bexar,48029121115,6.4,"( 5.6,  7.4)"
TX,Bexar,48029121116,5.4,"( 4.7,  6.2)"
TX,Bexar,48029121117,5.3,"( 4.6,  6.0)"
TX,Bexar,48029121118,5.1,"( 4.6,  5.8)"
TX,Bexar,48029121119,4.6,"( 4.1,  5.2)"
