StateAbbr,CountyName,TractFIPS,CHD_CrudePrev,CHD_Crude95CI
TX,Tarrant,48439100101,5.7,"( 5.0,  6.4)"
TX,Tarrant,48439100102,5.9,"( 5.2,  6.7)"
TX,Tarrant,48439100201,7.6,"( 6.7,  8.4)"
TX,Tarrant,48439100202,6.7,"( 5.9,  7.5)"
TX,Tarrant,48439100300,5.9,"( 5.3,  6.6)"
TX,Tarrant,48439100401,7.2,"( 6.4,  8.0)"
TX,Tarrant,48439100402,6.1,"( 5.3,  6.9)"
TX,Tarrant,48439100503,6.5,"( 5.7,  7.3)"
TX,Tarrant,48439100504,7.3,"( 6.5,  8.1)"
TX,Tarrant,48439100505,6.9,"( 6.2,  7.7)"
TX,Tarrant,48439100506,5.5,"( 4.9,  6.3)"
TX,Tarrant,48439100601,5.8,"( 5.1,  6.4)"
TX,Tarrant,48439100602,4.7,"( 4.2,  5.3)"
TX,Tarrant,48439100700,5.8,"( 5.1,  6.5)"
TX,Tarrant,48439100800,7.0,"( 6.1,  7.9)"
TX,Tarrant,48439100900,9.3,"( 8.1, 10.5)"
TX,Tarrant,48439101201,5.6,"( 5.0,  6.3)"
TX,Tarrant,48439101202,5.6,"( 4.9,  6.3)"
TX,Tarrant,48439101301,6.9,"( 6.2,  7.7)"
TX,Tarrant,48439101302,9.5,"( 8.6, 10.5)"
TX,Tarrant,48439101401,6.8,"( 6.1,  7.6)"
TX,Tarrant,48439101402,6.6,"( 5.9,  7.4)"
TX,Tarrant,48439101403,7.9,"( 7.2,  8.7)"
TX,Tarrant,48439101500,6.8,"( 6.0,  7.5)"
TX,Tarrant,48439101700,10.0,"( 8.9, 11.2)"
TX,Tarrant,48439102000,2.9,"( 2.6,  3.3)"
TX,Tarrant,48439102101,4.5,"( 4.0,  5.2)"
TX,Tarrant,48439102102,6.0,"( 5.2,  6.9)"
TX,Tarrant,48439102201,6.2,"( 5.4,  7.0)"
TX,Tarrant,48439102202,5.1,"( 4.4,  6.0)"
TX,Tarrant,48439102301,7.3,"( 6.6,  8.1)"
TX,Tarrant,48439102302,6.6,"( 5.9,  7.5)"
TX,Tarrant,48439102401,5.0,"( 4.3,  5.7)"
TX,Tarrant,48439102402,6.1,"( 5.2,  7.1)"
TX,Tarrant,48439102500,7.5,"( 6.7,  8.5)"
TX,Tarrant,48439102601,5.0,"( 4.4,  5.7)"
TX,Tarrant,48439102602,5.2,"( 4.5,  5.9)"
TX,Tarrant,48439102700,4.4,"( 3.8,  5.2)"
TX,Tarrant,48439103500,6.1,"( 5.4,  6.8)"
TX,Tarrant,48439103601,6.6,"( 5.9,  7.4)"
TX,Tarrant,48439103602,7.4,"( 6.5,  8.4)"
TX,Tarrant,48439103701,6.1,"( 5.5,  6.9)"
TX,Tarrant,48439103702,6.8,"( 6.0,  7.6)"
TX,Tarrant,48439103800,7.5,"( 6.7,  8.4)"
TX,Tarrant,48439104100,4.4,"( 3.9,  5.0)"
TX,Tarrant,48439104202,4.8,"( 4.2,  5.5)"
TX,Tarrant,48439104203,1.0,"( 0.9,  1.1)"
TX,Tarrant,48439104204,4.9,"( 4.3,  5.7)"
TX,Tarrant,48439104301,2.4,"( 2.1,  2.7)"
TX,Tarrant,48439104302,3.8,"( 3.3,  4.4)"
TX,Tarrant,48439104400,5.5,"( 4.9,  6.2)"
TX,Tarrant,48439104502,6.0,"( 5.4,  6.7)"
TX,Tarrant,48439104503,6.5,"( 5.7,  7.4)"
TX,Tarrant,48439104504,8.8,"( 7.9,  9.7)"
TX,Tarrant,48439104505,8.5,"( 7.7,  9.4)"
TX,Tarrant,48439104601,7.5,"( 6.7,  8.3)"
TX,Tarrant,48439104602,7.5,"( 6.7,  8.3)"
TX,Tarrant,48439104603,7.6,"( 6.8,  8.5)"
TX,Tarrant,48439104604,7.1,"( 6.3,  7.8)"
TX,Tarrant,48439104605,7.4,"( 6.5,  8.3)"
TX,Tarrant,48439104701,5.4,"( 4.8,  6.0)"
TX,Tarrant,48439104702,7.6,"( 6.7,  8.6)"
TX,Tarrant,48439104802,6.7,"( 6.0,  7.4)"
TX,Tarrant,48439104803,5.7,"( 5.0,  6.5)"
TX,Tarrant,48439104804,5.8,"( 5.1,  6.4)"
TX,Tarrant,48439104900,5.4,"( 4.8,  6.1)"
TX,Tarrant,48439105007,3.7,"( 3.2,  4.1)"
TX,Tarrant,48439105008,4.2,"( 3.7,  4.7)"
TX,Tarrant,48439105009,6.4,"( 5.6,  7.1)"
TX,Tarrant,48439105201,7.4,"( 6.6,  8.2)"
TX,Tarrant,48439105203,7.8,"( 6.9,  8.7)"
TX,Tarrant,48439105204,6.0,"( 5.3,  6.7)"
TX,Tarrant,48439105206,5.9,"( 5.3,  6.6)"
TX,Tarrant,48439105207,7.2,"( 6.5,  8.0)"
TX,Tarrant,48439105403,4.4,"( 3.8,  5.1)"
TX,Tarrant,48439105404,4.9,"( 4.3,  5.7)"
TX,Tarrant,48439105405,4.4,"( 3.9,  5.0)"
TX,Tarrant,48439105407,4.0,"( 3.5,  4.6)"
TX,Tarrant,48439105408,5.6,"( 4.9,  6.4)"
TX,Tarrant,48439105502,5.9,"( 5.1,  6.7)"
TX,Tarrant,48439105503,7.6,"( 6.6,  8.6)"
TX,Tarrant,48439105505,7.5,"( 6.6,  8.4)"
TX,Tarrant,48439105511,6.1,"( 5.4,  6.8)"
TX,Tarrant,48439105512,6.6,"( 5.8,  7.6)"
TX,Tarrant,48439105513,5.9,"( 5.0,  6.8)"
TX,Tarrant,48439105514,3.0,"( 2.6,  3.3)"
TX,Tarrant,48439105515,5.3,"( 4.7,  5.9)"
TX,Tarrant,48439105516,5.5,"( 4.9,  6.2)"
TX,Tarrant,48439105517,4.6,"( 4.1,  5.2)"
TX,Tarrant,48439105518,5.6,"( 4.8,  6.4)"
TX,Tarrant,48439105519,5.9,"( 5.1,  6.8)"
TX,Tarrant,48439105520,5.9,"( 5.1,  6.7)"
TX,Tarrant,48439105600,5.2,"( 4.6,  5.8)"
TX,Tarrant,48439105701,5.6,"( 4.9,  6.3)"
TX,Tarrant,48439105703,5.4,"( 4.8,  6.1)"
TX,Tarrant,48439105705,4.4,"( 3.9,  4.8)"
TX,Tarrant,48439105706,5.6,"( 4.9,  6.2)"
TX,Tarrant,48439105800,5.3,"( 4.8,  6.0)"
TX,Tarrant,48439105901,5.9,"( 5.2,  6.6)"
TX,Tarrant,48439105902,7.4,"( 6.6,  8.2)"
TX,Tarrant,48439106002,8.1,"( 7.1,  9.0)"
TX,Tarrant,48439106004,4.5,"( 4.0,  5.0)"
TX,Tarrant,48439106005,5.2,"( 4.6,  5.8)"
TX,Tarrant,48439106006,5.6,"( 4.9,  6.2)"
TX,Tarrant,48439106101,8.8,"( 7.8,  9.9)"
TX,Tarrant,48439106102,7.5,"( 6.6,  8.3)"
