StateAbbr,CountyName,TractFIPS,DIABETES_CrudePrev,DIABETES_Crude95CI
TX,Bexar,48029110100,13.0,"(11.4, 14.5)"
TX,Bexar,48029110300,18.1,"(16.0, 20.2)"
TX,Bexar,48029110500,20.6,"(18.4, 22.8)"
TX,Bexar,48029110600,22.7,"(20.5, 25.0)"
TX,Bexar,48029110700,25.2,"(22.5, 27.9)"
TX,Bexar,48029111000,13.5,"(11.9, 15.1)"
TX,Bexar,48029111100,9.6,"( 8.4, 10.9)"
TX,Bexar,48029120100,3.3,"( 2.8,  3.8)"
TX,Bexar,48029120301,9.5,"( 8.2, 11.0)"
TX,Bexar,48029120302,10.1,"( 8.7, 11.7)"
TX,Bexar,48029120401,14.7,"(12.7, 16.8)"
TX,Bexar,48029120402,9.0,"( 7.7, 10.4)"
TX,Bexar,48029120502,18.0,"(16.1, 20.2)"
TX,Bexar,48029120503,17.1,"(15.3, 19.0)"
TX,Bexar,48029120504,17.6,"(15.6, 19.8)"
TX,Bexar,48029120601,12.0,"(10.6, 13.6)"
TX,Bexar,48029120602,8.9,"( 7.7, 10.2)"
TX,Bexar,48029120701,12.8,"(11.2, 14.3)"
TX,Bexar,48029120702,12.1,"(10.5, 13.9)"
TX,Bexar,48029120800,10.3,"( 8.9, 11.8)"
TX,Bexar,48029120901,15.3,"(13.3, 17.5)"
TX,Bexar,48029120902,12.6,"(11.2, 14.2)"
TX,Bexar,48029121000,13.7,"(12.0, 15.4)"
TX,Bexar,48029121110,11.6,"(10.1, 13.1)"
TX,Bexar,48029121111,12.6,"(11.0, 14.4)"
TX,Bexar,48029121112,13.8,"(12.2, 15.5)"
TX,Bexar,48029121115,13.1,"(11.5, 15.1)"
TX,Bexar,48029121116,11.8,"(10.2, 13.4)"
TX,Bexar,48029121117,11.7,"(10.1, 13.2)"
TX,Bexar,48029121118,11.9,"(10.5, 13.4)"
TX,Bexar,48029121119,11.4,"( 9.9, 12.9)"
TX,Bexar,48029121120,12.9,"(11.4, 14.6)"
TX,Bexar,48029121121,13.0,"(11.3, 14.9)"
TX,Bexar,48029121122,12.7,"(11.0, 14.4)"
TX,Bexar,48029121123,14.0,"(12.3, 15.7)"
TX,Bexar,48029121124,11.6,"(10.1, 13.3)"
TX,Bexar,48029121203,17.5,"(15.6, 19.5)"
TX,Bexar,48029121204,15.3,"(13.5, 17.2)"
TX,Bexar,48029121205,13.5,"(12.0, 15.2)"
TX,Bexar,48029121206,17.3,"(15.4, 19.4)"
TX,Bexar,48029121300,15.2,"(13.4, 17.1)"
TX,Bexar,48029121402,13.4,"(11.8, 15.0)"
TX,Bexar,48029121403,14.8,"(13.1, 16.6)"
TX,Bexar,48029121404,20.8,"(18.6, 23.0)"
TX,Bexar,48029121501,12.1,"(10.7, 13.6)"
TX,Bexar,48029121504,13.4,"(11.8, 15.1)"
TX,Bexar,48029121505,13.6,"(12.1, 15.4)"
TX,Bexar,48029121506,17.9,"(16.0, 20.0)"
TX,Bexar,48029121507,16.0,"(14.2, 17.9)"
TX,Bexar,48029121508,17.8,"(15.8, 19.9)"
TX,Bexar,48029121601,13.1,"(11.6, 14.7)"
TX,Bexar,48029121604,11.6,"(10.2, 13.2)"
TX,Bexar,48029121605,14.2,"(12.5, 15.9)"
TX,Bexar,48029121606,11.9,"(10.5, 13.5)"
TX,Bexar,48029121701,14.9,"(13.1, 16.8)"
TX,Bexar,48029121702,14.1,"(12.4, 15.9)"
TX,Bexar,48029121802,11.3,"(10.0, 12.8)"
TX,Bexar,48029121803,13.7,"(12.0, 15.4)"
TX,Bexar,48029121804,15.2,"(13.5, 17.0)"
TX,Bexar,48029121808,13.4,"(11.8, 15.1)"
TX,Bexar,48029121809,13.4,"(11.7, 15.1)"
TX,Bexar,48029121810,11.4,"( 9.9, 12.8)"
TX,Bexar,48029121811,10.1,"( 8.9, 11.6)"
TX,Bexar,48029121812,12.1,"(10.6, 13.7)"
TX,Bexar,48029121813,11.6,"(10.2, 13.1)"
TX,Bexar,48029121903,10.5,"( 9.1, 12.0)"
TX,Bexar,48029121904,9.5,"( 8.3, 11.0)"
TX,Bexar,48029121905,10.4,"( 9.0, 11.7)"
TX,Bexar,48029121906,9.6,"( 8.4, 10.9)"
TX,Bexar,48029121908,10.8,"( 9.4, 12.5)"
TX,Bexar,48029121909,10.0,"( 8.8, 11.3)"
TX,Bexar,48029121910,9.8,"( 8.6, 11.1)"
TX,Bexar,48029121911,9.0,"( 7.9, 10.2)"
TX,Bexar,48029121912,9.2,"( 8.1, 10.5)"
TX,Bexar,48029130200,17.4,"(15.4, 19.5)"
TX,Bexar,48029130300,21.0,"(18.7, 23.2)"
TX,Bexar,48029130401,22.5,"(20.2, 24.8)"
TX,Bexar,48029130402,26.3,"(23.9, 28.8)"
TX,Bexar,48029130500,21.4,"(19.2, 23.7)"
TX,Bexar,48029130600,19.5,"(17.5, 21.6)"
TX,Bexar,48029130700,23.8,"(21.5, 26.4)"
TX,Bexar,48029130800,26.2,"(24.0, 28.7)"
TX,Bexar,48029130900,20.0,"(18.1, 22.2)"
TX,Bexar,48029131000,25.7,"(23.1, 28.1)"
TX,Bexar,48029131100,26.6,"(24.2, 29.2)"
TX,Bexar,48029131200,19.6,"(17.5, 21.6)"
TX,Bexar,48029131300,19.3,"(17.2, 21.4)"
TX,Bexar,48029131401,12.4,"(11.0, 14.0)"
TX,Bexar,48029131402,18.3,"(16.3, 20.4)"
TX,Bexar,48029131503,15.8,"(14.0, 17.8)"
TX,Bexar,48029131504,14.7,"(13.0, 16.5)"
TX,Bexar,48029131505,11.4,"(10.0, 12.9)"
TX,Bexar,48029131506,12.2,"(10.8, 13.8)"
TX,Bexar,48029131507,17.5,"(15.6, 19.6)"
TX,Bexar,48029131601,12.0,"(10.6, 13.5)"
TX,Bexar,48029131606,11.7,"(10.3, 13.1)"
TX,Bexar,48029131608,14.4,"(12.7, 16.2)"
TX,Bexar,48029131609,13.5,"(12.0, 15.1)"
TX,Bexar,48029131610,13.6,"(12.0, 15.2)"
TX,Bexar,48029131612,11.1,"( 9.8, 12.5)"
TX,Bexar,48029131614,12.5,"(11.0, 14.1)"
TX,Bexar,48029131615,13.1,"(11.6, 14.6)"
TX,Bexar,48029131616,14.7,"(13.1, 16.5)"
TX,Bexar,48029131700,5.1,"( 4.4,  6.0)"
TX,Bexar,48029131801,13.3,"(11.6, 15.0)"
TX,Bexar,48029131802,13.6,"(12.1, 15.3)"
TX,Bexar,48029140100,18.9,"(16.8, 21.0)"
TX,Bexar,48029140200,18.8,"(16.5, 21.2)"
TX,Bexar,48029140300,23.6,"(21.2, 26.2)"
TX,Bexar,48029140400,16.3,"(14.3, 18.4)"
TX,Bexar,48029140500,20.8,"(18.4, 23.2)"
TX,Bexar,48029140600,21.8,"(19.5, 24.2)"
TX,Bexar,48029140700,19.6,"(17.5, 22.0)"
TX,Bexar,48029140800,21.2,"(18.9, 23.7)"
TX,Bexar,48029140900,21.8,"(19.3, 24.3)"
TX,Bexar,48029141000,20.6,"(18.5, 23.0)"
TX,Bexar,48029141101,21.6,"(19.3, 24.1)"
TX,Bexar,48029141102,21.2,"(18.9, 23.7)"
TX,Bexar,48029141200,21.9,"(19.7, 24.2)"
TX,Bexar,48029141300,18.4,"(16.4, 20.5)"
TX,Bexar,48029141402,11.9,"(10.4, 13.5)"
TX,Bexar,48029141403,16.3,"(14.5, 18.2)"
TX,Bexar,48029141404,19.3,"(17.3, 21.5)"
TX,Bexar,48029141600,15.8,"(13.8, 17.8)"
TX,Bexar,48029141700,14.2,"(12.5, 15.9)"
TX,Bexar,48029141800,16.6,"(14.8, 18.6)"
TX,Bexar,48029141900,15.6,"(13.8, 17.5)"
TX,Bexar,48029150100,15.6,"(13.6, 17.6)"
TX,Bexar,48029150300,21.5,"(19.3, 23.9)"
TX,Bexar,48029150400,20.3,"(17.9, 22.5)"
TX,Bexar,48029150501,21.5,"(19.3, 23.7)"
TX,Bexar,48029150502,20.0,"(17.7, 22.4)"
TX,Bexar,48029150600,21.9,"(19.6, 24.3)"
TX,Bexar,48029150700,20.8,"(18.4, 23.3)"
TX,Bexar,48029150800,25.6,"(23.2, 28.1)"
TX,Bexar,48029150900,22.3,"(19.9, 24.7)"
TX,Bexar,48029151000,20.0,"(17.8, 22.3)"
TX,Bexar,48029151100,24.4,"(21.9, 26.7)"
TX,Bexar,48029151200,17.6,"(15.3, 19.7)"
TX,Bexar,48029151301,20.6,"(18.4, 22.8)"
TX,Bexar,48029151302,18.1,"(16.1, 20.4)"
TX,Bexar,48029151400,18.9,"(16.8, 21.2)"
TX,Bexar,48029151500,18.6,"(16.6, 20.8)"
TX,Bexar,48029151600,16.6,"(14.6, 18.7)"
TX,Bexar,48029151700,16.8,"(14.9, 18.8)"
TX,Bexar,48029151900,15.4,"(13.6, 17.2)"
TX,Bexar,48029152000,11.0,"( 9.7, 12.5)"
TX,Bexar,48029152100,17.1,"(15.1, 19.1)"
TX,Bexar,48029152201,18.0,"(16.0, 20.1)"
TX,Bexar,48029152202,14.8,"(12.9, 16.6)"
TX,Bexar,48029160100,22.9,"(20.6, 25.3)"
TX,Bexar,48029160200,21.1,"(18.6, 23.6)"
TX,Bexar,48029160300,21.3,"(18.9, 23.8)"
TX,Bexar,48029160400,23.1,"(20.8, 25.7)"
TX,Bexar,48029160501,27.8,"(25.3, 30.3)"
TX,Bexar,48029160502,22.9,"(20.7, 25.4)"
TX,Bexar,48029160600,23.7,"(21.3, 26.2)"
TX,Bexar,48029160701,24.3,"(21.8, 26.9)"
TX,Bexar,48029160702,25.6,"(23.1, 28.2)"
TX,Bexar,48029160901,22.2,"(19.7, 24.8)"
TX,Bexar,48029160902,21.0,"(18.7, 23.4)"
TX,Bexar,48029161000,22.4,"(20.2, 24.9)"
TX,Bexar,48029161100,19.3,"(17.1, 21.6)"
TX,Bexar,48029161200,16.3,"(14.5, 18.2)"
TX,Bexar,48029161302,18.7,"(16.6, 20.8)"
TX,Bexar,48029161303,21.4,"(19.1, 23.8)"
TX,Bexar,48029161304,19.9,"(17.7, 22.0)"
TX,Bexar,48029161400,2.0,"( 1.7,  2.4)"
TX,Bexar,48029161501,20.1,"(17.9, 22.3)"
TX,Bexar,48029161503,17.3,"(15.3, 19.2)"
TX,Bexar,48029161504,16.4,"(14.6, 18.4)"
TX,Bexar,48029161600,19.2,"(17.1, 21.5)"
TX,Bexar,48029161801,14.0,"(12.3, 15.8)"
TX,Bexar,48029161802,13.9,"(12.3, 15.7)"
TX,Bexar,48029161901,17.6,"(15.7, 19.7)"
TX,Bexar,48029161902,11.1,"( 9.8, 12.5)"
TX,Bexar,48029162001,18.7,"(16.6, 20.8)"
TX,Bexar,48029162003,16.9,"(15.1, 18.9)"
TX,Bexar,48029162004,16.9,"(15.0, 18.9)"
TX,Bexar,48029170101,23.0,"(20.7, 25.4)"
TX,Bexar,48029170102,25.5,"(22.9, 28.1)"
TX,Bexar,48029170200,28.8,"(26.0, 31.6)"
TX,Bexar,48029170300,21.4,"(19.1, 23.8)"
TX,Bexar,48029170401,23.1,"(20.8, 25.6)"
TX,Bexar,48029170402,23.2,"(20.8, 25.9)"
TX,Bexar,48029170500,20.5,"(18.1, 23.0)"
TX,Bexar,48029170600,18.8,"(16.6, 21.2)"
TX,Bexar,48029170700,23.1,"(20.7, 25.7)"
TX,Bexar,48029170800,26.3,"(23.9, 28.8)"
TX,Bexar,48029170900,25.5,"(23.0, 28.3)"
TX,Bexar,48029171000,25.2,"(22.5, 27.9)"
TX,Bexar,48029171100,24.1,"(21.5, 26.8)"
TX,Bexar,48029171200,24.1,"(21.6, 26.5)"
TX,Bexar,48029171301,21.9,"(19.6, 24.5)"
TX,Bexar,48029171302,17.8,"(15.7, 20.0)"
TX,Bexar,48029171401,18.5,"(16.4, 20.7)"
TX,Bexar,48029171402,20.0,"(18.0, 22.3)"
TX,Bexar,48029171501,25.5,"(23.0, 28.3)"
TX,Bexar,48029171502,23.5,"(21.1, 25.9)"
TX,Bexar,48029171601,20.2,"(18.1, 22.6)"
TX,Bexar,48029171602,18.5,"(16.6, 20.5)"
TX,Bexar,48029171700,17.5,"(15.4, 19.6)"
TX,Bexar,48029171801,17.2,"(15.2, 19.4)"
TX,Bexar,48029171802,19.3,"(17.2, 21.5)"
TX,Bexar,48029171903,17.0,"(15.1, 19.0)"
TX,Bexar,48029171912,11.6,"(10.2, 13.2)"
TX,Bexar,48029171913,13.5,"(11.9, 15.2)"
TX,Bexar,48029171914,14.7,"(13.0, 16.6)"
TX,Bexar,48029171915,18.0,"(15.8, 20.2)"
TX,Bexar,48029171916,11.1,"( 9.8, 12.5)"
TX,Bexar,48029171917,12.1,"(10.6, 13.7)"
TX,Bexar,48029171918,10.4,"( 9.1, 11.8)"
TX,Bexar,48029171919,10.0,"( 8.7, 11.4)"
TX,Bexar,48029171920,12.9,"(11.4, 14.5)"
TX,Bexar,48029171921,14.4,"(12.7, 16.2)"
TX,Bexar,48029171922,10.2,"( 8.9, 11.6)"
TX,Bexar,48029171923,11.9,"(10.5, 13.5)"
TX,Bexar,48029171924,10.1,"( 8.9, 11.5)"
TX,Bexar,48029171926,8.7,"( 7.7,  9.9)"
TX,Bexar,48029171927,11.6,"(10.3, 13.1)"
TX,Bexar,48029171928,11.3,"( 9.8, 12.8)"
TX,Bexar,48029171929,16.3,"(14.4, 18.3)"
TX,Bexar,48029172002,10.2,"( 8.9, 11.5)"
TX,Bexar,48029172003,10.8,"( 9.6, 12.3)"
TX,Bexar,48029172004,12.6,"(11.0, 14.3)"
TX,Bexar,48029172005,10.5,"( 9.2, 11.9)"
TX,Bexar,48029172006,10.5,"( 9.1, 11.9)"
TX,Bexar,48029172008,9.7,"( 8.5, 11.0)"
TX,Bexar,48029172009,9.8,"( 8.5, 11.1)"
TX,Bexar,48029180101,17.3,"(15.3, 19.3)"
TX,Bexar,48029180102,13.3,"(11.6, 15.0)"
TX,Bexar,48029180201,19.2,"(17.1, 21.6)"
TX,Bexar,48029180202,21.8,"(19.3, 24.3)"
TX,Bexar,48029180300,20.8,"(18.6, 23.3)"
TX,Bexar,48029180400,20.1,"(17.8, 22.4)"
TX,Bexar,48029180501,25.7,"(23.0, 28.4)"
TX,Bexar,48029180503,20.7,"(18.3, 23.3)"
TX,Bexar,48029180504,22.1,"(19.7, 24.6)"
TX,Bexar,48029180602,19.2,"(16.8, 21.4)"
TX,Bexar,48029180603,14.0,"(12.3, 15.7)"
TX,Bexar,48029180604,18.4,"(16.3, 20.6)"
TX,Bexar,48029180701,12.9,"(11.4, 14.6)"
TX,Bexar,48029180702,15.9,"(14.1, 17.9)"
TX,Bexar,48029180800,20.9,"(18.8, 23.3)"
TX,Bexar,48029180901,17.0,"(14.9, 19.1)"
TX,Bexar,48029180902,17.8,"(15.9, 20.1)"
TX,Bexar,48029181001,16.3,"(14.4, 18.4)"
TX,Bexar,48029181003,12.0,"(10.6, 13.4)"
TX,Bexar,48029181004,10.9,"( 9.5, 12.3)"
TX,Bexar,48029181005,15.5,"(13.9, 17.3)"
TX,Bexar,48029181100,12.8,"(11.1, 14.5)"
TX,Bexar,48029181200,12.3,"(10.7, 13.9)"
TX,Bexar,48029181301,10.5,"( 9.2, 11.8)"
TX,Bexar,48029181302,10.2,"( 8.9, 11.5)"
TX,Bexar,48029181303,13.5,"(12.0, 15.0)"
TX,Bexar,48029181402,9.8,"( 8.6, 11.1)"
TX,Bexar,48029181403,11.1,"( 9.8, 12.5)"
TX,Bexar,48029181404,9.5,"( 8.4, 10.8)"
TX,Bexar,48029181503,11.9,"(10.5, 13.4)"
TX,Bexar,48029181504,10.1,"( 8.9, 11.4)"
TX,Bexar,48029181505,12.7,"(11.1, 14.3)"
TX,Bexar,48029181506,18.2,"(16.1, 20.3)"
TX,Bexar,48029181601,20.4,"(18.2, 22.8)"
TX,Bexar,48029181602,18.2,"(16.1, 20.2)"
TX,Bexar,48029181703,11.7,"(10.2, 13.4)"
TX,Bexar,48029181704,15.2,"(13.5, 16.9)"
