StateAbbr,CountyName,TractFIPS,DIABETES_CrudePrev,DIABETES_Crude95CI
TX,Dallas,48113000100,6.5,"( 5.6,  7.5)"
TX,Dallas,48113000201,6.4,"( 5.5,  7.4)"
TX,Dallas,48113000202,6.0,"( 5.2,  6.9)"
TX,Dallas,48113000300,5.6,"( 4.8,  6.5)"
TX,Dallas,48113000401,11.1,"( 9.8, 12.6)"
TX,Dallas,48113000405,9.4,"( 8.2, 10.7)"
TX,Dallas,48113000407,12.1,"(10.7, 13.9)"
TX,Dallas,48113000408,7.7,"( 6.7,  8.8)"
TX,Dallas,48113000409,3.8,"( 3.3,  4.3)"
TX,Dallas,48113000410,18.2,"(16.0, 20.4)"
TX,Dallas,48113000501,4.2,"( 3.6,  4.8)"
TX,Dallas,48113000502,7.5,"( 6.4,  8.6)"
TX,Dallas,48113000503,3.6,"( 3.1,  4.2)"
TX,Dallas,48113000605,7.8,"( 6.7,  9.0)"
TX,Dallas,48113000606,9.6,"( 8.3, 11.1)"
TX,Dallas,48113000607,6.8,"( 5.9,  8.0)"
TX,Dallas,48113000608,6.7,"( 5.8,  7.8)"
TX,Dallas,48113000609,6.9,"( 6.0,  8.0)"
TX,Dallas,48113000610,11.3,"( 9.9, 13.0)"
TX,Dallas,48113000611,7.5,"( 6.5,  8.6)"
TX,Dallas,48113000703,4.6,"( 3.9,  5.2)"
TX,Dallas,48113000704,3.1,"( 2.6,  3.5)"
TX,Dallas,48113000705,5.3,"( 4.6,  6.1)"
TX,Dallas,48113000706,5.2,"( 4.5,  5.9)"
TX,Dallas,48113000801,9.9,"( 8.6, 11.2)"
TX,Dallas,48113000802,4.9,"( 4.3,  5.7)"
TX,Dallas,48113000901,2.6,"( 2.3,  3.0)"
TX,Dallas,48113000902,5.0,"( 4.3,  5.7)"
TX,Dallas,48113001001,5.2,"( 4.5,  6.0)"
TX,Dallas,48113001002,5.6,"( 4.8,  6.4)"
TX,Dallas,48113001101,5.5,"( 4.8,  6.3)"
TX,Dallas,48113001102,5.8,"( 5.0,  6.7)"
TX,Dallas,48113001202,6.8,"( 5.9,  7.7)"
TX,Dallas,48113001203,10.8,"( 9.4, 12.5)"
TX,Dallas,48113001204,13.1,"(11.4, 14.8)"
TX,Dallas,48113001301,8.7,"( 7.5, 10.0)"
TX,Dallas,48113001302,10.6,"( 9.3, 12.1)"
TX,Dallas,48113001400,9.5,"( 8.3, 10.9)"
TX,Dallas,48113001502,14.5,"(13.0, 16.2)"
TX,Dallas,48113001503,8.2,"( 7.2,  9.3)"
TX,Dallas,48113001504,9.3,"( 8.1, 10.5)"
TX,Dallas,48113001601,10.2,"( 9.0, 11.6)"
TX,Dallas,48113001602,5.5,"( 4.8,  6.3)"
TX,Dallas,48113001703,3.7,"( 3.2,  4.3)"
TX,Dallas,48113001705,5.0,"( 4.4,  5.8)"
TX,Dallas,48113001801,3.1,"( 2.7,  3.7)"
TX,Dallas,48113001802,2.5,"( 2.1,  2.8)"
TX,Dallas,48113001901,6.1,"( 5.3,  7.1)"
TX,Dallas,48113001902,3.2,"( 2.8,  3.7)"
TX,Dallas,48113002001,7.7,"( 6.8,  8.7)"
TX,Dallas,48113002002,16.2,"(14.3, 18.4)"
TX,Dallas,48113002100,6.4,"( 5.5,  7.3)"
TX,Dallas,48113002200,6.9,"( 6.1,  7.9)"
TX,Dallas,48113002400,15.5,"(13.7, 17.5)"
TX,Dallas,48113002500,18.6,"(16.6, 20.9)"
TX,Dallas,48113002703,19.9,"(17.7, 22.4)"
TX,Dallas,48113003102,7.1,"( 6.1,  8.2)"
TX,Dallas,48113003103,7.0,"( 6.2,  8.1)"
TX,Dallas,48113003700,17.3,"(15.3, 19.4)"
TX,Dallas,48113004201,9.1,"( 7.9, 10.4)"
TX,Dallas,48113004202,9.9,"( 8.7, 11.3)"
TX,Dallas,48113004300,5.7,"( 5.0,  6.5)"
TX,Dallas,48113004400,9.3,"( 8.0, 10.8)"
TX,Dallas,48113004500,14.3,"(12.5, 16.5)"
TX,Dallas,48113004600,9.9,"( 8.6, 11.4)"
TX,Dallas,48113004700,12.8,"(11.1, 14.5)"
TX,Dallas,48113004800,15.2,"(13.3, 17.1)"
TX,Dallas,48113005000,18.0,"(15.8, 20.3)"
TX,Dallas,48113005100,16.9,"(14.9, 19.3)"
TX,Dallas,48113005200,12.9,"(11.1, 14.8)"
TX,Dallas,48113005300,14.3,"(12.6, 16.2)"
TX,Dallas,48113005400,17.7,"(15.7, 19.8)"
TX,Dallas,48113005500,15.8,"(14.0, 17.6)"
TX,Dallas,48113005600,17.8,"(15.9, 19.9)"
TX,Dallas,48113005700,19.5,"(17.4, 21.7)"
TX,Dallas,48113005901,18.7,"(16.7, 20.9)"
TX,Dallas,48113005902,22.0,"(19.6, 24.5)"
TX,Dallas,48113006001,17.7,"(15.7, 19.8)"
TX,Dallas,48113006002,16.1,"(14.4, 18.0)"
TX,Dallas,48113006100,17.6,"(15.5, 19.8)"
TX,Dallas,48113006200,15.1,"(13.4, 17.0)"
TX,Dallas,48113006301,13.9,"(12.1, 15.9)"
TX,Dallas,48113006302,11.3,"( 9.8, 13.0)"
TX,Dallas,48113006401,16.3,"(14.2, 18.4)"
TX,Dallas,48113006402,16.3,"(14.5, 18.5)"
TX,Dallas,48113006501,16.4,"(14.4, 18.5)"
TX,Dallas,48113006502,15.9,"(14.0, 18.0)"
TX,Dallas,48113006701,16.4,"(14.6, 18.5)"
TX,Dallas,48113006702,18.9,"(16.7, 21.2)"
TX,Dallas,48113006800,12.8,"(11.3, 14.4)"
TX,Dallas,48113006900,15.2,"(13.5, 17.1)"
TX,Dallas,48113007101,7.1,"( 6.1,  8.2)"
TX,Dallas,48113007102,11.9,"(10.4, 13.6)"
TX,Dallas,48113007203,14.3,"(12.7, 16.1)"
TX,Dallas,48113007204,14.1,"(12.3, 16.0)"
TX,Dallas,48113007205,14.8,"(13.1, 16.7)"
TX,Dallas,48113007206,14.9,"(13.2, 16.9)"
TX,Dallas,48113007301,7.1,"( 6.1,  8.1)"
TX,Dallas,48113007302,7.9,"( 6.8,  9.2)"
TX,Dallas,48113007601,9.1,"( 7.7, 10.6)"
TX,Dallas,48113007604,8.7,"( 7.5, 10.2)"
TX,Dallas,48113007605,10.4,"( 9.0, 11.9)"
TX,Dallas,48113007701,10.7,"( 9.0, 12.7)"
TX,Dallas,48113007702,10.0,"( 8.7, 11.7)"
TX,Dallas,48113007801,11.1,"( 9.5, 12.9)"
TX,Dallas,48113007805,15.4,"(13.4, 17.7)"
TX,Dallas,48113007809,9.8,"( 8.6, 11.3)"
TX,Dallas,48113007810,10.5,"( 9.2, 11.9)"
TX,Dallas,48113007812,8.5,"( 7.4,  9.8)"
TX,Dallas,48113007815,13.9,"(12.4, 15.6)"
TX,Dallas,48113007819,11.8,"(10.3, 13.3)"
TX,Dallas,48113007821,10.1,"( 8.8, 11.5)"
TX,Dallas,48113007822,6.7,"( 5.9,  7.7)"
TX,Dallas,48113007823,6.3,"( 5.5,  7.3)"
TX,Dallas,48113007824,8.4,"( 7.3,  9.6)"
TX,Dallas,48113007825,10.7,"( 9.4, 12.1)"
TX,Dallas,48113007826,5.7,"( 5.0,  6.6)"
TX,Dallas,48113007827,11.8,"(10.4, 13.4)"
TX,Dallas,48113007828,8.5,"( 7.4,  9.7)"
TX,Dallas,48113007829,14.3,"(12.6, 16.2)"
TX,Dallas,48113007830,14.3,"(12.7, 16.1)"
TX,Dallas,48113007831,9.0,"( 7.9, 10.3)"
TX,Dallas,48113007832,14.3,"(12.7, 16.2)"
TX,Dallas,48113007833,17.8,"(15.9, 19.9)"
TX,Dallas,48113007834,12.2,"(10.7, 13.9)"
TX,Dallas,48113007835,13.0,"(11.4, 14.7)"
TX,Dallas,48113007902,7.6,"( 6.5,  8.7)"
TX,Dallas,48113007903,7.4,"( 6.4,  8.6)"
TX,Dallas,48113007906,9.8,"( 8.4, 11.6)"
TX,Dallas,48113007909,5.6,"( 4.9,  6.4)"
TX,Dallas,48113007910,5.3,"( 4.7,  6.1)"
TX,Dallas,48113007912,4.0,"( 3.5,  4.6)"
TX,Dallas,48113007913,6.0,"( 5.2,  7.1)"
TX,Dallas,48113007914,5.0,"( 4.3,  5.8)"
TX,Dallas,48113007915,4.2,"( 3.6,  4.8)"
TX,Dallas,48113007916,3.6,"( 3.1,  4.1)"
TX,Dallas,48113008000,7.0,"( 6.0,  8.1)"
TX,Dallas,48113008101,9.0,"( 7.8, 10.5)"
TX,Dallas,48113008102,8.1,"( 7.0,  9.4)"
TX,Dallas,48113008200,9.4,"( 8.2, 10.8)"
TX,Dallas,48113008401,13.3,"(11.8, 15.0)"
TX,Dallas,48113008402,13.5,"(11.9, 15.2)"
TX,Dallas,48113008500,16.4,"(14.4, 18.5)"
