StateAbbr,CountyName,TractFIPS,DIABETES_CrudePrev,DIABETES_Crude95CI
TX,Tarrant,48439100101,14.7,"(13.0, 16.5)"
TX,Tarrant,48439100102,13.3,"(11.6, 15.2)"
TX,Tarrant,48439100201,19.7,"(17.5, 21.9)"
TX,Tarrant,48439100202,17.4,"(15.3, 19.5)"
TX,Tarrant,48439100300,15.7,"(13.9, 17.4)"
TX,Tarrant,48439100401,19.2,"(17.1, 21.3)"
TX,Tarrant,48439100402,16.6,"(14.5, 18.7)"
TX,Tarrant,48439100503,16.7,"(14.7, 18.7)"
TX,Tarrant,48439100504,17.3,"(15.4, 19.3)"
TX,Tarrant,48439100505,15.7,"(13.9, 17.5)"
TX,Tarrant,48439100506,15.5,"(13.7, 17.3)"
TX,Tarrant,48439100601,10.8,"( 9.5, 12.2)"
TX,Tarrant,48439100602,11.7,"(10.3, 13.1)"
TX,Tarrant,48439100700,12.6,"(11.0, 14.4)"
TX,Tarrant,48439100800,17.8,"(15.6, 20.2)"
TX,Tarrant,48439100900,22.0,"(19.3, 24.5)"
TX,Tarrant,48439101201,12.6,"(11.0, 14.2)"
TX,Tarrant,48439101202,14.3,"(12.4, 16.1)"
TX,Tarrant,48439101301,16.3,"(14.5, 18.2)"
TX,Tarrant,48439101302,22.1,"(19.9, 24.3)"
TX,Tarrant,48439101401,15.2,"(13.5, 17.1)"
TX,Tarrant,48439101402,17.2,"(15.2, 19.2)"
TX,Tarrant,48439101403,20.1,"(18.1, 22.3)"
TX,Tarrant,48439101500,15.8,"(13.9, 17.7)"
TX,Tarrant,48439101700,24.1,"(21.7, 26.6)"
TX,Tarrant,48439102000,5.4,"( 4.7,  6.2)"
TX,Tarrant,48439102101,8.2,"( 7.1,  9.5)"
TX,Tarrant,48439102102,12.1,"(10.5, 13.8)"
TX,Tarrant,48439102201,11.0,"( 9.5, 12.6)"
TX,Tarrant,48439102202,8.9,"( 7.5, 10.4)"
TX,Tarrant,48439102301,16.5,"(14.5, 18.3)"
TX,Tarrant,48439102302,14.8,"(12.9, 16.7)"
TX,Tarrant,48439102401,10.0,"( 8.7, 11.5)"
TX,Tarrant,48439102402,10.7,"( 9.1, 12.3)"
TX,Tarrant,48439102500,20.2,"(18.0, 22.6)"
TX,Tarrant,48439102601,11.4,"( 9.9, 12.9)"
TX,Tarrant,48439102602,11.4,"(10.0, 13.0)"
TX,Tarrant,48439102700,8.5,"( 7.3,  9.9)"
TX,Tarrant,48439103500,16.3,"(14.4, 18.3)"
TX,Tarrant,48439103601,18.0,"(16.1, 20.0)"
TX,Tarrant,48439103602,19.6,"(17.3, 22.0)"
TX,Tarrant,48439103701,17.0,"(15.2, 19.0)"
TX,Tarrant,48439103702,18.4,"(16.4, 20.4)"
