variable,lag,I,expected_I,se_I,p_sim
E_DIABETES,1,-0.004824164035658584,-0.002577319587628866,0.02114395963468475,0.122
E_DIABETES,2,-0.00386042583442505,-0.002577319587628866,0.015467367638852635,0.272
E_DIABETES,3,0.003893520734031532,-0.002577319587628866,0.013512935157422015,0.25
E_DIABETES,4,-0.003671659559285912,-0.002577319587628866,0.010339371568726522,0.425
E_DIABETES,5,0.0038134310764420982,-0.002577319587628866,0.009752271963255206,0.234
E_DIABETES,6,0.0028755224639727952,-0.002577319587628866,0.008964268997474623,0.228
E_CHD,1,-0.006826476492011141,-0.002577319587628866,0.02087291503788359,0.143
E_CHD,2,-0.005819686219809122,-0.002577319587628866,0.014984941366289563,0.246
E_CHD,3,0.0027822935204983353,-0.002577319587628866,0.01258940144852046,0.273
E_CHD,4,-0.005217607925584644,-0.002577319587628866,0.010661129811400803,0.451
E_CHD,5,0.0028435798289326722,-0.002577319587628866,0.00996019457113765,0.25
E_CHD,6,0.0014566126907577116,-0.002577319587628866,0.00861138173740409,0.26
walking_ind,1,0.6548580955583593,-0.002577319587628866,0.02573002176742453,0.001
walking_ind,2,0.4833868707039484,-0.002577319587628866,0.0186452786970138,0.001
walking_ind,3,0.382157630184905,-0.002577319587628866,0.01416889101459631,0.001
walking_ind,4,0.2985658527227934,-0.002577319587628866,0.012311979911346709,0.001
walking_ind,5,0.20135293860240072,-0.002577319587628866,0.010863874769928176,0.001
walking_ind,6,0.0852177934247037,-0.002577319587628866,0.009830301986673482,0.001
below_200_fed_poverty_percentage,1,0.019628927398021603,-0.002577319587628866,0.01960906107600909,0.058
below_200_fed_poverty_percentage,2,0.01878714970503992,-0.002577319587628866,0.014572805569603805,0.101
below_200_fed_poverty_percentage,3,0.009585943997945767,-0.002577319587628866,0.01260981634088531,0.143
below_200_fed_poverty_percentage,4,0.008065368795252256,-0.002577319587628866,0.010408466574251422,0.148
below_200_fed_poverty_percentage,5,0.004802630203202527,-0.002577319587628866,0.00949343900233112,0.205
below_200_fed_poverty_percentage,6,0.015039483965819837,-0.002577319587628866,0.008481581213435301,0.054
uninsured,1,-0.0023006424597905827,-0.002577319587628866,0.019774512480773252,0.115
uninsured,2,-0.0012087959259403785,-0.002577319587628866,0.014523412284691437,0.148
uninsured,3,-0.004723562203054661,-0.002577319587628866,0.011790627415579048,0.299
uninsured,4,-0.002632462646951077,-0.002577319587628866,0.009552654155223534,0.265
uninsured,5,-0.005745963614172757,-0.002577319587628866,0.008658904512555675,0.441
uninsured,6,0.0059445274289574405,-0.002577319587628866,0.008369689264048017,0.15
distance_to_nearest_uf,1,0.8076663746681861,-0.002577319587628866,0.026010362962285868,0.001
distance_to_nearest_uf,2,0.6145247152560819,-0.002577319587628866,0.01758788612001095,0.001
distance_to_nearest_uf,3,0.4477100354099983,-0.002577319587628866,0.013908223542846517,0.001
distance_to_nearest_uf,4,0.2922897250974836,-0.002577319587628866,0.012121704497679782,0.001
distance_to_nearest_uf,5,0.15628933307101156,-0.002577319587628866,0.010682620095954712,0.001
distance_to_nearest_uf,6,0.050826218912696036,-0.002577319587628866,0.010372734431223073,0.001
distance_to_nearest_grocery,1,0.31977391321570037,-0.002577319587628866,0.024763582765259022,0.001
distance_to_nearest_grocery,2,0.10950809469519286,-0.002577319587628866,0.01728250895019753,0.001
distance_to_nearest_grocery,3,0.07274881754072993,-0.002577319587628866,0.01452254977586347,0.001
distance_to_nearest_grocery,4,0.057649575531654604,-0.002577319587628866,0.011837390928134201,0.001
distance_to_nearest_grocery,5,0.035430716405413835,-0.002577319587628866,0.010931579182557171,0.001
distance_to_nearest_grocery,6,-0.005463443769882114,-0.002577319587628866,0.010143791948882614,0.406
distance_to_nearest_fm,1,0.8768823015613562,-0.002577319587628866,0.024869537806882253,0.001
distance_to_nearest_fm,2,0.7544615178357016,-0.002577319587628866,0.01760528623342003,0.001
distance_to_nearest_fm,3,0.6296064385576896,-0.002577319587628866,0.014378812696084448,0.001
distance_to_nearest_fm,4,0.49201272627357656,-0.002577319587628866,0.012192254119292556,0.001
distance_to_nearest_fm,5,0.3617305779875152,-0.002577319587628866,0.011137169590246384,0.001
distance_to_nearest_fm,6,0.24144437522108622,-0.002577319587628866,0.010154241953681926,0.001
