variable,lag,I,expected_I,se_I,p_sim
E_DIABETES,1,0.15852849174178732,-0.0007763975155279503,0.010589798838174624,0.001
E_DIABETES,2,-0.00835373326583982,-0.0007763975155279503,0.007605059360319394,0.106
E_DIABETES,3,-0.010186610118237889,-0.0007763975155279503,0.006118484263344535,0.001
E_DIABETES,4,-0.004289037529603484,-0.0007763975155279503,0.005099907906455351,0.26
E_DIABETES,5,0.02537931197639559,-0.0007763975155279503,0.0044689648910462695,0.001
E_DIABETES,6,0.00715347033066131,-0.0007763975155279503,0.0041808217606029525,0.047
E_CHD,1,0.15855200878014444,-0.0007763975155279503,0.010575049703759004,0.001
E_CHD,2,-0.00755944439369762,-0.0007763975155279503,0.007595004440953833,0.234
E_CHD,3,-0.008921147219805437,-0.0007763975155279503,0.006409038411817675,0.01
E_CHD,4,-0.0034436799292352632,-0.0007763975155279503,0.005101901739647006,0.333
E_CHD,5,0.026123500124842325,-0.0007763975155279503,0.004437054184027049,0.001
E_CHD,6,0.007615715598640862,-0.0007763975155279503,0.00412530638084345,0.035
walking_ind,1,0.7658915346531717,-0.0007763975155279503,0.011406984761691597,0.001
walking_ind,2,0.6766553208006314,-0.0007763975155279503,0.008288633142439017,0.001
walking_ind,3,0.6270021777438836,-0.0007763975155279503,0.006645884995945467,0.001
walking_ind,4,0.5513984443247021,-0.0007763975155279503,0.005399213704430195,0.001
walking_ind,5,0.4683741956779945,-0.0007763975155279503,0.004548041105970281,0.001
walking_ind,6,0.3832766229542201,-0.0007763975155279503,0.004133289853242487,0.001
below_200_fed_poverty_percentage,1,0.11288443636578246,-0.0007763975155279503,0.010020357813110873,0.001
below_200_fed_poverty_percentage,2,0.023837043666930888,-0.0007763975155279503,0.007727036049681127,0.014
below_200_fed_poverty_percentage,3,0.013177487590887898,-0.0007763975155279503,0.005962489148273668,0.034
below_200_fed_poverty_percentage,4,0.017844793383785015,-0.0007763975155279503,0.005223021925918751,0.01
below_200_fed_poverty_percentage,5,0.007858823180846455,-0.0007763975155279503,0.004363049233089538,0.043
below_200_fed_poverty_percentage,6,-0.001388155455748083,-0.0007763975155279503,0.003843501049128902,0.482
uninsured,1,0.1266353149659249,-0.0007763975155279503,0.010312653016405058,0.001
uninsured,2,0.015417112771821994,-0.0007763975155279503,0.007491037115233782,0.058
uninsured,3,0.0040831000625514155,-0.0007763975155279503,0.0060259019448707036,0.191
uninsured,4,0.011343222784763114,-0.0007763975155279503,0.004801698784043357,0.028
uninsured,5,0.010302848387517483,-0.0007763975155279503,0.00433519593440302,0.026
uninsured,6,-0.0023493386010023085,-0.0007763975155279503,0.003800828557745475,0.421
distance_to_nearest_uf,1,0.9507643923348608,-0.0007763975155279503,0.011090067052778282,0.001
distance_to_nearest_uf,2,0.8638692450088857,-0.0007763975155279503,0.008061931491454162,0.001
distance_to_nearest_uf,3,0.7079554184862995,-0.0007763975155279503,0.006300041766030301,0.001
distance_to_nearest_uf,4,0.5406950541688039,-0.0007763975155279503,0.005339773984931868,0.001
distance_to_nearest_uf,5,0.39780955187858774,-0.0007763975155279503,0.004745720222717276,0.001
distance_to_nearest_uf,6,0.2908199311093136,-0.0007763975155279503,0.004314727809157132,0.001
distance_to_nearest_grocery,1,0.38164224817360576,-0.0007763975155279503,0.011496447056662114,0.001
distance_to_nearest_grocery,2,0.2302606066496803,-0.0007763975155279503,0.008199353577326738,0.001
distance_to_nearest_grocery,3,0.18087095048153903,-0.0007763975155279503,0.006493030810519246,0.001
distance_to_nearest_grocery,4,0.1534849144681347,-0.0007763975155279503,0.0052352866588063676,0.001
distance_to_nearest_grocery,5,0.13736974932961232,-0.0007763975155279503,0.004621656977572246,0.001
distance_to_nearest_grocery,6,0.12209129757689163,-0.0007763975155279503,0.004208610976786063,0.001
distance_to_nearest_fm,1,0.9537841029194669,-0.0007763975155279503,0.011485569997130324,0.001
distance_to_nearest_fm,2,0.8727387755809477,-0.0007763975155279503,0.008143143736456823,0.001
distance_to_nearest_fm,3,0.7311497211670649,-0.0007763975155279503,0.006568082558730117,0.001
distance_to_nearest_fm,4,0.5814747780244912,-0.0007763975155279503,0.005466449693189869,0.001
distance_to_nearest_fm,5,0.45787048027524624,-0.0007763975155279503,0.004514712583457275,0.001
distance_to_nearest_fm,6,0.34791060373742877,-0.0007763975155279503,0.004190896972356433,0.001
