variable,lag,I,expected_I,se_I,p_sim
E_DIABETES,1,0.30028545764392645,-0.0021598272138228943,0.01946488828701813,0.001
E_DIABETES,2,-0.0022957442906646162,-0.0021598272138228943,0.014405910059294905,0.359
E_DIABETES,3,-0.00442818905789717,-0.0021598272138228943,0.011169191418170616,0.475
E_DIABETES,4,-0.003723710475738268,-0.0021598272138228943,0.00914981433615086,0.499
E_DIABETES,5,-0.004249674649807838,-0.0021598272138228943,0.00862200321503669,0.439
E_DIABETES,6,-0.004715037970579949,-0.0021598272138228943,0.008058952308661044,0.456
E_CHD,1,0.29832933732410005,-0.0021598272138228943,0.01926673077081858,0.001
E_CHD,2,-0.004808336718286451,-0.0021598272138228943,0.013637753957308625,0.361
E_CHD,3,-0.007252474751783164,-0.0021598272138228943,0.010754148510791458,0.491
E_CHD,4,-0.006399401933303722,-0.0021598272138228943,0.009853931828211539,0.411
E_CHD,5,-0.0064512314949054525,-0.0021598272138228943,0.008379271931388122,0.385
E_CHD,6,-0.0064681849419064835,-0.0021598272138228943,0.007921938417452255,0.362
walking_ind,1,0.6592805979573889,-0.0021598272138228943,0.021919529077421396,0.001
walking_ind,2,0.49713627100695995,-0.0021598272138228943,0.015645695543307973,0.001
walking_ind,3,0.3991954755116084,-0.0021598272138228943,0.012163233676591343,0.001
walking_ind,4,0.28757600748612383,-0.0021598272138228943,0.010431956033109127,0.001
walking_ind,5,0.16688116574584513,-0.0021598272138228943,0.009285906938413246,0.001
walking_ind,6,0.05103767870218767,-0.0021598272138228943,0.00896070465222825,0.001
below_200_fed_poverty_percentage,1,0.3916424031239261,-0.0021598272138228943,0.02111899668332289,0.001
below_200_fed_poverty_percentage,2,0.026026332734174096,-0.0021598272138228943,0.013657531972342627,0.05
below_200_fed_poverty_percentage,3,0.023168186699218475,-0.0021598272138228943,0.011145338423625691,0.039
below_200_fed_poverty_percentage,4,0.021866874790936255,-0.0021598272138228943,0.008895525044956207,0.022
below_200_fed_poverty_percentage,5,0.014357250061839423,-0.0021598272138228943,0.008662876491177545,0.051
below_200_fed_poverty_percentage,6,0.00824021488434437,-0.0021598272138228943,0.008119394588459164,0.12
uninsured,1,0.38157031755065696,-0.0021598272138228943,0.018709631283048655,0.001
uninsured,2,0.008860673850044177,-0.0021598272138228943,0.013999334964975444,0.182
uninsured,3,0.008178787565099006,-0.0021598272138228943,0.010587794685728407,0.177
uninsured,4,0.006940057824490016,-0.0021598272138228943,0.008826379031883026,0.158
uninsured,5,0.0053376276228211785,-0.0021598272138228943,0.008651190094956141,0.182
uninsured,6,0.002506235955485623,-0.0021598272138228943,0.007634243568413071,0.229
distance_to_nearest_uf,1,0.9334551397713693,-0.0021598272138228943,0.02307514291619638,0.001
distance_to_nearest_uf,2,0.779181777780061,-0.0021598272138228943,0.015201423190808859,0.001
distance_to_nearest_uf,3,0.5724620827805046,-0.0021598272138228943,0.012181026725442311,0.001
distance_to_nearest_uf,4,0.36499536971088503,-0.0021598272138228943,0.010769534705061102,0.001
distance_to_nearest_uf,5,0.16696940767328924,-0.0021598272138228943,0.009513435954136236,0.001
distance_to_nearest_uf,6,0.00743426709510925,-0.0021598272138228943,0.00939613548936394,0.161
distance_to_nearest_grocery,1,0.39497176949586593,-0.0021598272138228943,0.02180171940126284,0.001
distance_to_nearest_grocery,2,0.13906012475357754,-0.0021598272138228943,0.015218659443211187,0.001
distance_to_nearest_grocery,3,0.061384830751667584,-0.0021598272138228943,0.012243629084863532,0.001
distance_to_nearest_grocery,4,0.02287559990223289,-0.0021598272138228943,0.010584191597015858,0.012
distance_to_nearest_grocery,5,-0.03851285671013722,-0.0021598272138228943,0.009397231935110195,0.001
distance_to_nearest_grocery,6,-0.05615176475738398,-0.0021598272138228943,0.00876548283899529,0.001
distance_to_nearest_fm,1,0.9431622495084334,-0.0021598272138228943,0.0215714330799812,0.001
distance_to_nearest_fm,2,0.8494014612758146,-0.0021598272138228943,0.014751702666865157,0.001
distance_to_nearest_fm,3,0.7261210505911536,-0.0021598272138228943,0.012343601384180404,0.001
distance_to_nearest_fm,4,0.6014249796450742,-0.0021598272138228943,0.010481200663142448,0.001
distance_to_nearest_fm,5,0.4678048645038702,-0.0021598272138228943,0.00947408470250483,0.001
distance_to_nearest_fm,6,0.32022832793910283,-0.0021598272138228943,0.008833386520357648,0.001
