GEO_ID,NAME,B01003_001E,B01003_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
1400000US48201100001,Census Tract 1000.01; Harris County; Texas,5869,917
1400000US48201210400,Census Tract 2104; Harris County; Texas,3628,585
1400000US48201210500,Census Tract 2105; Harris County; Texas,4767,585
1400000US48201210600,Census Tract 2106; Harris County; Texas,5415,1589
1400000US48201210700,Census Tract 2107; Harris County; Texas,2208,410
1400000US48201210800,Census Tract 2108; Harris County; Texas,2250,605
1400000US48201210900,Census Tract 2109; Harris County; Texas,1812,515
1400000US48201211000,Census Tract 2110; Harris County; Texas,1674,330
1400000US48201211101,Census Tract 2111.01; Harris County; Texas,2954,933
1400000US48201211102,Census Tract 2111.02; Harris County; Texas,2401,674
1400000US48201211200,Census Tract 2112; Harris County; Texas,2330,474
1400000US48201211301,Census Tract 2113.01; Harris County; Texas,2676,473
1400000US48201211302,Census Tract 2113.02; Harris County; Texas,2075,524
1400000US48201211400,Census Tract 2114; Harris County; Texas,4291,687
1400000US48201211501,Census Tract 2115.01; Harris County; Texas,3129,695
1400000US48201211502,Census Tract 2115.02; Harris County; Texas,2805,959
1400000US48201211600,Census Tract 2116; Harris County; Texas,2802,513
1400000US48201211700,Census Tract 2117; Harris County; Texas,3838,694
1400000US48201211900,Census Tract 2119; Harris County; Texas,4150,956
1400000US48201212300,Census Tract 2123; Harris County; Texas,4731,809
1400000US48201212400,Census Tract 2124; Harris County; Texas,2871,461
1400000US48201212500,Census Tract 2125; Harris County; Texas,3456,640
1400000US48201220100,Census Tract 2201; Harris County; Texas,1524,233
1400000US48201220200,Census Tract 2202; Harris County; Texas,2405,400
1400000US48201220300,Census Tract 2203; Harris County; Texas,3773,781
1400000US48201220400,Census Tract 2204; Harris County; Texas,4176,1034
1400000US48201220500,Census Tract 2205; Harris County; Texas,3429,647
1400000US48201220600,Census Tract 2206; Harris County; Texas,3168,675
1400000US48201220701,Census Tract 2207.01; Harris County; Texas,3498,563
1400000US48201220702,Census Tract 2207.02; Harris County; Texas,3805,968
1400000US48201220800,Census Tract 2208; Harris County; Texas,3927,741
1400000US48201220900,Census Tract 2209; Harris County; Texas,1790,459
1400000US48201221000,Census Tract 2210; Harris County; Texas,3508,507
1400000US48201221100,Census Tract 2211; Harris County; Texas,3233,783
1400000US48201221200,Census Tract 2212; Harris County; Texas,5407,1079
1400000US48201221301,Census Tract 2213.01; Harris County; Texas,4052,1150
1400000US48201221302,Census Tract 2213.02; Harris County; Texas,3464,864
1400000US48201221400,Census Tract 2214; Harris County; Texas,5666,969
1400000US48201221501,Census Tract 2215.01; Harris County; Texas,4845,1086
1400000US48201221502,Census Tract 2215.02; Harris County; Texas,2953,749
1400000US48201221601,Census Tract 2216.01; Harris County; Texas,3264,1340
1400000US48201221602,Census Tract 2216.02; Harris County; Texas,5586,1019
1400000US48201221701,Census Tract 2217.01; Harris County; Texas,5311,1600
1400000US48201221702,Census Tract 2217.02; Harris County; Texas,2959,503
1400000US48201221800,Census Tract 2218; Harris County; Texas,4032,823
1400000US48201221900,Census Tract 2219; Harris County; Texas,4854,831
1400000US48201222000,Census Tract 2220; Harris County; Texas,2028,271
1400000US48201222100,Census Tract 2221; Harris County; Texas,4972,742
1400000US48201222200,Census Tract 2222; Harris County; Texas,3378,748
1400000US48201222300,Census Tract 2223; Harris County; Texas,4725,703
1400000US48201222401,Census Tract 2224.01; Harris County; Texas,3332,487
1400000US48201222402,Census Tract 2224.02; Harris County; Texas,7310,1926
1400000US48201222501,Census Tract 2225.01; Harris County; Texas,3447,724
1400000US48201222502,Census Tract 2225.02; Harris County; Texas,3969,857
1400000US48201222504,Census Tract 2225.04; Harris County; Texas,3340,623
1400000US48201222505,Census Tract 2225.05; Harris County; Texas,3304,633
1400000US48201222601,Census Tract 2226.01; Harris County; Texas,2269,552
1400000US48201222602,Census Tract 2226.02; Harris County; Texas,2320,478
