name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude ,date_collected,website,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON
Urban Roots East Austin Farm,"7651 Delwau Ln, Austin, TX 78725, USA",30.2628748,-97.6642254,http://www.urbanrootsatx.org/,"establishment, point_of_interest",ChIJa3zq91m2RIYRiQcwrsMaZVM,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HausBar Urban Farm,"3300 Govalle Ave, Austin, TX 78702, USA",30.2657903,-97.7009204,http://hausbarurbanfarm.com/,"establishment, point_of_interest",ChIJURTtlte1RIYRj_0fhij0FnY,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Roots South Austin Farm,"4711 Winnebago Ln, Austin, TX 78744, USA",30.2073362,-97.7351174,https://urbanrootsatx.org/,"establishment, point_of_interest",ChIJ7dpUWwCzRIYR_8ya8brOPG0,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historic Boggy Creek Farm,"3414 Lyons Rd, Austin, TX 78702, USA",30.2619693,-97.7015719,http://www.boggycreekfarm.com/,"establishment, lodging, point_of_interest",ChIJR9PUita1RIYR1FlipeiVMdU,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Gate Farms,"8310 Canoga Ave, Austin, TX 78724, USA",30.2854601,-97.6348087,https://greengatefarms.net/,"establishment, food, point_of_interest, store",ChIJCaFZ_SC3RIYRO80x3-ZLGTY,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray Fox Market Garden,"10802 Kit Carson Dr, Austin, TX 78737, USA",30.20334579999999,-97.9572447,Not listed,"establishment, point_of_interest",ChIJDXwqTqhIW4YRnJQKrS7jEaU,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agua Dulce Austin,"5015 Maufrais Ln, Austin, TX 78744, USA",30.199026,-97.736973,Not listed,"establishment, point_of_interest",ChIJYa_bnIOzRIYR_1sR3bssC1Q,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquaflora on Evelyn,"7108 Evelyn Rd, Austin, TX 78747, USA",30.0832166,-97.701344,https://www.aquafloraonevelyn.com/,"establishment, point_of_interest",ChIJ_-C1IACtRIYRwEMzjlvb6I4,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmshare Austin,"3608 River Rd, Cedar Creek, TX 78612, USA",30.19714579999999,-97.5118821,http://farmshareaustin.org/,"establishment, food, grocery_or_supermarket, point_of_interest, school, store",ChIJaRbuMW28RIYRQn-pviNGE40,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Leaf Agriculture,,30.27,-97.74,,,,,localharvest.org/new-leaf-agriculture-M80602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patchwork Farm,"Location: 16301 Decker Lake Rd. Manor, TX 78653",30.2572343,-97.5638109,,,,,https://www.patchworkfarmtx.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
