name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude ,date_collected,website,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON
Garcia Street Urban Farm,"218 Garcia St, San Antonio, TX 78203, USA",29.4177657,-98.4442612,https://www.alamo.edu/sac/about-sac/college-offices/eco-centro/eco-centro-garcia-street-urban-farm/,"establishment, point_of_interest",ChIJxVZ3_PVZXIYRo0moK73xFaU,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Bexar Farm,"14997 FM 1346, St Hedwig, TX 78152, USA",29.3788453,-98.1879184,https://www.greenbexarfarm.com/,"establishment, point_of_interest",ChIJN1dYeNjpXIYRdifzW-PEndI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pristine Produce,"723 SE Loop 410 Acc Rd, San Antonio, TX 78220, USA",29.4162973,-98.3904307,http://www.pristineproducesatx.com/,"establishment, food, point_of_interest",ChIJleIWlahnXIYRJ1zwRNgyZ1Q,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raising the Barn,"6339 Pickering Dr, San Antonio, TX 78238, USA",29.489342,-98.6140077,https://www.veggiestable.com/,"establishment, point_of_interest",ChIJj4IkYildXIYRGM6YnqOy5pg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Heart Farm,"19320 FM1937, San Antonio, TX 78221, USA",29.23225009999999,-98.4563396,Not listed,"establishment, point_of_interest",ChIJpRp-Bzr_XIYRBbgqMG-DmZw,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pan's Microgreens,"3105 Nogalitos St, San Antonio, TX 78225, USA",29.3854135,-98.5250074,http://pansmicrogreens.com/,"establishment, food, point_of_interest",ChIJO7TNW9dZXIYREaNaOa7PPkg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viva Microgreens,"11627 Bandera Rd, San Antonio, TX 78250, USA",29.5508025,-98.6643372,https://www.facebook.com/viva.microgreens,"establishment, point_of_interest",ChIJ1Yn0KJlpXIYRVB91rnup6To,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIVA Microgreens,"3314 Rock Creek Run, San Antonio, TX 78230, USA",29.5200384,-98.5490433,Not listed,"establishment, point_of_interest",ChIJKdwpRKFhXIYRnPy9N2qkkLc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MicroDaddy Microgreens,"Emerson Wy, St Hedwig, TX 78152, USA",29.4815062,-98.2163583,https://microdaddygreens.com/,"establishment, food, health, point_of_interest, store",ChIJZ13wsfHrXIYRwc0gy4aJMdg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osiris Microgreens,"1458 Riptide, San Antonio, TX 78264, USA",29.1426746,-98.4743743,https://www.facebook.com/Osirismicrogreens,"establishment, food, point_of_interest",ChIJ7ZstzMoBXYYRvTByIo_VA_Q,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armadillo Gardens,,29.45,-98.46,,,,,localharvest.org/armadillo-gardens-M86257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage Tomatoes of San Antonio,,29.57,-98.46,,,,,localharvest.org/heritage-tomatoes-of-san-antonio-M81716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
