name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude_1,date_collected,website,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON
Elmwood Farm,"1014 Nolte Dr, Dallas, TX 75208, USA",32.733665,-96.839587,https://www.elmwoodfarm.co/,"establishment, point_of_interest",ChIJU0-cis2bToYRyZtlm5ZeI_o,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joppy Momma's Farm,"7728 Carbondale St, Dallas, TX 75216, USA",32.7167069,-96.7508318,https://joppymommas.org/,"establishment, point_of_interest",ChIJ83XUCMSXToYRGSEJdqmd8Qo,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatcher Station Training Farm,"4500 Todd St, Dallas, TX 75210, USA",32.766178,-96.7441991,http://www.restorativefarms.org/,"establishment, point_of_interest",ChIJIUgpTvSjToYRBuHzeEgdWuw,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonton Farms,"6911 Bexar St, Dallas, TX 75215, USA",32.73473450000001,-96.7537576,http://bontonfarms.org/,"establishment, point_of_interest",ChIJn7-J6wuYToYRL2NAvMPqb8k,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonton Farms Extension,"12400 Ravenview Rd, Dallas, TX 75253, USA",32.694169,-96.603067,http://www.bontonfarms.org/,"establishment, point_of_interest",ChIJg91ZoOy6ToYRO4ne1iLt44A,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eden's Organic Garden Center & CSA Farm,"4710 Pioneer Rd, Balch Springs, TX 75180, USA",32.7058244,-96.6053968,http://www.edensorganicgardencenter.com/,"establishment, point_of_interest, store",ChIJ45xm7cC6ToYRjG_NnSXH-Fs,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gotham Greens Seagoville,"800 Environmental Way, Seagoville, TX 75159, USA",32.6460278,-96.5635523,https://www.gothamgreens.com/,"establishment, food, point_of_interest",ChIJA24ItduxToYRq4cIV-6Kv8w,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owenwood Farm & Neighbor Space,"1451 John West Rd, Dallas, TX 75228, USA",32.80732620000001,-96.6929134,http://www.owenwood.org/,"establishment, point_of_interest",ChIJGYwr_tijToYR1wY2UtF-5NI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawpaws Produce & Co,"2220 E Ledbetter Dr, Dallas, TX 75216, USA",32.686718,-96.786526,Not listed,"establishment, point_of_interest",ChIJO_lTzoGXToYR4R0ZbTZr3Mg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Prairie Farm,"4405 Sharpsburg Dr, Grand Prairie, TX 75052, USA",32.6657085,-97.020526,http://www.southprairiefarm.com/,"establishment, point_of_interest",ChIJ1y4RAOKJToYRy0rMSIqhDpA,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Farm Co. by Dallas Urban Farms,"Location: 3939 South Polk Street #511 Dallas, TX 75224",32.6968694,-96.8405856,,,,,localharvest.org/urban-farm-co-by-dallas-urban-farms-M66941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Healthy,"Location: N Westmoreland Rd 2010 Desoto, TX 75115",32.6283704,-96.8743237,,,,,localharvest.org/earth-healthy-M72493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Half Acre Farm,"13608 Fernheath Ln, Dallas, TX 75253",32.69072395,-96.58058119,,,,,,,,,,,,,,,,32.69072395,-96.58058119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liberty Street Garden, at The Meadows Foundation","510 Liberty St, Dallas, TX 75204",32.78901557,-96.78563837,,,,,,,,,,,,,,,,32.78901557,-96.78563837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WE over Me Farm, at Paul Quinn College","3837 Simpson Stuart Rd, Dallas, Texas, 75241",32.68053894,-96.75183483,,,,,,,,,,,,,,,,32.68053894,-96.75183483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cultivated Chicks,"1832 Glenn Lane, Glenn Heights, TX 75154",32.5555583,-96.8515583,,,,,,,,,,,,,,,,32.5555583,-96.8515583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardeners in Community Development,"901 Greenbriar Ln Richardson, TX 75080",32.9741201,-96.75231941,https://www.facebook.com/gardendallas/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon City Farms ,"2435 Walnut Ridge Street Dallas, TX 75229",32.8943,-96.8856,https://dragoncityfarms.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simply Grace Gardens,"150 E. 1st Street, Lancaster, Texas 75146",32.604257,-96.754928,https://texaslocalfood.org/tclf-partner/simply-grace-gardens/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
