StateAbbr,CountyName,TractFIPS,CHD_CrudePrev,CHD_Crude95CI
TX,Dallas,48113000100,3.3,"( 2.9,  3.8)"
TX,Dallas,48113000201,3.4,"( 3.0,  3.9)"
TX,Dallas,48113000202,3.0,"( 2.6,  3.4)"
TX,Dallas,48113000300,2.9,"( 2.5,  3.3)"
TX,Dallas,48113000401,4.3,"( 3.9,  4.9)"
TX,Dallas,48113000405,3.6,"( 3.2,  4.0)"
TX,Dallas,48113000407,5.1,"( 4.5,  5.8)"
TX,Dallas,48113000408,3.8,"( 3.4,  4.3)"
TX,Dallas,48113000409,1.4,"( 1.2,  1.6)"
TX,Dallas,48113000410,7.5,"( 6.5,  8.4)"
TX,Dallas,48113000501,1.8,"( 1.6,  2.0)"
TX,Dallas,48113000502,4.5,"( 3.9,  5.1)"
TX,Dallas,48113000503,1.6,"( 1.4,  1.8)"
TX,Dallas,48113000605,4.5,"( 3.9,  5.2)"
TX,Dallas,48113000606,6.1,"( 5.4,  7.0)"
TX,Dallas,48113000607,3.7,"( 3.2,  4.3)"
TX,Dallas,48113000608,3.4,"( 3.0,  4.0)"
TX,Dallas,48113000609,3.4,"( 3.0,  3.9)"
TX,Dallas,48113000610,4.5,"( 3.9,  5.1)"
TX,Dallas,48113000611,3.3,"( 3.0,  3.8)"
TX,Dallas,48113000703,2.3,"( 2.0,  2.6)"
TX,Dallas,48113000704,1.4,"( 1.3,  1.6)"
TX,Dallas,48113000705,2.5,"( 2.2,  2.9)"
TX,Dallas,48113000706,3.0,"( 2.6,  3.3)"
TX,Dallas,48113000801,3.9,"( 3.4,  4.4)"
TX,Dallas,48113000802,1.9,"( 1.7,  2.2)"
TX,Dallas,48113000901,1.2,"( 1.1,  1.4)"
TX,Dallas,48113000902,2.1,"( 1.9,  2.4)"
TX,Dallas,48113001001,2.4,"( 2.1,  2.8)"
TX,Dallas,48113001002,2.4,"( 2.1,  2.8)"
TX,Dallas,48113001101,2.6,"( 2.3,  3.0)"
TX,Dallas,48113001102,2.9,"( 2.5,  3.4)"
TX,Dallas,48113001202,3.0,"( 2.6,  3.4)"
TX,Dallas,48113001203,5.0,"( 4.3,  5.7)"
TX,Dallas,48113001204,5.0,"( 4.4,  5.7)"
TX,Dallas,48113001301,4.8,"( 4.1,  5.6)"
TX,Dallas,48113001302,4.8,"( 4.2,  5.5)"
TX,Dallas,48113001400,4.3,"( 3.8,  4.9)"
TX,Dallas,48113001502,5.9,"( 5.3,  6.6)"
TX,Dallas,48113001503,3.4,"( 3.0,  3.8)"
TX,Dallas,48113001504,4.0,"( 3.5,  4.5)"
TX,Dallas,48113001601,3.9,"( 3.4,  4.4)"
TX,Dallas,48113001602,2.5,"( 2.2,  2.8)"
TX,Dallas,48113001703,1.8,"( 1.6,  2.1)"
TX,Dallas,48113001705,2.4,"( 2.2,  2.8)"
TX,Dallas,48113001801,1.4,"( 1.2,  1.7)"
TX,Dallas,48113001802,1.2,"( 1.0,  1.3)"
TX,Dallas,48113001901,3.3,"( 2.9,  3.8)"
TX,Dallas,48113001902,1.4,"( 1.2,  1.6)"
TX,Dallas,48113002001,2.9,"( 2.6,  3.3)"
TX,Dallas,48113002002,6.4,"( 5.6,  7.3)"
TX,Dallas,48113002100,2.6,"( 2.3,  3.0)"
TX,Dallas,48113002200,3.2,"( 2.9,  3.6)"
TX,Dallas,48113002400,6.1,"( 5.4,  6.8)"
TX,Dallas,48113002500,7.1,"( 6.3,  8.0)"
TX,Dallas,48113002703,7.3,"( 6.3,  8.2)"
TX,Dallas,48113003102,3.1,"( 2.7,  3.5)"
TX,Dallas,48113003103,2.9,"( 2.5,  3.2)"
TX,Dallas,48113003700,6.4,"( 5.7,  7.3)"
TX,Dallas,48113004201,4.1,"( 3.6,  4.6)"
TX,Dallas,48113004202,4.5,"( 3.9,  5.1)"
TX,Dallas,48113004300,2.0,"( 1.8,  2.3)"
TX,Dallas,48113004400,4.9,"( 4.2,  5.6)"
TX,Dallas,48113004500,5.9,"( 5.1,  6.8)"
TX,Dallas,48113004600,4.8,"( 4.2,  5.5)"
TX,Dallas,48113004700,4.9,"( 4.3,  5.6)"
TX,Dallas,48113004800,5.6,"( 4.8,  6.4)"
TX,Dallas,48113005000,7.3,"( 6.4,  8.3)"
TX,Dallas,48113005100,6.7,"( 5.8,  7.7)"
TX,Dallas,48113005200,5.2,"( 4.5,  6.0)"
TX,Dallas,48113005300,5.5,"( 4.9,  6.3)"
TX,Dallas,48113005400,7.1,"( 6.3,  7.9)"
TX,Dallas,48113005500,6.0,"( 5.4,  6.7)"
TX,Dallas,48113005600,6.8,"( 6.1,  7.5)"
TX,Dallas,48113005700,7.5,"( 6.7,  8.4)"
TX,Dallas,48113005901,7.4,"( 6.6,  8.3)"
TX,Dallas,48113005902,9.1,"( 8.0, 10.3)"
TX,Dallas,48113006001,6.7,"( 5.9,  7.5)"
TX,Dallas,48113006002,5.9,"( 5.2,  6.6)"
TX,Dallas,48113006100,7.2,"( 6.4,  8.1)"
TX,Dallas,48113006200,5.8,"( 5.1,  6.5)"
TX,Dallas,48113006301,5.3,"( 4.6,  6.0)"
TX,Dallas,48113006302,4.4,"( 3.8,  5.1)"
TX,Dallas,48113006401,6.1,"( 5.3,  7.0)"
TX,Dallas,48113006402,6.3,"( 5.5,  7.2)"
TX,Dallas,48113006501,6.0,"( 5.2,  6.8)"
TX,Dallas,48113006502,6.1,"( 5.3,  7.0)"
TX,Dallas,48113006701,6.2,"( 5.4,  7.0)"
TX,Dallas,48113006702,7.7,"( 6.8,  8.7)"
TX,Dallas,48113006800,5.3,"( 4.7,  5.9)"
TX,Dallas,48113006900,6.1,"( 5.4,  6.8)"
TX,Dallas,48113007101,3.9,"( 3.4,  4.4)"
TX,Dallas,48113007102,5.2,"( 4.5,  5.9)"
TX,Dallas,48113007203,5.1,"( 4.5,  5.8)"
TX,Dallas,48113007204,5.1,"( 4.4,  5.8)"
TX,Dallas,48113007205,5.3,"( 4.6,  6.0)"
