StateAbbr,CountyName,TractFIPS,CHD_CrudePrev,CHD_Crude95CI
TX,Travis,48453000101,5.0,"( 4.3,  5.9)"
TX,Travis,48453000102,5.6,"( 4.9,  6.5)"
TX,Travis,48453000203,3.6,"( 3.1,  4.2)"
TX,Travis,48453000204,3.2,"( 2.8,  3.6)"
TX,Travis,48453000205,2.4,"( 2.1,  2.7)"
TX,Travis,48453000206,4.7,"( 4.1,  5.4)"
TX,Travis,48453000302,2.9,"( 2.5,  3.3)"
TX,Travis,48453000304,2.0,"( 1.8,  2.3)"
TX,Travis,48453000305,2.4,"( 2.1,  2.7)"
TX,Travis,48453000307,3.3,"( 2.9,  3.8)"
TX,Travis,48453000308,3.4,"( 3.0,  3.9)"
TX,Travis,48453000309,2.5,"( 2.2,  2.8)"
TX,Travis,48453000401,2.5,"( 2.2,  2.8)"
TX,Travis,48453000402,3.3,"( 3.0,  3.7)"
TX,Travis,48453000500,2.5,"( 2.2,  2.8)"
TX,Travis,48453000601,1.4,"( 1.2,  1.6)"
TX,Travis,48453000605,1.6,"( 1.3,  1.8)"
TX,Travis,48453000606,1.4,"( 1.2,  1.7)"
TX,Travis,48453000607,1.8,"( 1.5,  2.0)"
TX,Travis,48453000608,2.2,"( 1.9,  2.5)"
TX,Travis,48453000700,4.0,"( 3.5,  4.5)"
TX,Travis,48453000801,4.5,"( 3.9,  5.1)"
TX,Travis,48453000802,4.3,"( 3.8,  4.9)"
TX,Travis,48453000803,2.1,"( 1.9,  2.4)"
TX,Travis,48453000804,4.0,"( 3.5,  4.4)"
TX,Travis,48453000901,2.3,"( 2.0,  2.5)"
TX,Travis,48453000902,2.8,"( 2.5,  3.2)"
TX,Travis,48453001000,5.1,"( 4.5,  5.8)"
TX,Travis,48453001101,6.3,"( 5.5,  7.2)"
TX,Travis,48453001102,3.1,"( 2.8,  3.6)"
TX,Travis,48453001103,3.6,"( 3.1,  4.1)"
TX,Travis,48453001200,2.8,"( 2.5,  3.2)"
TX,Travis,48453001304,2.9,"( 2.5,  3.3)"
TX,Travis,48453001307,4.1,"( 3.6,  4.6)"
TX,Travis,48453001308,2.5,"( 2.2,  2.9)"
TX,Travis,48453001309,3.3,"( 2.9,  3.7)"
TX,Travis,48453001310,2.1,"( 1.8,  2.4)"
TX,Travis,48453001311,1.9,"( 1.6,  2.1)"
TX,Travis,48453001312,3.4,"( 3.0,  3.9)"
TX,Travis,48453001401,2.9,"( 2.6,  3.3)"
TX,Travis,48453001402,3.1,"( 2.7,  3.6)"
TX,Travis,48453001403,3.9,"( 3.4,  4.4)"
TX,Travis,48453001501,3.8,"( 3.4,  4.4)"
TX,Travis,48453001503,2.5,"( 2.2,  2.8)"
TX,Travis,48453001504,2.7,"( 2.4,  3.1)"
TX,Travis,48453001505,3.2,"( 2.8,  3.7)"
TX,Travis,48453001602,2.7,"( 2.4,  3.1)"
TX,Travis,48453001603,4.2,"( 3.6,  4.8)"
TX,Travis,48453001604,4.9,"( 4.3,  5.6)"
TX,Travis,48453001605,3.7,"( 3.2,  4.2)"
TX,Travis,48453001606,14.3,"(12.7, 16.0)"
TX,Travis,48453001910,4.5,"( 3.9,  5.2)"
TX,Travis,48453001911,1.8,"( 1.6,  2.1)"
TX,Travis,48453001912,4.7,"( 4.2,  5.3)"
TX,Travis,48453001913,4.4,"( 3.9,  5.0)"
TX,Travis,48453001914,3.6,"( 3.2,  4.1)"
TX,Travis,48453001915,3.0,"( 2.6,  3.3)"
TX,Travis,48453001916,4.4,"( 3.9,  5.0)"
TX,Travis,48453001917,4.5,"( 3.9,  5.1)"
TX,Travis,48453001918,5.8,"( 5.0,  6.7)"
