StateAbbr,CountyName,TractFIPS,DIABETES_CrudePrev,DIABETES_Crude95CI
TX,Collin,48085030101,10.9,"( 9.4, 12.5)"
TX,Collin,48085030102,13.0,"(11.3, 15.0)"
TX,Collin,48085030201,9.0,"( 7.7, 10.3)"
TX,Collin,48085030202,8.8,"( 7.5, 10.1)"
TX,Collin,48085030204,7.7,"( 6.6,  8.9)"
TX,Collin,48085030205,9.8,"( 8.5, 11.2)"
TX,Collin,48085030206,7.4,"( 6.4,  8.6)"
TX,Collin,48085030207,8.7,"( 7.6, 10.1)"
TX,Collin,48085030301,8.3,"( 7.1,  9.6)"
TX,Collin,48085030302,8.0,"( 6.8,  9.4)"
TX,Collin,48085030303,7.9,"( 6.7,  9.1)"
TX,Collin,48085030304,7.4,"( 6.3,  8.6)"
TX,Collin,48085030306,7.6,"( 6.5,  8.7)"
TX,Collin,48085030307,7.4,"( 6.3,  8.5)"
TX,Collin,48085030403,8.7,"( 7.4, 10.3)"
TX,Collin,48085030404,9.2,"( 7.9, 10.6)"
TX,Collin,48085030405,9.9,"( 8.5, 11.4)"
TX,Collin,48085030406,8.6,"( 7.4, 10.0)"
TX,Collin,48085030407,8.9,"( 7.6, 10.4)"
TX,Collin,48085030409,9.7,"( 8.3, 11.2)"
TX,Collin,48085030410,8.5,"( 7.4,  9.8)"
TX,Collin,48085030504,7.7,"( 6.6,  9.0)"
TX,Collin,48085030505,6.1,"( 5.2,  7.1)"
TX,Collin,48085030506,6.9,"( 5.9,  8.0)"
TX,Collin,48085030507,8.1,"( 7.0,  9.5)"
TX,Collin,48085030509,8.9,"( 7.6, 10.3)"
TX,Collin,48085030510,7.9,"( 6.7,  9.1)"
TX,Collin,48085030511,8.4,"( 7.2,  9.8)"
TX,Collin,48085030512,8.1,"( 6.9,  9.4)"
TX,Collin,48085030515,8.0,"( 6.9,  9.3)"
TX,Collin,48085030516,8.0,"( 6.9,  9.3)"
TX,Collin,48085030517,7.6,"( 6.6,  8.9)"
TX,Collin,48085030518,7.8,"( 6.5,  9.1)"
TX,Collin,48085030519,7.0,"( 6.0,  8.1)"
TX,Collin,48085030520,7.8,"( 6.7,  9.0)"
TX,Collin,48085030521,8.9,"( 7.7, 10.4)"
TX,Collin,48085030524,7.7,"( 6.7,  9.0)"
TX,Collin,48085030525,8.5,"( 7.2,  9.9)"
TX,Collin,48085030529,9.2,"( 7.9, 10.7)"
TX,Collin,48085030531,10.5,"( 8.9, 12.3)"
TX,Collin,48085030532,7.9,"( 6.7,  9.2)"
TX,Collin,48085030533,8.3,"( 7.1,  9.7)"
TX,Collin,48085030534,8.7,"( 7.3, 10.1)"
TX,Collin,48085030535,9.7,"( 8.3, 11.3)"
TX,Collin,48085030536,7.5,"( 6.5,  8.7)"
TX,Collin,48085030537,6.8,"( 5.9,  7.9)"
TX,Collin,48085030538,9.3,"( 8.0, 10.7)"
TX,Collin,48085030539,8.5,"( 7.3,  9.8)"
TX,Collin,48085030540,6.6,"( 5.7,  7.6)"
TX,Collin,48085030541,7.7,"( 6.6,  8.9)"
TX,Collin,48085030542,7.7,"( 6.6,  8.8)"
TX,Collin,48085030543,7.4,"( 6.3,  8.5)"
TX,Collin,48085030544,7.4,"( 6.3,  8.6)"
TX,Collin,48085030545,9.2,"( 7.7, 10.8)"
TX,Collin,48085030546,8.3,"( 7.1,  9.8)"
TX,Collin,48085030547,7.5,"( 6.4,  8.8)"
TX,Collin,48085030548,8.3,"( 7.1,  9.7)"
TX,Collin,48085030549,9.0,"( 7.8, 10.4)"
TX,Collin,48085030550,8.6,"( 7.3, 10.0)"
TX,Collin,48085030604,7.6,"( 6.6,  8.9)"
TX,Collin,48085030605,11.8,"(10.3, 13.5)"
TX,Collin,48085030606,9.7,"( 8.4, 11.2)"
TX,Collin,48085030607,9.4,"( 7.9, 11.1)"
TX,Collin,48085030608,8.9,"( 7.6, 10.2)"
TX,Collin,48085030609,9.8,"( 8.4, 11.3)"
TX,Collin,48085030701,12.6,"(11.0, 14.3)"
TX,Collin,48085030702,12.7,"(10.9, 14.6)"
TX,Collin,48085030801,8.6,"( 7.4,  9.8)"
TX,Collin,48085030802,11.4,"( 9.8, 13.1)"
TX,Collin,48085030901,15.2,"(13.3, 17.1)"
TX,Collin,48085030903,15.8,"(13.9, 17.9)"
TX,Collin,48085031003,8.5,"( 7.3,  9.7)"
TX,Collin,48085031005,12.8,"(11.2, 14.6)"
TX,Collin,48085031006,13.4,"(11.7, 15.3)"
TX,Collin,48085031007,10.1,"( 8.8, 11.6)"
TX,Collin,48085031008,13.5,"(11.7, 15.5)"
TX,Collin,48085031101,13.6,"(11.8, 15.4)"
TX,Collin,48085031102,11.0,"( 9.6, 12.6)"
TX,Collin,48085031201,9.8,"( 8.5, 11.1)"
TX,Collin,48085031202,9.6,"( 8.4, 11.0)"
TX,Collin,48085031308,11.2,"( 9.7, 12.8)"
TX,Collin,48085031314,8.3,"( 7.1,  9.6)"
TX,Collin,48085031318,9.3,"( 8.1, 10.7)"
TX,Collin,48085031319,8.9,"( 7.7, 10.3)"
TX,Collin,48085031320,9.1,"( 7.8, 10.6)"
TX,Collin,48085031321,7.6,"( 6.6,  8.9)"
TX,Collin,48085031322,8.9,"( 7.7, 10.3)"
TX,Collin,48085031323,9.0,"( 7.7, 10.5)"
TX,Collin,48085031324,10.1,"( 8.7, 11.6)"
TX,Collin,48085031325,11.5,"( 9.9, 13.3)"
TX,Collin,48085031326,9.4,"( 8.1, 10.9)"
TX,Collin,48085031327,8.9,"( 7.6, 10.3)"
TX,Collin,48085031328,9.8,"( 8.4, 11.4)"
TX,Collin,48085031329,12.4,"(10.7, 14.2)"
TX,Collin,48085031330,9.1,"( 7.8, 10.5)"
TX,Collin,48085031331,9.3,"( 8.0, 10.7)"
TX,Collin,48085031332,10.5,"( 9.1, 12.0)"
TX,Collin,48085031333,11.8,"(10.2, 13.6)"
TX,Collin,48085031334,9.8,"( 8.5, 11.4)"
TX,Collin,48085031335,11.2,"( 9.6, 12.8)"
TX,Collin,48085031336,8.9,"( 7.6, 10.4)"
TX,Collin,48085031408,9.5,"( 8.2, 11.0)"
TX,Collin,48085031411,10.0,"( 8.6, 11.6)"
TX,Collin,48085031412,10.9,"( 9.3, 12.7)"
TX,Collin,48085031413,8.5,"( 7.3,  9.9)"
TX,Collin,48085031414,8.3,"( 7.1,  9.7)"
TX,Collin,48085031415,9.9,"( 8.4, 11.6)"
TX,Collin,48085031416,8.7,"( 7.4, 10.0)"
TX,Collin,48085031417,8.1,"( 7.0,  9.4)"
TX,Collin,48085031418,8.5,"( 7.3,  9.9)"
TX,Collin,48085031419,8.4,"( 7.2,  9.8)"
TX,Collin,48085031420,15.0,"(12.6, 17.5)"
TX,Collin,48085031421,10.1,"( 8.7, 11.8)"
TX,Collin,48085031422,11.0,"( 9.5, 12.8)"
TX,Collin,48085031423,9.0,"( 7.7, 10.3)"
TX,Collin,48085031424,9.1,"( 7.8, 10.6)"
TX,Collin,48085031425,9.4,"( 8.1, 11.0)"
TX,Collin,48085031504,10.1,"( 8.7, 11.6)"
TX,Collin,48085031507,10.0,"( 8.6, 11.6)"
TX,Collin,48085031508,9.4,"( 8.1, 10.8)"
TX,Collin,48085031509,9.9,"( 8.5, 11.5)"
