StateAbbr,CountyName,TractFIPS,DIABETES_CrudePrev,DIABETES_Crude95CI
TX,Travis,48453000101,7.5,"( 6.4,  8.8)"
TX,Travis,48453000102,9.4,"( 8.0, 11.0)"
TX,Travis,48453000203,6.1,"( 5.3,  7.0)"
TX,Travis,48453000204,6.2,"( 5.4,  7.2)"
TX,Travis,48453000205,5.0,"( 4.4,  5.8)"
TX,Travis,48453000206,9.0,"( 7.7, 10.3)"
TX,Travis,48453000302,5.6,"( 4.9,  6.5)"
TX,Travis,48453000304,4.3,"( 3.7,  4.9)"
TX,Travis,48453000305,4.9,"( 4.2,  5.5)"
TX,Travis,48453000307,6.6,"( 5.7,  7.5)"
TX,Travis,48453000308,7.5,"( 6.6,  8.6)"
TX,Travis,48453000309,5.6,"( 4.8,  6.4)"
TX,Travis,48453000401,4.9,"( 4.3,  5.6)"
TX,Travis,48453000402,7.2,"( 6.4,  8.2)"
TX,Travis,48453000500,4.5,"( 3.9,  5.1)"
TX,Travis,48453000601,3.3,"( 2.8,  3.8)"
TX,Travis,48453000605,3.3,"( 2.8,  3.7)"
TX,Travis,48453000606,3.0,"( 2.6,  3.5)"
TX,Travis,48453000607,3.7,"( 3.2,  4.3)"
TX,Travis,48453000608,4.4,"( 3.9,  5.1)"
TX,Travis,48453000700,6.8,"( 5.9,  7.8)"
TX,Travis,48453000801,10.2,"( 8.9, 11.6)"
TX,Travis,48453000802,10.6,"( 9.3, 11.9)"
TX,Travis,48453000803,5.0,"( 4.4,  5.8)"
TX,Travis,48453000804,9.5,"( 8.4, 10.8)"
TX,Travis,48453000901,5.3,"( 4.6,  6.1)"
TX,Travis,48453000902,6.8,"( 5.9,  7.7)"
TX,Travis,48453001000,10.8,"( 9.4, 12.3)"
TX,Travis,48453001101,13.4,"(11.8, 15.3)"
TX,Travis,48453001102,6.1,"( 5.3,  7.0)"
TX,Travis,48453001103,6.8,"( 5.9,  7.7)"
TX,Travis,48453001200,5.4,"( 4.6,  6.2)"
TX,Travis,48453001304,5.7,"( 4.9,  6.6)"
TX,Travis,48453001307,9.0,"( 7.9, 10.3)"
TX,Travis,48453001308,5.5,"( 4.7,  6.3)"
TX,Travis,48453001309,6.3,"( 5.4,  7.3)"
TX,Travis,48453001310,4.3,"( 3.7,  5.0)"
TX,Travis,48453001311,3.8,"( 3.3,  4.4)"
TX,Travis,48453001312,7.2,"( 6.2,  8.3)"
TX,Travis,48453001401,5.5,"( 4.8,  6.4)"
TX,Travis,48453001402,6.0,"( 5.1,  7.0)"
TX,Travis,48453001403,7.7,"( 6.6,  8.8)"
TX,Travis,48453001501,6.9,"( 6.0,  8.0)"
TX,Travis,48453001503,5.3,"( 4.6,  6.0)"
TX,Travis,48453001504,5.5,"( 4.8,  6.4)"
TX,Travis,48453001505,6.4,"( 5.5,  7.4)"
TX,Travis,48453001602,5.4,"( 4.7,  6.3)"
TX,Travis,48453001603,7.4,"( 6.4,  8.6)"
TX,Travis,48453001604,8.1,"( 7.0,  9.4)"
TX,Travis,48453001605,6.8,"( 5.9,  7.9)"
TX,Travis,48453001606,26.0,"(23.2, 29.1)"
TX,Travis,48453001910,7.8,"( 6.8,  9.0)"
TX,Travis,48453001911,3.8,"( 3.3,  4.4)"
TX,Travis,48453001912,8.5,"( 7.4,  9.7)"
TX,Travis,48453001913,8.3,"( 7.2,  9.5)"
TX,Travis,48453001914,6.5,"( 5.6,  7.4)"
TX,Travis,48453001915,5.7,"( 4.9,  6.5)"
TX,Travis,48453001916,8.9,"( 7.8, 10.2)"
TX,Travis,48453001917,8.4,"( 7.3,  9.7)"
TX,Travis,48453001918,9.2,"( 8.0, 10.8)"
TX,Travis,48453001919,8.8,"( 7.7, 10.0)"
TX,Travis,48453001920,8.1,"( 7.1,  9.2)"
TX,Travis,48453001921,10.8,"( 9.2, 12.3)"
TX,Travis,48453001922,6.8,"( 5.9,  7.8)"
TX,Travis,48453001923,6.7,"( 5.8,  7.8)"
TX,Travis,48453002002,7.2,"( 6.2,  8.2)"
TX,Travis,48453002003,9.3,"( 8.1, 10.6)"
TX,Travis,48453002004,5.2,"( 4.5,  6.0)"
TX,Travis,48453002006,6.3,"( 5.5,  7.2)"
TX,Travis,48453002007,4.4,"( 3.8,  5.1)"
TX,Travis,48453002104,7.7,"( 6.7,  8.8)"
TX,Travis,48453002105,10.1,"( 8.9, 11.3)"
TX,Travis,48453002106,9.3,"( 8.2, 10.6)"
TX,Travis,48453002107,10.4,"( 9.2, 11.8)"
TX,Travis,48453002108,11.6,"(10.3, 13.2)"
TX,Travis,48453002109,10.6,"( 9.3, 12.0)"
TX,Travis,48453002110,9.7,"( 8.5, 11.1)"
TX,Travis,48453002111,9.4,"( 8.2, 10.6)"
TX,Travis,48453002112,11.2,"( 9.9, 12.7)"
TX,Travis,48453002113,8.3,"( 7.2,  9.5)"
TX,Travis,48453002201,13.7,"(12.2, 15.5)"
TX,Travis,48453002211,9.8,"( 8.6, 11.2)"
TX,Travis,48453002213,10.3,"( 9.0, 11.6)"
TX,Travis,48453002214,10.2,"( 9.0, 11.5)"
TX,Travis,48453002215,12.6,"(11.0, 14.5)"
TX,Travis,48453002216,9.3,"( 8.2, 10.5)"
TX,Travis,48453002217,9.2,"( 8.1, 10.4)"
TX,Travis,48453002218,10.3,"( 9.0, 11.6)"
TX,Travis,48453002219,12.3,"(10.9, 13.7)"
TX,Travis,48453002220,15.2,"(13.5, 17.0)"
TX,Travis,48453002221,9.1,"( 7.9, 10.4)"
TX,Travis,48453002222,10.5,"( 9.2, 12.0)"
TX,Travis,48453002304,2.3,"( 1.9,  2.6)"
TX,Travis,48453002307,7.7,"( 6.7,  8.7)"
TX,Travis,48453002310,15.3,"(13.6, 17.1)"
TX,Travis,48453002313,9.6,"( 8.4, 10.8)"
TX,Travis,48453002314,6.0,"( 5.3,  6.9)"
TX,Travis,48453002315,7.3,"( 6.3,  8.3)"
TX,Travis,48453002316,7.0,"( 6.1,  7.9)"
TX,Travis,48453002319,20.4,"(18.4, 22.7)"
TX,Travis,48453002320,10.0,"( 8.8, 11.4)"
TX,Travis,48453002321,13.1,"(11.3, 14.9)"
TX,Travis,48453002322,6.0,"( 5.2,  7.0)"
TX,Travis,48453002323,5.1,"( 4.5,  5.8)"
TX,Travis,48453002324,7.1,"( 6.3,  8.0)"
TX,Travis,48453002325,13.3,"(11.7, 14.9)"
TX,Travis,48453002326,3.4,"( 3.0,  3.9)"
TX,Travis,48453002327,5.6,"( 4.9,  6.3)"
TX,Travis,48453002403,9.6,"( 8.4, 10.9)"
TX,Travis,48453002407,7.8,"( 6.9,  8.8)"
TX,Travis,48453002409,8.4,"( 7.3,  9.6)"
TX,Travis,48453002410,10.8,"( 9.5, 12.3)"
TX,Travis,48453002411,14.9,"(13.1, 16.9)"
TX,Travis,48453002412,12.4,"(10.8, 14.1)"
TX,Travis,48453002413,13.2,"(11.5, 14.9)"
TX,Travis,48453002419,10.8,"( 9.4, 12.2)"
TX,Travis,48453002422,8.6,"( 7.5,  9.8)"
TX,Travis,48453002423,8.7,"( 7.5,  9.9)"
TX,Travis,48453002424,10.9,"( 9.6, 12.4)"
TX,Travis,48453002430,10.4,"( 9.0, 11.9)"
TX,Travis,48453002432,8.4,"( 7.3,  9.5)"
TX,Travis,48453002434,15.7,"(13.9, 17.5)"
TX,Travis,48453002436,13.7,"(12.0, 15.3)"
TX,Travis,48453002437,7.1,"( 6.2,  8.1)"
TX,Travis,48453002438,6.9,"( 6.0,  7.9)"
TX,Travis,48453002439,11.0,"( 9.7, 12.4)"
TX,Travis,48453002440,10.2,"( 9.0, 11.6)"
TX,Travis,48453002441,9.4,"( 8.1, 10.8)"
TX,Travis,48453002442,12.0,"(10.5, 13.6)"
TX,Travis,48453002443,4.8,"( 4.2,  5.5)"
TX,Travis,48453002444,9.3,"( 8.1, 10.6)"
TX,Travis,48453002445,8.0,"( 7.0,  9.0)"
TX,Travis,48453002446,12.7,"(10.9, 14.6)"
TX,Travis,48453002447,11.1,"( 9.6, 12.8)"
TX,Travis,48453002448,7.8,"( 6.8,  9.0)"
TX,Travis,48453002449,11.6,"(10.1, 13.2)"
TX,Travis,48453002450,12.5,"(11.0, 14.1)"
TX,Travis,48453002451,5.7,"( 5.0,  6.5)"
TX,Travis,48453002452,11.0,"( 9.6, 12.4)"
TX,Travis,48453002453,10.2,"( 9.0, 11.5)"
TX,Travis,48453002500,7.9,"( 6.9,  9.1)"
TX,Travis,48453030000,8.4,"( 7.3,  9.6)"
TX,Travis,48453030100,7.5,"( 6.5,  8.6)"
TX,Travis,48453030200,8.1,"( 6.9,  9.3)"
TX,Travis,48453030300,10.7,"( 9.2, 12.1)"
TX,Travis,48453030400,7.2,"( 6.3,  8.3)"
TX,Travis,48453030500,7.2,"( 6.3,  8.3)"
TX,Travis,48453030600,7.4,"( 6.4,  8.6)"
TX,Travis,48453030700,8.9,"( 7.7, 10.2)"
TX,Travis,48453030800,6.4,"( 5.6,  7.3)"
TX,Travis,48453030900,9.3,"( 8.1, 10.7)"
TX,Travis,48453031000,7.5,"( 6.5,  8.6)"
TX,Travis,48453031100,11.1,"( 9.6, 12.7)"
TX,Travis,48453031200,8.5,"( 7.3,  9.7)"
TX,Travis,48453031300,7.8,"( 6.8,  9.0)"
TX,Travis,48453031400,11.0,"( 9.5, 12.6)"
TX,Travis,48453031500,9.6,"( 8.3, 10.9)"
TX,Travis,48453031600,9.4,"( 8.2, 11.0)"
TX,Travis,48453031700,9.6,"( 8.3, 11.0)"
TX,Travis,48453031800,10.5,"( 9.2, 12.0)"
TX,Travis,48453031900,7.4,"( 6.4,  8.4)"
TX,Travis,48453032000,7.4,"( 6.5,  8.5)"
TX,Travis,48453032100,5.8,"( 5.1,  6.6)"
TX,Travis,48453032200,8.8,"( 7.6, 10.2)"
TX,Travis,48453032300,5.1,"( 4.5,  5.9)"
TX,Travis,48453032400,3.7,"( 3.2,  4.3)"
TX,Travis,48453032500,8.2,"( 7.0,  9.4)"
TX,Travis,48453032600,9.2,"( 8.0, 10.6)"
TX,Travis,48453032700,7.7,"( 6.7,  8.9)"
TX,Travis,48453032800,9.1,"( 7.8, 10.6)"
TX,Travis,48453032900,7.7,"( 6.7,  8.9)"
TX,Travis,48453033000,8.5,"( 7.4,  9.6)"
TX,Travis,48453033100,10.1,"( 8.6, 11.8)"
TX,Travis,48453033200,8.6,"( 7.6,  9.8)"
TX,Travis,48453033300,8.1,"( 7.1,  9.2)"
TX,Travis,48453033400,9.3,"( 8.1, 10.7)"
TX,Travis,48453033500,7.5,"( 6.5,  8.6)"
TX,Travis,48453033600,9.5,"( 8.2, 11.0)"
TX,Travis,48453033700,9.2,"( 7.8, 10.7)"
TX,Travis,48453033800,9.3,"( 8.1, 10.7)"
TX,Travis,48453033900,7.9,"( 6.8,  9.1)"
