variable,lag,I,expected_I,se_I,p_sim
E_DIABETES,1,0.28408619512010225,-0.0014970059880239522,0.015631097297507366,0.001
E_DIABETES,2,-0.0015780508936769585,-0.0014970059880239522,0.011233726989180287,0.387
E_DIABETES,3,-0.0019886777370760056,-0.0014970059880239522,0.009137693573273875,0.452
E_DIABETES,4,-0.003525975451858332,-0.0014970059880239522,0.008086148217187424,0.468
E_DIABETES,5,-0.006572330105091289,-0.0014970059880239522,0.006673128501968305,0.251
E_DIABETES,6,-0.00805070477242443,-0.0014970059880239522,0.006004015826048024,0.122
E_CHD,1,0.2835421951280256,-0.0014970059880239522,0.016447266390873547,0.001
E_CHD,2,-0.0036049082408768952,-0.0014970059880239522,0.011565053530875835,0.44
E_CHD,3,-0.005104104716775214,-0.0014970059880239522,0.009398617591663615,0.419
E_CHD,4,-0.007185341616093786,-0.0014970059880239522,0.007617827871126962,0.264
E_CHD,5,-0.008946409607632246,-0.0014970059880239522,0.006831435518075495,0.127
E_CHD,6,-0.009049582594518718,-0.0014970059880239522,0.006218787075544779,0.094
walking_ind,1,0.6205756285855254,-0.0014970059880239522,0.017327495274307356,0.001
walking_ind,2,0.47374015243337636,-0.0014970059880239522,0.012328235953667504,0.001
walking_ind,3,0.40404916686559733,-0.0014970059880239522,0.009862448837719973,0.001
walking_ind,4,0.3194574492673695,-0.0014970059880239522,0.008332094295592288,0.001
walking_ind,5,0.21659770990459284,-0.0014970059880239522,0.007114586240310719,0.001
walking_ind,6,0.1121163154578642,-0.0014970059880239522,0.006629729429416034,0.001
below_200_fed_poverty_percentage,1,0.2523956463088608,-0.0014970059880239522,0.01612778399625593,0.001
below_200_fed_poverty_percentage,2,0.0057702824416283735,-0.0014970059880239522,0.011608468106504557,0.236
below_200_fed_poverty_percentage,3,0.008190409276391855,-0.0014970059880239522,0.009347463667578078,0.155
below_200_fed_poverty_percentage,4,0.007647023938647205,-0.0014970059880239522,0.007857427284302682,0.146
below_200_fed_poverty_percentage,5,0.0014710386184978242,-0.0014970059880239522,0.006744098942762556,0.315
below_200_fed_poverty_percentage,6,-0.002620388148961543,-0.0014970059880239522,0.006360075580121093,0.468
uninsured,1,0.2471962796694163,-0.0014970059880239522,0.016067220295034632,0.001
uninsured,2,-0.0039130881130460685,-0.0014970059880239522,0.011658376164648645,0.499
uninsured,3,0.0008441547090774942,-0.0014970059880239522,0.009297607442115075,0.322
uninsured,4,-0.004355181201837837,-0.0014970059880239522,0.007792471238435198,0.401
uninsured,5,-0.006176502373594011,-0.0014970059880239522,0.007153850755036884,0.278
uninsured,6,-0.009432051525171396,-0.0014970059880239522,0.006255455613311974,0.078
distance_to_nearest_uf,1,0.8922030915281285,-0.0014970059880239522,0.01709105801357445,0.001
distance_to_nearest_uf,2,0.7138773261225246,-0.0014970059880239522,0.012569798446170415,0.001
distance_to_nearest_uf,3,0.5163303186945672,-0.0014970059880239522,0.009772003340816224,0.001
distance_to_nearest_uf,4,0.33161572448802784,-0.0014970059880239522,0.008384698433567993,0.001
distance_to_nearest_uf,5,0.16771889387965302,-0.0014970059880239522,0.007064759543875593,0.001
distance_to_nearest_uf,6,0.045760628976306866,-0.0014970059880239522,0.006509676710185113,0.001
distance_to_nearest_grocery,1,0.3482068503188724,-0.0014970059880239522,0.01688454309170504,0.001
distance_to_nearest_grocery,2,0.15996913477409586,-0.0014970059880239522,0.01235266310324026,0.001
distance_to_nearest_grocery,3,0.08941858721248427,-0.0014970059880239522,0.009774064040355001,0.001
distance_to_nearest_grocery,4,0.069192266363341,-0.0014970059880239522,0.008424578517891863,0.001
distance_to_nearest_grocery,5,0.058637896118780376,-0.0014970059880239522,0.007146178605307833,0.001
distance_to_nearest_grocery,6,0.049627820629831586,-0.0014970059880239522,0.006605539241695278,0.001
distance_to_nearest_fm,1,0.9028288014235052,-0.0014970059880239522,0.017835722615090102,0.001
distance_to_nearest_fm,2,0.7321848665165811,-0.0014970059880239522,0.012312704236170372,0.001
distance_to_nearest_fm,3,0.5169191526149445,-0.0014970059880239522,0.009822696748119928,0.001
distance_to_nearest_fm,4,0.30885612492254405,-0.0014970059880239522,0.008204114167001064,0.001
distance_to_nearest_fm,5,0.14020884299451725,-0.0014970059880239522,0.007480786369777347,0.001
distance_to_nearest_fm,6,0.005103529029598268,-0.0014970059880239522,0.006276370789977644,0.148
