variable,lag,I,expected_I,se_I,p_sim
E_DIABETES,1,0.1656587132673582,-0.0021598272138228943,0.024003755251282427,0.001
E_DIABETES,2,-0.008975940223124148,-0.0021598272138228943,0.015151145854844804,0.37
E_DIABETES,3,-0.006112937400455029,-0.0021598272138228943,0.01258388846506339,0.413
E_DIABETES,4,-0.008732378487939054,-0.0021598272138228943,0.010013826011896963,0.428
E_DIABETES,5,-0.012339080415162268,-0.0021598272138228943,0.009338275843466276,0.057
E_DIABETES,6,-0.00959283623273038,-0.0021598272138228943,0.008069817807141586,0.233
E_CHD,1,0.16223816755945464,-0.0021598272138228943,0.022455746259759483,0.002
E_CHD,2,-0.012359695183753829,-0.0021598272138228943,0.015360597706277233,0.109
E_CHD,3,-0.008851968748899675,-0.0021598272138228943,0.012408740141216356,0.482
E_CHD,4,-0.010057025877028135,-0.0021598272138228943,0.009967707379044705,0.302
E_CHD,5,-0.011662582500428672,-0.0021598272138228943,0.009547220962543578,0.086
E_CHD,6,-0.009686878351230803,-0.0021598272138228943,0.00859695252127623,0.25
