variable,lag,I,expected_I,se_I,p_sim
E_DIABETES,1,0.2860445344264446,-0.003215434083601286,0.02719005774355019,0.001
E_DIABETES,2,-0.022344023804089383,-0.003215434083601286,0.019826645277674585,0.001
E_DIABETES,3,-0.01520563117638242,-0.003215434083601286,0.014424164490836052,0.07
E_DIABETES,4,-0.010159680813111797,-0.003215434083601286,0.012039339712850797,0.438
E_DIABETES,5,-0.01204803762891679,-0.003215434083601286,0.010869922133908699,0.245
E_DIABETES,6,-0.01093026680035908,-0.003215434083601286,0.010216679591620079,0.351
E_CHD,1,0.2898030522869673,-0.003215434083601286,0.02579757390007601,0.001
E_CHD,2,-0.01742803366634971,-0.003215434083601286,0.018806033769465,0.012
E_CHD,3,-0.013605152155870428,-0.003215434083601286,0.014495290671603699,0.213
E_CHD,4,-0.010315744413195408,-0.003215434083601286,0.012192461236775382,0.464
E_CHD,5,-0.012293189266025725,-0.003215434083601286,0.010751540812716317,0.252
E_CHD,6,-0.012381955712258636,-0.003215434083601286,0.010371663329433341,0.231
