variable,lag,I,expected_I,se_I,p_sim
E_DIABETES,1,0.416318653872717,-0.003215434083601286,0.02353073402015056,0.001
E_DIABETES,2,-0.006084105120630558,-0.003215434083601286,0.017424226447108716,0.299
E_DIABETES,3,-0.0035770298037458813,-0.003215434083601286,0.014231669426628756,0.393
E_DIABETES,4,-0.005286643681111654,-0.003215434083601286,0.011375855071478657,0.461
E_DIABETES,5,-0.005491207865117466,-0.003215434083601286,0.01111196142487282,0.486
E_DIABETES,6,-0.005643380640854259,-0.003215434083601286,0.010092179803094925,0.496
E_CHD,1,0.42001413863786935,-0.003215434083601286,0.023911508680664238,0.001
E_CHD,2,-0.003946178626043077,-0.003215434083601286,0.016036273754002794,0.28
E_CHD,3,-0.0021992098550869853,-0.003215434083601286,0.013492227392572017,0.35
E_CHD,4,-0.003496224743147851,-0.003215434083601286,0.011913748345539842,0.39
E_CHD,5,-0.004522347293698399,-0.003215434083601286,0.011093531816024536,0.464
E_CHD,6,-0.005298394378958594,-0.003215434083601286,0.010113386959664185,0.489
walking_ind,1,0.7776822778887894,-0.003215434083601286,0.02825328922363791,0.001
walking_ind,2,0.6267691278586359,-0.003215434083601286,0.020953757407573305,0.001
walking_ind,3,0.48943112936392763,-0.003215434083601286,0.016515533003314275,0.001
walking_ind,4,0.3426999321137797,-0.003215434083601286,0.013746249800537546,0.001
walking_ind,5,0.19822695330246964,-0.003215434083601286,0.012805093196150702,0.001
walking_ind,6,0.0646351598917642,-0.003215434083601286,0.01121233295630014,0.001
below_200_fed_poverty_percentage,1,0.39943702947451076,-0.003215434083601286,0.024997938112173424,0.001
below_200_fed_poverty_percentage,2,-0.0180476940287308,-0.003215434083601286,0.018776134058407917,0.094
below_200_fed_poverty_percentage,3,-0.006612094842212231,-0.003215434083601286,0.014941023132011351,0.453
below_200_fed_poverty_percentage,4,-0.0083520711170769,-0.003215434083601286,0.011984494290503217,0.42
below_200_fed_poverty_percentage,5,-0.002157890739790045,-0.003215434083601286,0.010352170895025829,0.392
below_200_fed_poverty_percentage,6,-0.003585111525726027,-0.003215434083601286,0.010091866711074662,0.448
uninsured,1,0.4130766501129129,-0.003215434083601286,0.025712122532663213,0.001
uninsured,2,-0.01739148020487709,-0.003215434083601286,0.017440148227788426,0.058
uninsured,3,-0.008963866084028462,-0.003215434083601286,0.014943243298480222,0.479
uninsured,4,-0.008783788644838399,-0.003215434083601286,0.011509622565307017,0.439
uninsured,5,-0.006117567860185549,-0.003215434083601286,0.01046010765853724,0.494
uninsured,6,-0.008764534506312439,-0.003215434083601286,0.009559662876004967,0.333
distance_to_nearest_uf,1,0.9206158423252473,-0.003215434083601286,0.026537939727195873,0.001
distance_to_nearest_uf,2,0.8155526610895256,-0.003215434083601286,0.021055577216825595,0.001
distance_to_nearest_uf,3,0.686358054562495,-0.003215434083601286,0.01697944356155246,0.001
distance_to_nearest_uf,4,0.5011106928283223,-0.003215434083601286,0.013929637967997345,0.001
distance_to_nearest_uf,5,0.3390212352921213,-0.003215434083601286,0.012450170604900829,0.001
distance_to_nearest_uf,6,0.20640684182889546,-0.003215434083601286,0.01146264454634162,0.001
distance_to_nearest_grocery,1,0.574236233612599,-0.003215434083601286,0.02715715701041646,0.001
distance_to_nearest_grocery,2,0.36601779953182956,-0.003215434083601286,0.020133709695019486,0.001
distance_to_nearest_grocery,3,0.31389137257166694,-0.003215434083601286,0.016112928005829436,0.001
distance_to_nearest_grocery,4,0.21203025524084212,-0.003215434083601286,0.013300839759731392,0.001
distance_to_nearest_grocery,5,0.08839624298371301,-0.003215434083601286,0.012386652104467738,0.001
distance_to_nearest_grocery,6,0.00774664035858814,-0.003215434083601286,0.010594780657501073,0.131
distance_to_nearest_fm,1,0.8537664198201395,-0.003215434083601286,0.027817140958882457,0.001
distance_to_nearest_fm,2,0.6866697954435044,-0.003215434083601286,0.019337250556355007,0.001
distance_to_nearest_fm,3,0.4938149779677716,-0.003215434083601286,0.016213502604131916,0.001
distance_to_nearest_fm,4,0.24610758477431893,-0.003215434083601286,0.013511591643073435,0.001
distance_to_nearest_fm,5,0.07082026161213645,-0.003215434083601286,0.012647964008296124,0.001
distance_to_nearest_fm,6,-0.01959538619064339,-0.003215434083601286,0.011553960303611052,0.074
