name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude_1,date_collected,website,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON
Elmwood Farm,"1014 Nolte Dr, Dallas, TX 75208, USA",32.733665,-96.839587,https://www.elmwoodfarm.co/,"establishment, point_of_interest",ChIJU0-cis2bToYRyZtlm5ZeI_o,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joppy Momma's Farm,"7728 Carbondale St, Dallas, TX 75216, USA",32.7167069,-96.7508318,https://joppymommas.org/,"establishment, point_of_interest",ChIJ83XUCMSXToYRGSEJdqmd8Qo,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatcher Station Training Farm,"4500 Todd St, Dallas, TX 75210, USA",32.766178,-96.7441991,http://www.restorativefarms.org/,"establishment, point_of_interest",ChIJIUgpTvSjToYRBuHzeEgdWuw,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunnicut Farm,"6532 Hunnicut Rd, Dallas, TX 75227, USA",32.779563,-96.7196785,Not listed,"establishment, point_of_interest",ChIJtytHsQ6jToYR1hwp3WaBf5E,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonton Farms,"6911 Bexar St, Dallas, TX 75215, USA",32.73473450000001,-96.7537576,http://bontonfarms.org/,"establishment, point_of_interest",ChIJn7-J6wuYToYRL2NAvMPqb8k,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Ellum Urban Gardens,"403 S Good Latimer Expy, Dallas, TX 75226, USA",32.7812813,-96.7861767,https://m.facebook.com/Deepellumurbangardens/,"establishment, point_of_interest",ChIJ_dWKR-eYToYRZZFq0tCCTic,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuell Farm,"100 US-80, Mesquite, TX 75149, USA",32.7860749,-96.5842866,https://www.dallasparks.org/Facilities/Facility/Details/Samuell-East-Farm-648,"establishment, park, point_of_interest",ChIJ-ShZu4-lToYRcylZzhNHz30,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Trees Foundation Urban Tree Farm,"Parking, 12800 Abrams Rd Lot D, Dallas, TX 75243, USA",32.9230424,-96.7347579,http://www.texastrees.org/,"establishment, point_of_interest",ChIJ4R0VoJMfTIYRYMVp1N9VnRI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonton Farms Extension,"12400 Ravenview Rd, Dallas, TX 75253, USA",32.694169,-96.603067,http://www.bontonfarms.org/,"establishment, point_of_interest",ChIJg91ZoOy6ToYRO4ne1iLt44A,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner Brother Farms,"2636 Walnut Hill Ln, Dallas, TX 75220, USA",32.8792981,-96.8890047,Not listed,"establishment, point_of_interest",ChIJez7OWr-YToYRxegAA6upHTs,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
