position,coordinates,category,infoTitle,infoEmail
"1513 S. Beltline Rd., Grand Prairie, TX 75052","32.7239892, -96.9960085",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,The Haven Community Garden, sharon.dehnert@tx.rr.com
"5595 Laud Howell Parkway, McKinney, TX 75071","33.2611753, -96.7205032",a9e8a2fb-c031-484b-8f99-93b1c1debe3b,McKinney Roots,casey@mckinneyroots.org
"1605 N. Britain Rd., Irving, TX 75061","32.8313851, -96.9458434",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Ekta,ssirotiya@gmail.com
"1832 Glenn Lane, Glenn Heights, TX 75154","32.5555583, -96.8515583",97d6907d-b8ba-473d-9c4a-a4834c9da7f0,Cultivated Chicks,info@cultivatedchickstx.com
"2807 I-20 Frontage Rd., Grand Prairie, TX 75052","32.6760459, -97.0532472",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Crosspoint Community Garden,13tpineda@gmail.com
"2939 Palo Alto Drive, Dallas, TX 75241","32.6550802, -96.7750657",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Alta Mesa Park Community Garden,buildcommunity@outlook.com
"1300 E. Clarendon Dr., Dallas, TX, 75203","32.747007, -96.805019",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,10 St. Community Garden,plesmm4@gmail.com
"2378 E. Ledbetter Dr., Dallas, TX, 75216","32.6889818, -96.78242329999999",a9e8a2fb-c031-484b-8f99-93b1c1debe3b,A Special Blend,tullahasseeokla@yahoo.com
"309 E 9th St., Dallas, TX, 75203","32.748236, -96.82019199999999",41de4602-4742-4362-9185-8bfb18c4eb44,Adamson High School Garden ,etosten@dallasisd.org
"12300 Pleasant Valley Dr., Dallas, TX, 75243","32.9149444, -96.7225574",41de4602-4742-4362-9185-8bfb18c4eb44,Aikin Elementary,
"3600 Cornell, Dallas, TX, 75205","32.8340623, -96.7913117",41de4602-4742-4362-9185-8bfb18c4eb44,Alice's Garden @ John H. Armstrong Elementary,ctrotman@sbcglobal.net
"5210 Celestial Rd, Dallas, TX, 75254","32.9467976, -96.8174375",a9e8a2fb-c031-484b-8f99-93b1c1debe3b,Anne Frank Peace Garden,Mquirk@dallasisd.org
"1300 Cypress Dr., Richardson, TX, 75080","32.9616425, -96.7633681",41de4602-4742-4362-9185-8bfb18c4eb44,Arapaho Classical Magnet Elementary (RISD),
"2713 Cooks Creek Place, Farmers Branch, TX, 75234","32.9416888, -96.88884589999999",a9e8a2fb-c031-484b-8f99-93b1c1debe3b,ArborCreek Garden to Table,sima@acmontessori.com
"7131 Midbury Dr., Dallas, TX, 75230","32.9026279, -96.7830961",41de4602-4742-4362-9185-8bfb18c4eb44,Arthur Kramer Elementary School (DISD),
"9507 Overlake Drive, Dallas, TX, 75220","32.8565685, -96.8687032",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Bachman Lake Together (now CAN - Community Action Network),
"3921 Martin Luther King Jr Blvd., Dallas, TX, 75210","32.7782494, -96.7584284",5d986013-f56f-416f-bd10-3f083e69e302,Big Tex Urban Farms,ddemler@bigtex.com
"6915 Bexar Street, Dallas, TX, 75215","32.7345782, -96.7537184",5d986013-f56f-416f-bd10-3f083e69e302,Bonton Farms,info@bontonfarms.org
"1818 Corsicana, Dallas, TX, 75201","32.77600320000001, -96.7916061",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,The Bridge Homeless Recovery Center,Volunteer@bridgenorthtexas.org
"225 Cedar St., Cedar Hill, TX, 75104","32.5890979, -96.9501442",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Cedar Hill Discovery Garden,kristenlangman@gmail.com
"3434 N Dallas Ave, Lancaster, TX, 75124","32.6291189, -96.7725653",41de4602-4742-4362-9185-8bfb18c4eb44,Cedar Valley College Butterfly and Edible Garden,Brendafloyd@dcccd.edu
"1000 Easton Rd., Dallas, TX, 75218","32.8470436, -96.694912",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Central Lutheran Church Community Garden ,ts@tedsteinke.com
"10910 Ferguson Rd., Dallas, TX, 75228","32.8445972, -96.6614316",41de4602-4742-4362-9185-8bfb18c4eb44,Charles A. Gill Elementary School Garden,debra.vela@sbcglobal.net
"6810 Samuell Boulevard, Dallas, TX, 75228","32.7919728, -96.69225879999999",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Christian Stronghold Community Garden,
"12411 Templeton Trails, Farmers Branch, TX, 75006","32.9164846, -96.8651721",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,City of Farmers Branch Community Garden,urbano.olivas@farmersbranchtx.gov
"2875 E Parker Rd, Plano, TX, 75074","33.0449868, -96.6744512",afb9d952-8c58-405a-9ccc-cc944ec6ad6c,Community Harvest Garden - Community Unitarian Universalist Church,harvest@Communityuuchurch.org
