name,address,latitude,longitude,state,county
Bonton Farms,"6915 Bexar St, Dallas, TX 75215",32.7349110327204,-96.7536996816584,,
Dallas Half Acre Farm,"13608 Fernheath Ln, Dallas, TX 75253",32.6907239479352,-96.58058119175,,
Elmwood Farm,"1014 Nolte Dr, Dallas, TX 75208",32.7338547175168,-96.8399111552544,,
Grozilla,3921 Martin Luther King Jr Blvd Dallas TX 75210,32.7765887537994,-96.758879743327,,
Hatcher Station Training Farm at Restorative Farm,"4527 Scyene Rd, Dallas, 75210",32.7661105430002,-96.7443165632077,,
Joppy Momma's Farm,"7724 Carbondale St, Dallas, TX 75216",32.7166754108553,-96.7508673475567,,
"Liberty Street Garden, at The Meadows Foundation","510 Liberty St, Dallas, TX 75204",32.7890155651215,-96.7856383673854,,
Owenwood Farm & Community Garden,"1451 John West Rd, Dallas, Texas, 75228",32.8080379212171,-96.6928199993651,,
"WE over Me Farm, at Paul Quinn College","3837 Simpson Stuart Rd, Dallas, Texas, 75241",32.6805389449524,-96.7518348343656,,
East Dallas Community Garden,,32.8043388981141,-96.774069544063,,
Cultivated Chicks,"1832 Glenn Lane, Glenn Heights, TX 75154",32.5555583,-96.8515583,,
