name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude ,date_collected,website,geometry,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON
Bhakti Urban Farm,"5415 Wheatley St, Houston, TX 77091, USA",29.8451,-95.430974,https://bhaktiurbanfarm.org/,"establishment, point_of_interest",ChIJ8bafqs7HQIYRC1jkAoeFhpg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope Farms Urban Agricultural Showcase and Training Center - Recipe for Success,"10401 Scott St, Houston, TX 77051, USA",29.6464207,-95.3674515,https://hopefarmshtx.org/,"establishment, point_of_interest",ChIJ34nmSxeVQIYRoRhZ4JnYa9M,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finca Tres Robles,"5715 Canal St, Houston, TX 77011, USA",29.7457197,-95.3156578,http://www.smallplaces.org/,"establishment, point_of_interest",ChIJf6jWI5y-QIYRaS3zCwz0TSc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montrose Urban Food Farm,"1914 W Clay St, Houston, TX 77019, USA",29.755287,-95.4027892,Not listed,"establishment, point_of_interest",ChIJYc04aFPBQIYRu67UUuXwq7g,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Harvest Farmers Market,"2752 Buffalo Speedway, Houston, TX 77027, USA",29.7411089,-95.4306334,http://urbanharvest.org/,"establishment, point_of_interest",ChIJeZmt6ETBQIYRKRD0WTITwt8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Harvest,"1911 W 34th St, Houston, TX 77018, USA",29.8170086,-95.4335405,https://www.urbanharvest.org/,"establishment, point_of_interest",ChIJSeCa6du-QIYRPcPBRiTTifU,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmwood Farm,"1014 Nolte Dr, Dallas, TX 75208, USA",32.733665,-96.839587,https://www.elmwoodfarm.co/,"establishment, point_of_interest",ChIJU0-cis2bToYRyZtlm5ZeI_o,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blodgett Urban Gardens,"7442 Park Pl Blvd, Houston, TX 77087, USA",29.6847205,-95.2937676,Not listed,"establishment, point_of_interest",ChIJgQn0wPW9QIYResr3Yv6T6Us,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verdegreens Farms,"1208 Bland St, Houston, TX 77091, USA",29.86114719999999,-95.4315871,http://www.verdegreens.com/,"establishment, point_of_interest",ChIJGYR6WgHHQIYRUMcXPhCi5A8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmart,"899 Emile St, Houston, TX 77020, USA",29.7667699,-95.3242763,Not listed,"establishment, point_of_interest",ChIJvShubrG-QIYRbGRHnMtd-WI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunnicut Farm,"6532 Hunnicut Rd, Dallas, TX 75227, USA",32.779563,-96.7196785,Not listed,"establishment, point_of_interest",ChIJtytHsQ6jToYR1hwp3WaBf5E,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant It Forward Warehouse,"4030 Willowbend Blvd, Houston, TX 77025, USA",29.6650135,-95.4433233,https://plantitforward.farm/,"establishment, point_of_interest, storage",ChIJf8g72mTqQIYRxtntq6tIvv8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant It Forward Farms @ Braeswood Church,"10595 Fondren Rd, Houston, TX 77096, USA",29.6666517,-95.50837810000002,https://plantitforward.farm/,"establishment, point_of_interest",ChIJWR8DZdrpQIYR_HQ6QPoESck,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Giving Garden at Jacob's Reward Farm,"4308 Church Ln, Parker, TX 75002, USA",33.0597198,-96.621203,http://the-giving-garden.org/,"establishment, food, point_of_interest, store",ChIJiY2TX_UaTIYR3Akecl12Amw,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moonflower Farms & Technology Center,"3805 Fuqua St, Houston, TX 77047, USA",29.6127128,-95.3609035,http://www.moonflowerfarms.com/,"establishment, point_of_interest",ChIJbel5SZaVQIYRhMsTq6NHN-U,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant It Forward Farms @ University of St Thomas,"1318 Sul Ross St, Houston, TX 77006, USA",29.738083,-95.3955299,https://plantitforward.farm/,"establishment, point_of_interest",ChIJWYdpOZ3AQIYRhOIfad70n6A,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
