name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude ,date_collected,website,geometry,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON
Tabor Farms,"3400 Village Creek Rd, Fort Worth, TX 76105, USA",32.7125883,-97.2504882,https://www.facebook.com/people/Tabor-Farms/100085857597478/,"establishment, point_of_interest",ChIJa2qdxlB7ToYRe7bIf1U05Yc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opal's Farm,"2500 Lasalle St, Fort Worth, TX 76111, USA",32.7543407,-97.3105271,http://www.unityunlimited.org/,"establishment, point_of_interest",ChIJxzRig5RxToYRu-02Qx59mEo,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmwood Farm,"1014 Nolte Dr, Dallas, TX 75208, USA",32.733665,-96.839587,https://www.elmwoodfarm.co/,"establishment, point_of_interest",ChIJU0-cis2bToYRyZtlm5ZeI_o,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joppy Momma's Farm,"7728 Carbondale St, Dallas, TX 75216, USA",32.7167069,-96.7508318,https://joppymommas.org/,"establishment, point_of_interest",ChIJ83XUCMSXToYRGSEJdqmd8Qo,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Barn (formerly Elizabeth Anna's Old World Garden),"2825 8th Ave, Fort Worth, TX 76110, USA",32.7104741,-97.3434287,http://thebarn.world/,"establishment, general_contractor, point_of_interest, store",ChIJyRm1SoxxToYRnP4XZuBQZ3g,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatcher Station Training Farm,"4500 Todd St, Dallas, TX 75210, USA",32.766178,-96.7441991,http://www.restorativefarms.org/,"establishment, point_of_interest",ChIJIUgpTvSjToYRBuHzeEgdWuw,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonton Farms,"6911 Bexar St, Dallas, TX 75215, USA",32.73473450000001,-96.7537576,http://bontonfarms.org/,"establishment, point_of_interest",ChIJn7-J6wuYToYRL2NAvMPqb8k,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mushroom Street Farms,"8001 Valcasi Dr Ste 101, Arlington, TX 76001, USA",32.6155556,-97.1580556,https://www.mushroom.st/,"establishment, food, health, point_of_interest, store",ChIJt75Sy5thToYRVN6Qe0QLfzY,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viva City,"2825 8th Ave #3043, Fort Worth, TX 76110, USA",32.7103924,-97.3434234,https://www.vivacity.market/,"establishment, food, general_contractor, grocery_or_supermarket, point_of_interest, store",ChIJAQAQtY1xToYR_JPOkSlIqcY,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearfork Creek Farm Corporation,"551 N Floras Rd, Aledo, TX 76008, USA",32.6456567,-97.5782205,http://clearforkcreek.farm/,"establishment, point_of_interest",ChIJFxjJ4xQRToYRaQd3J5veyIs,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Fork Garden Market,"2932 Marquita Dr, Fort Worth, TX 76116, USA",32.7314435,-97.4438708,https://www.thegardenmarketfw.com/,"establishment, home_goods_store, point_of_interest, store",ChIJhxLWW80NToYRAqp2z3N5HWo,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Ground NRH Community Garden,"5301-5409 FM 1938, North Richland Hills, TX 76180, USA",32.8449582,-97.2150381,http://www.nrhcommunitygarden.com/,"establishment, point_of_interest",ChIJ6_r6sPN4ToYRzXS6Li7Bc1Y,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmers Market Fort Worth Inc,"5507 E Belknap St, Haltom City, TX 76117, USA",32.7985251,-97.2673116,https://www.farmersmarketftw.com/,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJDTNjt193ToYRNQlzV7g3Kis,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Worth Community Market,"105 S Main St, Fort Worth, TX 76104, USA",32.7433397,-97.3256295,https://www.facebook.com/fortworthcommunitymarket/?http_ref=eyJ0cyI6MTc4MTQ0ODg4OTAwMCwiciI6IiJ9,"establishment, point_of_interest",ChIJt-JXYwBxToYRWNoe4iHmNcY,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarrant County Master Gardeners Community Demonstration Garden,"1801 Circle Dr, Fort Worth, TX 76119, USA",32.6735577,-97.3080045,https://www.tarrantmg.org/demo_garden.html,"establishment, point_of_interest",ChIJsYM7Sc1vToYRauwHITskqQk,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZaGardens Market,"5555 Richardson St, Fort Worth, TX 76119, USA",32.7123725,-97.2358111,http://zagardensmarket1.godaddysites.com/,"establishment, point_of_interest",ChIJzywcCQd7ToYRrPHZqIWeWFI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keller Farmers Market,"400 Bear Creek Pkwy, Keller, TX 76248, USA",32.9267413,-97.2428007,http://www.kellerfarmersmarket.com/,"establishment, point_of_interest",ChIJm7rHDhzXTYYR9vJxir7Lixo,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Clearfork Farmers Market,"4801 Edwards Ranch Rd, Fort Worth, TX 76109, USA",32.7072827,-97.3946418,http://www.farmersmarket1848.com/,"establishment, point_of_interest",ChIJN1pbhO5yToYRQS2klVwZIk4,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmers Market of Grapevine,"520 S Main St #203, Grapevine, TX 76051, USA",32.9361282,-97.0786228,http://www.farmersmarketofgrapevine.com/,"establishment, food, grocery_or_supermarket, health, point_of_interest, store",ChIJZQNGozsrTIYRCqt4glqInYM,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansfield Farm and Cottage Market,"703 E Broad St, Mansfield, TX 76063, USA",32.5649508,-97.1347178,http://www.mtxfcm.com/,"establishment, point_of_interest",ChIJV5CA_YthToYRrHwx2FAEeMM,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Worth Public Market,"1400 Henderson St, Fort Worth, TX 76102, USA",32.7446173,-97.3380689,https://www.fortworthpublicmarket.com/,"bar, cafe, establishment, food, point_of_interest, restaurant",ChIJ2Q9iGCRxToYRKHxbPAsx69M,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cedar Market Ranch,"2434 S Harwood St, Dallas, TX 75215, USA",32.7683924,-96.7798233,http://www.thecedarmarketranch.com/,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJ9YuRq2mZToYRuLnANkPP3Kg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Flower Market On 7th,"2733 W 7th St, Fort Worth, TX 76107, USA",32.7506748,-97.3561245,http://www.theflowermarketon7th.com/,"establishment, florist, point_of_interest, store",ChIJT8TwpuBzToYRDx7ccLQqvps,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmer's Market Precut,"2557 NE 33rd St, Fort Worth, TX 76111, USA",32.805571,-97.3140209,Not listed,"establishment, point_of_interest",ChIJYUTUeeR2ToYRUkVkxaQpGMI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowtown Farmers Market,"8901 Clifford St, White Settlement, TX 76108, USA",32.7645369,-97.4709428,http://www.cowtownmarket.com/,"establishment, point_of_interest",ChIJ-fchbSwNToYRLS6vhEm-v_8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henderson Street Flea Market,"1000 N Henderson St, Fort Worth, TX 76107, USA",32.7636596,-97.3479195,Not listed,"establishment, point_of_interest",ChIJkV6OFVdxToYRXtcvXNNa888,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cross Timbers Demonstration Garden,"631-799 Ranch House Rd, Willow Park, TX 76087, USA",32.7446805,-97.6368088,Not listed,"establishment, point_of_interest",ChIJgauPM8MFToYRcjjWZNqGKw8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Ranch Stockyards,"500 NE 23rd St, Fort Worth, TX 76164, USA",32.785455,-97.34358,http://www.riverranchstockyards.com/,"establishment, point_of_interest",ChIJlwMxgqV2ToYRi8mV1Bfvlp8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Harden at Public Market,"1440 Henderson St, Fort Worth, TX 76102, USA",32.7441936,-97.3382308,https://thehardenatpublicmarket.com/,"establishment, point_of_interest, real_estate_agency",ChIJ64D1OhxxToYRUuAGVJ3t_Yc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
