name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude ,date_collected,website,geometry,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON
Urban Roots East Austin Farm,"7651 Delwau Ln, Austin, TX 78725, USA",30.2628748,-97.6642254,http://www.urbanrootsatx.org/,"establishment, point_of_interest",ChIJa3zq91m2RIYRiQcwrsMaZVM,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Roots,"4900 Gonzales St, Austin, TX 78702, USA",30.2555353,-97.6966852,https://urbanrootsatx.org/,"establishment, point_of_interest",ChIJYf1cEui1RIYR2etPZTEqy0c,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HausBar Urban Farm,"3300 Govalle Ave, Austin, TX 78702, USA",30.2657903,-97.7009204,http://hausbarurbanfarm.com/,"establishment, point_of_interest",ChIJURTtlte1RIYRj_0fhij0FnY,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Roots South Austin Farm,"4711 Winnebago Ln, Austin, TX 78744, USA",30.2073362,-97.7351174,https://urbanrootsatx.org/,"establishment, point_of_interest",ChIJ7dpUWwCzRIYR_8ya8brOPG0,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historic Boggy Creek Farm,"3414 Lyons Rd, Austin, TX 78702, USA",30.2619693,-97.7015719,http://www.boggycreekfarm.com/,"establishment, lodging, point_of_interest",ChIJR9PUita1RIYR1FlipeiVMdU,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boggy Creek Farm Stand / Market,"3414 Lyons Rd, Austin, TX 78702, USA",30.2624608,-97.7011749,https://www.boggycreekfarm.com/,"establishment, point_of_interest",ChIJC1TcmIe1RIYRkmOF6vhz-Eg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rail Lily Farm,"Highlights info row image, 914 Shady Ln, Austin, TX 78702, USA",30.257758,-97.6951094,https://www.facebook.com/rainlilyfarm,"establishment, point_of_interest, school",ChIJoei7CE-3RIYRqIWLbXYQCP8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Gate Farms,"8310 Canoga Ave, Austin, TX 78724, USA",30.2854601,-97.6348087,https://greengatefarms.net/,"establishment, food, point_of_interest, store",ChIJCaFZ_SC3RIYRO80x3-ZLGTY,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEAS Community Farm & Urban Orchard,"2200 Berkeley Ave, Austin, TX 78745, USA",30.2105474,-97.8052063,https://www.peascommunity.org/peasfarm.html,"establishment, point_of_interest",ChIJjcMuwV1LW4YRPzloyzPWwGA,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Farmers' Market at Mueller,"2006 Philomena St, Austin, TX 78723, USA",30.300283,-97.7034632,http://texasfarmersmarket.org/mueller/,"establishment, point_of_interest",ChIJUfiJvfm1RIYR18aDhOnca8s,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812 Outdoor Market,"8714 FM812, Austin, TX 78719, USA",30.163401,-97.6909279,http://812market.com/,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJWyMif4KxRIYRl_xVmHDjdow,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arboretum Market,"9722 Great Hills Trl, Austin, TX 78759, USA",30.3948161,-97.750252,http://www.barshop-oles.com/,"establishment, health, point_of_interest, shopping_mall",ChIJe01TXIPMRIYR4axQammqcyc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee Cave Farmers Market,"12700 Hill Country Blvd, Bee Cave, TX 78738, USA",30.3094692,-97.9393522,http://www.beecavefarmersmarket.com/,"establishment, point_of_interest",ChIJk71kGYA3W4YRGgq9rDrPSsA,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Great Outdoors,"2730 S Congress Ave, Austin, TX 78704, USA",30.234589,-97.7575817,http://gonursery.com/,"establishment, food, general_contractor, point_of_interest, store",ChIJHSJgG-y0RIYRgqp6yHvM59c,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barton Creek Farmers Market,"2901 S Capital of Texas Hwy, Austin, TX 78746, USA",30.258407,-97.8032969,http://www.bartoncreekfarmersmarket.org/,"establishment, point_of_interest",ChIJX5dfZuq0RIYRlqXFFuzJagQ,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Pastures,"1301 W Oltorf St, Austin, TX 78704, USA",30.245284,-97.7685148,https://www.localpastures.farm/,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJxwaJ9C-1RIYRBejhWdxm9Fg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Ground Farm,"186 Howard Ln, Bastrop, TX 78602, USA",30.1737912,-97.4223842,http://middleground-farm.com/,"establishment, point_of_interest",ChIJH8rGkN-XRIYRKGs_pJqr75E,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fair Market,"1100 E 5th St., Austin, TX 78702, USA",30.2638889,-97.7316667,http://fairmarketaustin.com/,"establishment, point_of_interest",ChIJTZAt76-1RIYRJvqAuOVIpzE,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray Fox Market Garden,"10802 Kit Carson Dr, Austin, TX 78737, USA",30.20334579999999,-97.9572447,Not listed,"establishment, point_of_interest",ChIJDXwqTqhIW4YRnJQKrS7jEaU,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tillery Street Plant Co.,"914 Shady Ln, Austin, TX 78702, USA",30.2577044,-97.6950607,https://www.tillerystreetplants.com/,"establishment, point_of_interest, store",ChIJXz0D5NO1RIYRgfFglmGRmwM,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
