,name,address,latitude,longitude,oid,geoid,state,county
0,Lund Produce Co. Branchgrove Farms,"15906 County Line Rd., Elgin, Texas 78621",30.394821,-97.390609,27590377912845,48453,48,453
1,Coyote Creek Organic Farm and Feed Mill,"13817 Klaus Lane, Elgin, Texas 78621",30.36198,-97.428517,27590377912845,48453,48,453
2,Henrietta Creek Orchard,"14255 Old Denton Road, Roanoke, Texas 76262",32.986277,-97.297603,275901921448120,48439,48,439
3,Partybarn Farm,"18611 Becker Rd, Hockley, Texas 77447",30.045827,-95.799977,27590325947046,48201,48,201
4,Munkebo Farm,"20826 Blake Manor Rd., Manor, Texas 78653",30.261825,-97.482753,27590377912845,48453,48,453
5,Honey's Acres Farm,"1350 Stoney Creek Dr, Cedar Hill, Texas 75104",32.561252,-96.937545,27590555914097,48113,48,113
6,Hope Farms Market,"10401 Scott Street, Houston , Texas 77051",29.645582,-95.367588,27590325947046,48201,48,201
7,Nava Farms,"4708 E Hwy 71, Del Valle, TX, USA",30.1873864,-97.5930483,27590377912845,48453,48,453
8,Homestead Farms,"4160 Keller Hicks Road, Keller, TX 76244",32.93613201143971,-97.27278003342111,275901921448120,48439,48,439
9,Mars Hill Farm,"1604 Mars Road, Ferris, TX 75125",32.58754701474102,-96.6376640352596,27590555914097,48113,48,113
10,Neals Berry Farm and Farmers Market,"21104 Binford Road, Waller, TX 77484",30.08008810820593,-95.89169995953822,27590325947046,48201,48,201
11,Pemberton's Garden,"717 Pemberton Street, Fort Worth, TX 76108",32.75140898895981,-97.46578500488113,275901921448120,48439,48,439
12,Star Creek Country,"23702 Old Ferry Rd, Spicewood, TX 78669",30.418096985862636,-98.06629396884996,27590377912845,48453,48,453
13,Wahl's Peaches and Vegetables,15371 Hwy. 290 E.,29.8147132,-95.4782683,27590325947046,48201,48,201
