farm_name,street_address,city,county,zip_code,latitude,longitude,website,date_collected
Dragon City Farms,2435 Walnut Ridge Street,"Dallas, TX",Dallas,75229,32.8943,-96.8856,https://dragoncityfarms.com,6/29/26
Gardeners in Community Development,901 Greenbriar Ln,"Richardson, TX",Dallas/Collin,75080,32.9554,-96.7456,https://www.facebook.com/gardendallas/,6/29/26
GROW North Texas,1451 John West Rd,"Dallas, TX",Dallas,75228,32.8123,-96.6578,http://www.grownorthtexas.org,6/29/26
Restorative Farms,4500 Todd Street,"Dallas, TX",Dallas,75210,32.7681,-96.7325,https://www.restorativefarms.org,6/29/26
Sustainable Stems,7017 Pickrell Dr,"Dallas, TX",Dallas,75227,32.79003147,-96.69194687,https://sustainablestemsdfw.com,6/29/26
Opal's  Farm,2500 Lasalle St,"Fort Worth, TX",Tarrant,76111,32.75659382,-97.31155814,https://www.facebook.com/opalsfarm/,6/29/26
Joe's  Microgreens,7206 Shelton Rd,"Austin, TX",Travis,78725,30.26177419,-97.66616341,https://joesmicrogreens.com/,6/29/26
Urban Roots ,7651 Delwau Ln,"Austin, TX",Travis,78725,30.26312865,-97.66420595,https://urbanrootsatx.org/,6/29/26
Tecolote Farm,"16301 Decker Lake Rd,","Manor, TX",Travis,78653,30.25777345,-97.56395878,http://www.tecolotefarm.net,6/29/26
Shamba Ya Amani ,"8401 Dairy View Lane,","Houston, TX",Harris,77072,29.75097,-94.91775,https://www.famhoustontx.org/shamba,6/29/26
Ivy Leaf Farms,4506 Fuqua St,"Houston, TX",Harris,77048,29.62,-95.3582,https://www.ivyleaffarms.com/,6/29/26
Finca Tres Robles,5715 Canal St,"Houston, TX",Harris,77011,29.7454759,-95.3165174,https://smallplaces.org/places/fincatresrobles/,6/29/26
