farm_name,profile_url,latitude,longitude,street_address
Quail Haven Urban Farm,localharvest.org/quail-haven-urban-farm-M80332,32.75,-97.21,
Foster Farm Grass Fed/ Grass Finished Beef,localharvest.org/foster-farm-grass-fed-grass-finished-beef-M71211,,,"Location: 6523 Matlock Rd. Granbury, TX 76049"
Pastured Steps Family Farm,localharvest.org/pastured-steps-family-farm-M75854,,,Not found
"Parish Custom Beef, LLC",localharvest.org/parish-custom-beef-llc-M75843,,,"Location: 3077 Pleasant Valley Road Mineral Wells, TX 76067"
JJJM Grass Fed Beef,localharvest.org/jjjm-grass-fed-beef-M71256,,,"Location: 1500 Cottonwood Dr Celina, TX 75009"
P.O.P. Acres,localharvest.org/p-o-p-acres-M18186,,,"Location: 8040 FM 642 Purdon, TX 76679"
Penny's Pastured Poultry,localharvest.org/pennys-pastured-poultry-M74044,,,"Location: 18647 County Road 2529 Eustace, TX 75124"
Texas Organic Mushrooms,localharvest.org/texas-organic-mushrooms-M17453,,,Not found
Meat Goats in DFW,localharvest.org/meat-goats-in-dfw-M83848,32.44,-97.19,
Star Ranch,localharvest.org/star-ranch-M84898,32.90,-97.79,
Dos Lobos Ranch LLC,localharvest.org/dos-lobos-ranch-llc-M85062,33.10,-97.52,
Cluckers Creek LLC,localharvest.org/cluckers-creek-llc-M85607,32.31,-96.91,
Ginger McMillan,localharvest.org/ginger-mcmillan-M70686,,,"Location: 118 Stainback ct. RED OAK, TX 75154"
Mars Hill Farm,localharvest.org/mars-hill-farm-M86431,32.59,-96.64,
Harmony Hollow Apiaries,localharvest.org/harmony-hollow-apiaries-M52935,,,Not found
Big G Wagyu Beef,localharvest.org/big-g-wagyu-beef-M85999,32.02,-97.06,
Bee Space Apiaries,localharvest.org/bee-space-apiaries-M84147,33.03,-96.59,
Blase Family Farm,localharvest.org/blase-family-farm-M85931,32.94,-96.47,
Chapman 3C Cattle Company,localharvest.org/chapman-3c-cattle-company-M75349,,,"Location: 4513 W FM 219 Hico, TX 76457"
Gold Nugget Farm,localharvest.org/gold-nugget-farm-M82022,32.22,-98.47,
KaJiN Farm,localharvest.org/kajin-farm-M23761,,,"Location: 3221 CR 2508 Caddo Mills, TX 75135"
Farmer Ranch,localharvest.org/farmer-ranch-M86095,32.46,-96.18,
Happy Life Ranch- Texas Edition,localharvest.org/happy-life-ranch-texas-edition-M86462,32.21,-96.25,
Hambone's Mercantile,localharvest.org/hambones-mercantile-M83759,,,Not found
Good Earth Organic Farm,localharvest.org/good-earth-organic-farm-M404,,,"Location: 8571 FM 272 Celeste, TX 75423"
Dalusa Organic Ranch,localharvest.org/dalusa-organic-ranch-M46041,,,"Location: 2755 Rains Cty Rd 1490 Point, TX 75472"
Living Branch Farm,localharvest.org/living-branch-farm-M83863,,,Not found
Prairie Sky Farm,localharvest.org/prairie-sky-farm-M56113,,,"Location: 4801 Kelly Road Aledo, TX 76008"
Little Dub Farm,localharvest.org/little-dub-farm-M60055,,,"Location: 4901 Kelly Road Fort Worth, TX 76126"
Nine Mile Farm - Fresh Duck Eggs,localharvest.org/nine-mile-farm-fresh-duck-eggs-M66339,,,"Location: 7190 Nine Mile Bridge Road Fort Worth, TX 76135"
Broken Paddle Farm,localharvest.org/broken-paddle-farm-M71748,,,"Location: Ten Mile Bridge rd Fort Worth, TX 76135-2124"
"HFW Beef, LLC",localharvest.org/hfw-beef-llc-M22596,,,"Location: 2542 Hwy 240 Wichita Falls, TX 76136"
Roman Heritage Farms,localharvest.org/roman-heritage-farms-M71517,,,"Location: 269 W Hwy 171 Godley, TX 76044"
Star Ranch Azle,localharvest.org/star-ranch-azle-M39705,,,Not found
Adobe Farm,localharvest.org/adobe-farm-M51609,,,"Location: 2526 Hayley Drive Weatherford, TX 76085"
Twinstone Ranch,localharvest.org/twinstone-ranch-M81797,32.51,-97.22,
Udderly Free Range,localharvest.org/udderly-free-range-M65445,,,"Location: 124 Remington Lane Weatherford, TX 76085"
Mushroom Street Farms,localharvest.org/mushroom-street-farms-M85118,32.62,-97.16,
Ewe Got It Farm,localharvest.org/ewe-got-it-farm-M67507,,,"Location: 4224 C.R. 801 Joshua , TX 76058"
Giselle Borges,localharvest.org/giselle-borges-M83920,32.72,-97.15,
Sendero Brothers All Natural Grassfed Texas Beef,localharvest.org/sendero-brothers-all-natural-grassfed-texas-beef-M34329,,,"Location: 2714 Buffalo Dr. Arlington, TX 76013"
DFW Organic Growing,localharvest.org/dfw-organic-growing-M76552,,,"Location: 10027 Harmon Rd ste 125 Fort Worth, TX 76177-7314"
Walnut Creek Farm,localharvest.org/walnut-creek-farm-M61206,,,"Location: 6529 Asher Road Alvarado, TX 76009"
Lonesome Star Farm,localharvest.org/lonesome-star-farm-M33899,,,Not found
Jazbac Farm,localharvest.org/jazbac-farm-M60570,,,Not found
C&B Fleece Fur and Feathers,localharvest.org/c-b-fleece-fur-and-feathers-M32794,,,"Location: 11429 Ridgeview Circle Ft Worth, TX 76244"
La Casa Verde,localharvest.org/la-casa-verde-M54090,,,"Location: 802 W. Spring St. Weatherford, TX 76086"
Falling Star Farms,localharvest.org/falling-star-farms-M63473,,,Not found
