Name,Address,Latitude,Longitude,Website,Google Categories,Place ID,Status
Wylie Urban Farm & Market,"2315 E Stone Rd, Wylie, TX 75098, USA",33.0064287,-96.500148,https://wylieurbanfarmmarket.com/,"establishment, point_of_interest",ChIJEbK9ztUFTIYREApXtQ9LFag,Pending Review
Texas Trees Foundation Urban Tree Farm,"Parking, 12800 Abrams Rd Lot D, Dallas, TX 75243, USA",32.9230424,-96.73475789999999,http://www.texastrees.org/,"establishment, point_of_interest",ChIJ4R0VoJMfTIYRYMVp1N9VnRI,Pending Review
Urban Alpacas,"18492 Farm to Market Rd 2755, Royse City, TX 75189, USA",32.99650099999999,-96.417924,http://www.urbanalpaca.farm/,"establishment, point_of_interest",ChIJe8-ZJa4ATIYRcQQR2MJziMk,Pending Review
The Giving Garden at Jacob's Reward Farm,"4308 Church Ln, Parker, TX 75002, USA",33.0597198,-96.621203,http://the-giving-garden.org/,"establishment, food, point_of_interest, store",ChIJiY2TX_UaTIYR3Akecl12Amw,Pending Review
Hunnicut Farm,"6532 Hunnicut Rd, Dallas, TX 75227, USA",32.779563,-96.7196785,Not listed,"establishment, point_of_interest",ChIJtytHsQ6jToYR1hwp3WaBf5E,Pending Review
Elmwood Farm,"1014 Nolte Dr, Dallas, TX 75208, USA",32.733665,-96.83958700000001,https://www.elmwoodfarm.co/,"establishment, point_of_interest",ChIJU0-cis2bToYRyZtlm5ZeI_o,Pending Review
Pure Land Farm,"7505 Co Rd 201, McKinney, TX 75071, USA",33.2716644,-96.6461263,http://purelandorganic.com/,"establishment, point_of_interest",ChIJDQKcZrdsTIYRHHNioTODxSI,Pending Review
Hatcher Station Training Farm,"4500 Todd St, Dallas, TX 75210, USA",32.766178,-96.74419909999999,http://www.restorativefarms.org/,"establishment, point_of_interest",ChIJIUgpTvSjToYRBuHzeEgdWuw,Pending Review
Joppy Momma's Farm,"7728 Carbondale St, Dallas, TX 75216, USA",32.7167069,-96.7508318,https://joppymommas.org/,"establishment, point_of_interest",ChIJ83XUCMSXToYRGSEJdqmd8Qo,Pending Review
5G Farms,"6601 Co Rd 166, McKinney, TX 75071, USA",33.2674206,-96.6825814,http://www.5gfarmtx.com/,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJjZ1HGCNrTIYR2bW76FalFos,Pending Review
Sunset Trail Farm of McKinney,"1794 Sunset Trail, McKinney, TX 75071, USA",33.2459035,-96.5841518,http://www.sunsettrail.com/,"establishment, food, point_of_interest, store",ChIJqQRhbqwTTIYRHrvILO3Gc00,Pending Review
UTD Eco Hub,"725 Synergy Park Blvd, Richardson, TX 75080, USA",32.996214,-96.7449604,https://sustainability.utdallas.edu/campus/ecohub/,"establishment, point_of_interest",ChIJOZSKPgAZTIYRorXQaTXIaTI,Pending Review
Owenwood Farm & Neighbor Space,"1451 John West Rd, Dallas, TX 75228, USA",32.80732620000001,-96.6929134,http://www.owenwood.org/,"establishment, point_of_interest",ChIJGYwr_tijToYR1wY2UtF-5NI,Pending Review
Mill City Teaching Farm,"4719 Collins Ave, Dallas, TX 75210, USA",32.777228,-96.742197,https://www.millcityteachingfarm.com/,"establishment, point_of_interest",ChIJ0dWKGnGiToYRy3bBZ01qZvQ,Pending Review
McKinney Roots,"McKinney, TX 75071, USA",33.2615238,-96.7201152,https://www.mckinneyroots.org/,"establishment, point_of_interest",ChIJ4WwB81hrTIYR8ux1xdvK7cs,Pending Review
Lewellen Farms,"4145 Co Rd 411, McKinney, TX 75071, USA",33.2513051,-96.5498382,https://www.facebook.com/lewellenfarm/,"establishment, point_of_interest",ChIJVVVhujsNTIYRU4JMVwuiYoM,Pending Review
Bonton Farms,"6911 Bexar St, Dallas, TX 75215, USA",32.73473450000001,-96.75375760000001,http://bontonfarms.org/,"establishment, point_of_interest",ChIJn7-J6wuYToYRL2NAvMPqb8k,Pending Review
Home Grown Plants,"2675 W Audie Murphy Pkwy, Farmersville, TX 75442, USA",33.1587295,-96.40102379999999,http://hgp380.com/,"establishment, food, point_of_interest, store",ChIJm9wbiSP2S4YRtLZ51JISI6Q,Pending Review
Collin County Feed & Seed,"113 S Chestnut St, McKinney, TX 75069, USA",33.1968078,-96.6132961,Not listed,"establishment, food, point_of_interest",ChIJK9YLy0kSTIYRZNyW-wzwqfA,Pending Review
"Cottonwood Retreat, a unique luxury and urban Farm experience","Dallas, TX 75243, USA",32.9075508,-96.76162719999999,Not listed,"establishment, lodging, point_of_interest",ChIJB0CJIBAgTIYRqwGOdChhrsA,Pending Review
World of Organics Garden Supply,"230 W Parker Rd #180c, Plano, TX 75075, USA",33.0395465,-96.7081954,https://worldoforganicsandhydroponics.com/,"establishment, food, point_of_interest, store",ChIJv2w4-C8fTIYRPKQaz6pGZTI,Pending Review
Abundant Harvest Hydroponics & Organics,"3101 Avenue E, Arlington, TX 76011, USA",32.7571817,-97.05211290000001,http://www.abhydro.com/,"establishment, point_of_interest, store",ChIJJ-LSKgOHToYRsyQ6k9vLiLE,Pending Review
"Texas Green Star, LLC","4122 Cowling Rd, Sanger, TX 76266, USA",33.3213005,-97.1735839,http://www.texasgreenstar.com/,"establishment, point_of_interest",ChIJJV98t2-zTYYRu1SyCH40mD4,Pending Review
Talise Microgreens LLC,"17811 Davenport Rd suite 52, Dallas, TX 75252, USA",32.9916954,-96.7947044,Not listed,"establishment, point_of_interest",ChIJG_SzingjTIYRtde756JMl9E,Pending Review
BFF Agriculture,"6700 Co Rd 239, Terrell, TX 75160, USA",32.7621535,-96.3587934,http://breedenfreshfarms.com/,"establishment, point_of_interest",ChIJ302REfhTSYYRMPKOEOwZO7Y,Pending Review
Outdoor Warehouse Supply,"1212 Municipal Ave, Plano, TX 75074, USA",33.0166841,-96.69726059999999,https://www.outdoorwarehousesupply.com/,"establishment, general_contractor, point_of_interest, store",ChIJm_0E7RkZTIYRNAYZs9Ps540,Pending Review
Aledo River Valley Farms,"411 Koldin Dr, Annetta South, TX 76008, USA",32.6716035,-97.611104,Not listed,"establishment, point_of_interest",ChIJIbK3UY0PToYRAdaw9E7FfZo,Pending Review
"TrueHarvest Farms, LLC","111 Trueharvest Wy, Belton, TX 76513, USA",31.0846205,-97.48774259999999,http://www.trueharvestfarms.com/,"establishment, point_of_interest",ChIJuYR_129BRYYRrPxBTyPIOQo,Pending Review
"Bumper Crop Farms Country Store/ H2O Water Works, Inc.","6599 FM 1886, Azle, TX 76020, USA",32.8289892,-97.6241123,Not listed,"establishment, point_of_interest",ChIJUz79vegHToYRKOv4gRqTNNw,Pending Review
Squeezepenny Sustainable Farm,"3723 County Rd 412, McKinney, TX 75071, USA",33.2599532,-96.54094189999999,Not listed,"establishment, point_of_interest",ChIJL4OB_3ANTIYRga59pga1z1Y,Pending Review
Hugs Greenhouse,"1151 E Cottage Hill Pkwy, McKinney, TX 75071, USA",33.3048624,-96.6413231,https://hugscafe.org/programs-hugs-greenhouse/,"establishment, point_of_interest",ChIJW6vgfrhtTIYRqaLbFIZa0Bw,Pending Review
