Name,Address,Latitude,Longitude,Website,Google Categories,Place ID,Status
Tabor Farms,"3400 Village Creek Rd, Fort Worth, TX 76105, USA",32.7125883,-97.25048819999999,https://www.facebook.com/people/Tabor-Farms/100085857597478/,"establishment, point_of_interest",ChIJa2qdxlB7ToYRe7bIf1U05Yc,Pending Review
Opal's Farm,"2500 Lasalle St, Fort Worth, TX 76111, USA",32.7543407,-97.3105271,http://www.unityunlimited.org/,"establishment, point_of_interest",ChIJxzRig5RxToYRu-02Qx59mEo,Pending Review
Elmwood Farm,"1014 Nolte Dr, Dallas, TX 75208, USA",32.733665,-96.83958700000001,https://www.elmwoodfarm.co/,"establishment, point_of_interest",ChIJU0-cis2bToYRyZtlm5ZeI_o,Pending Review
Joppy Momma's Farm,"7728 Carbondale St, Dallas, TX 75216, USA",32.7167069,-96.7508318,https://joppymommas.org/,"establishment, point_of_interest",ChIJ83XUCMSXToYRGSEJdqmd8Qo,Pending Review
The Barn (formerly Elizabeth Anna's Old World Garden),"2825 8th Ave, Fort Worth, TX 76110, USA",32.7104741,-97.34342869999999,http://thebarn.world/,"establishment, general_contractor, point_of_interest, store",ChIJyRm1SoxxToYRnP4XZuBQZ3g,Pending Review
Hatcher Station Training Farm,"4500 Todd St, Dallas, TX 75210, USA",32.766178,-96.74419909999999,http://www.restorativefarms.org/,"establishment, point_of_interest",ChIJIUgpTvSjToYRBuHzeEgdWuw,Pending Review
Bonton Farms,"6911 Bexar St, Dallas, TX 75215, USA",32.73473450000001,-96.75375760000001,http://bontonfarms.org/,"establishment, point_of_interest",ChIJn7-J6wuYToYRL2NAvMPqb8k,Pending Review
Mushroom Street Farms,"8001 Valcasi Dr Ste 101, Arlington, TX 76001, USA",32.6155556,-97.1580556,https://www.mushroom.st/,"establishment, food, health, point_of_interest, store",ChIJt75Sy5thToYRVN6Qe0QLfzY,Pending Review
Viva City,"2825 8th Ave #3043, Fort Worth, TX 76110, USA",32.7103924,-97.34342339999999,https://www.vivacity.market/,"establishment, food, general_contractor, grocery_or_supermarket, point_of_interest, store",ChIJAQAQtY1xToYR_JPOkSlIqcY,Pending Review
Clearfork Creek Farm Corporation,"551 N Floras Rd, Aledo, TX 76008, USA",32.6456567,-97.5782205,http://clearforkcreek.farm/,"establishment, point_of_interest",ChIJFxjJ4xQRToYRaQd3J5veyIs,Pending Review
