farm_name,profile_url,latitude,longitude,street_address
Central Texas Farmers Co-op,localharvest.org/central-texas-farmers-co-op-M74330,29.8942825,-97.9810845,"Location: Central Texas between Austin/ San Antonio San Marcos, TX 78666"
Eat Your Greens! Organic Farm,localharvest.org/eat-your-greens-organic-farm-M76452,,,Not found
The Rowdy Roost,localharvest.org/the-rowdy-roost-M83573,29.58,-97.73,
Geosmin Regenerative,localharvest.org/geosmin-regenerative-M83580,30.19,-97.8,
Green Gate Farms,localharvest.org/green-gate-farms-M15256,30.2857234,-97.63489299999999,"Location: 8254 Canoga Avenue Austin, TX 78724"
Munkebo Farm,localharvest.org/munkebo-farm-M37675,30.2608428,-97.48358809999999,"Location: 20828 Blake Manor Rd. Manor, TX 78653"
Headlong Farm,localharvest.org/headlong-farm-M84907,30.36,-97.34,
Gather & Deliver,localharvest.org/gather-amp-deliver-M80348,30.35,-98.15,
Better Days Gardens,localharvest.org/better-days-gardens-M85110,29.86,-97.6,
Holland Cattle Co.,localharvest.org/holland-cattle-co--M72554,30.6220917,-98.2428721,"Location: 4400 CR 340 Marble Falls, TX 78654"
Galloping Winds Ranch,localharvest.org/galloping-winds-ranch-M25019,30.8155532,-97.8740608,"Location: 402 Whitaker Road Florence, TX 76527"
J&C Poultry,localharvest.org/j-c-poultry-M85778,31.07,-97.91,
Ahimsa Farm,localharvest.org/ahimsa-farm-M30325,29.9255705,-98.768165,"Location: 65 Cravey Road Waring, TX 78006"
Wild Type Ranch,localharvest.org/wild-type-ranch-M16339,30.9347797,-96.9241854,"Location: 2579 County Rd 140 Cameron, TX 76520"
Armadillo Gardens,localharvest.org/armadillo-gardens-M86257,29.45,-98.46,
"Sussex Farm and Ranch, LLC",localharvest.org/sussex-farm-and-ranch-llc-M85503,29.99,-98.93,
Bar W Ranch Beef,localharvest.org/bar-w-ranch-beef-M84881,30.98,-96.67,
Honest Herd LLC,localharvest.org/honest-herd-llc-M85822,29.71,-96.54,
New Leaf Agriculture,localharvest.org/new-leaf-agriculture-M80602,30.27,-97.74,
Watterson Ranch,localharvest.org/watterson-ranch-M49991,30.267153,-97.7430608,"Location: free delivery within 50 mile radius of Austin TX Austin, TX 78701"
Austin Urban Farm,localharvest.org/austin-urban-farm-M54724,30.266887,-97.720461,"Location: 1108 Chicon St. Austin, TX 78702"
Boggy Creek Farm,localharvest.org/boggy-creek-farm-M4142,30.2624487,-97.7011646,"Location: 3414 Lyons Road Austin, TX 78702"
Lettuce Networks,localharvest.org/lettuce-networks-M73646,30.27411309999999,-97.6959116,"Location: 3404 Oak Springs Austin Texas , TX 78721"
Urban Roots,localharvest.org/urban-roots-M77851,30.26,-97.66,
