farm_name,profile_url,latitude,longitude,street_address
Central Texas Farmers Co-op,localharvest.org/central-texas-farmers-co-op-M74330,,,"Location: Central Texas between Austin/ San Antonio San Marcos, TX 78666"
Eat Your Greens! Organic Farm,localharvest.org/eat-your-greens-organic-farm-M76452,,,Not found
The Rowdy Roost,localharvest.org/the-rowdy-roost-M83573,29.58,-97.73,
Geosmin Regenerative,localharvest.org/geosmin-regenerative-M83580,30.19,-97.80,
Green Gate Farms,localharvest.org/green-gate-farms-M15256,,,"Location: 8254 Canoga Avenue Austin, TX 78724"
Munkebo Farm,localharvest.org/munkebo-farm-M37675,,,"Location: 20828 Blake Manor Rd. Manor, TX 78653"
Headlong Farm,localharvest.org/headlong-farm-M84907,30.36,-97.34,
Gather & Deliver,localharvest.org/gather-amp-deliver-M80348,30.35,-98.15,
Better Days Gardens,localharvest.org/better-days-gardens-M85110,29.86,-97.60,
Holland Cattle Co.,localharvest.org/holland-cattle-co--M72554,,,"Location: 4400 CR 340 Marble Falls, TX 78654"
Galloping Winds Ranch,localharvest.org/galloping-winds-ranch-M25019,,,"Location: 402 Whitaker Road Florence, TX 76527"
J&C Poultry,localharvest.org/j-c-poultry-M85778,31.07,-97.91,
Ahimsa Farm,localharvest.org/ahimsa-farm-M30325,,,"Location: 65 Cravey Road Waring, TX 78006"
Wild Type Ranch,localharvest.org/wild-type-ranch-M16339,,,"Location: 2579 County Rd 140 Cameron, TX 76520"
Armadillo Gardens,localharvest.org/armadillo-gardens-M86257,29.45,-98.46,
"Sussex Farm and Ranch, LLC",localharvest.org/sussex-farm-and-ranch-llc-M85503,29.99,-98.93,
Bar W Ranch Beef,localharvest.org/bar-w-ranch-beef-M84881,30.98,-96.67,
Honest Herd LLC,localharvest.org/honest-herd-llc-M85822,29.71,-96.54,
New Leaf Agriculture,localharvest.org/new-leaf-agriculture-M80602,30.27,-97.74,
Watterson Ranch,localharvest.org/watterson-ranch-M49991,,,"Location: free delivery within 50 mile radius of Austin TX Austin, TX 78701"
Austin Urban Farm,localharvest.org/austin-urban-farm-M54724,,,"Location: 1108 Chicon St. Austin, TX 78702"
Boggy Creek Farm,localharvest.org/boggy-creek-farm-M4142,,,"Location: 3414 Lyons Road Austin, TX 78702"
Lettuce Networks,localharvest.org/lettuce-networks-M73646,,,"Location: 3404 Oak Springs Austin Texas , TX 78721"
Urban Roots,localharvest.org/urban-roots-M77851,30.26,-97.66,
City Farm Austin,localharvest.org/city-farm-austin-M52565,,,"Location: 7210 Lunar Drive Austin, TX 78745"
Kin Heritage Farm,localharvest.org/kin-heritage-farm-M54975,,,Not found
Crystal Creek Farms,localharvest.org/crystal-creek-farms-M61768,,,"Location: 155 Crystal Creek Rd. Austin , TX 78746"
Hudson Homestead,localharvest.org/hudson-homestead-M82052,30.40,-97.65,
Barnison Farm,localharvest.org/barnison-farm-M13653,,,"Location: 9116 Highway 183 South Austin, TX 78747"
Bee Friendly Austin,localharvest.org/bee-friendly-austin-M66741,,,"Location: 9874 Wier Loop Circle Austin, TX 78736"
Tecolote Farm,localharvest.org/tecolote-farm-M406,,,"Location: 16301 Decker Lake Rd. Manor, TX 78653"
Dear Run Longhorns,localharvest.org/dear-run-longhorns-M58259,,,"Location: 1700 N. FM 1626 Buda, TX 78610"
Gray Gardens,localharvest.org/gray-gardens-M65332,,,"Location: 767 main st Buda, TX 78610"
Farmshare Austin,localharvest.org/farmshare-austin-M66930,,,"Location: 3608 River Road Cedar Creek, TX 78612"
Rocking B Ranch,localharvest.org/rocking-b-ranch-M23817,,,"Location: 13100 drift Dr Austin , TX 78736"
Blue Star Ranch,localharvest.org/blue-star-ranch-M73970,,,"Location: 5305 Hudson Bend Rd Austin, TX 78734"
Utopia Aquaponics,localharvest.org/utopia-aquaponics-M68132,,,Not found
Two Happy Children Farm,localharvest.org/two-happy-children-farm-M29774,,,Not found
MoreHart Farm,localharvest.org/morehart-farm-M60401,,,"Location: 515 South Cedar Creek Dr Cedar Creek, TX 78612"
Countryside Farm,localharvest.org/countryside-farm-M65032,,,"Location: 376 Jones Rd Cedar Creek, TX 78612"
Coyote Creek Organic Feed Mill & Farm,localharvest.org/coyote-creek-organic-feed-mill-farm-M15019,,,"Location: 13817 Klaus Lane Elgin, TX 78621"
Grass to Food Farm,localharvest.org/grass-to-food-farm-M77243,30.33,-97.42,
Eden's Cove,localharvest.org/edens-cove-M38727,,,"Location: 157 Bahia Lane Cedar Creek , TX 78612"
Youngs Prairie Dairy,localharvest.org/youngs-prairie-dairy-M49157,,,"Location: 356 Youngs Prairie Rd Elgin, TX 78621"
Simmons Family Farms,localharvest.org/simmons-family-farms-M55479,,,"Location: 305 Simmons Family Farm Road Lockhart, TX 78644"
Fitzhugh Creek LLC Farm,localharvest.org/fitzhugh-creek-llc-farm-M49443,,,Not found
The McRanch,localharvest.org/the-mcranch-M3442,,,"Location: The McRanch 1011 FM 165 Dripping Springs, TX 78620"
Millberg Farm,localharvest.org/millberg-farm-M8987,,,"Location: 737 Opal Kyle, TX 78640"
