farm_name,profile_url,latitude,longitude,street_address
Quail Haven Urban Farm,localharvest.org/quail-haven-urban-farm-M80332,32.75,-97.21,
JJJM Grass Fed Beef,localharvest.org/jjjm-grass-fed-beef-M71256,33.2729721,-96.8063748,"Location: 1500 Cottonwood Dr Celina, TX 75009"
Pastured Steps Family Farm,localharvest.org/pastured-steps-family-farm-M75854,,,Not found
Penny's Pastured Poultry,localharvest.org/pennys-pastured-poultry-M74044,32.2919866,-96.09324149999999,"Location: 18647 County Road 2529 Eustace, TX 75124"
Foster Farm Grass Fed/ Grass Finished Beef,localharvest.org/foster-farm-grass-fed-grass-finished-beef-M71211,32.4119264,-97.6581394,"Location: 6523 Matlock Rd. Granbury, TX 76049"
Alford Family Farm,localharvest.org/alford-family-farm-M71284,32.8504318,-95.7463568,"Location: 199 Private Road 6181 Emory, TX 75440"
P.O.P. Acres,localharvest.org/p-o-p-acres-M18186,31.9490462,-96.6166545,"Location: 8040 FM 642 Purdon, TX 76679"
Texas Organic Mushrooms,localharvest.org/texas-organic-mushrooms-M17453,,,Not found
"Parish Custom Beef, LLC",localharvest.org/parish-custom-beef-llc-M75843,32.7481097,-98.21688449999999,"Location: 3077 Pleasant Valley Road Mineral Wells, TX 76067"
Harmony Hollow Apiaries,localharvest.org/harmony-hollow-apiaries-M52935,,,Not found
Bee Space Apiaries,localharvest.org/bee-space-apiaries-M84147,33.03,-96.59,
Mars Hill Farm,localharvest.org/mars-hill-farm-M86431,32.59,-96.64,
Blase Family Farm,localharvest.org/blase-family-farm-M85931,32.94,-96.47,
Ginger McMillan,localharvest.org/ginger-mcmillan-M70686,32.5405375,-96.7206021,"Location: 118 Stainback ct. RED OAK, TX 75154"
KaJiN Farm,localharvest.org/kajin-farm-M23761,32.99619750000001,-96.2159245,"Location: 3221 CR 2508 Caddo Mills, TX 75135"
Meat Goats in DFW,localharvest.org/meat-goats-in-dfw-M83848,32.44,-97.19,
Cluckers Creek LLC,localharvest.org/cluckers-creek-llc-M85607,32.31,-96.91,
Farmer Ranch,localharvest.org/farmer-ranch-M86095,32.46,-96.18,
Dos Lobos Ranch LLC,localharvest.org/dos-lobos-ranch-llc-M85062,33.1,-97.52,
Dalusa Organic Ranch,localharvest.org/dalusa-organic-ranch-M46041,32.9315089,-95.8713542,"Location: 2755 Rains Cty Rd 1490 Point, TX 75472"
Good Earth Organic Farm,localharvest.org/good-earth-organic-farm-M404,33.2942917,-96.1952061,"Location: 8571 FM 272 Celeste, TX 75423"
Happy Life Ranch- Texas Edition,localharvest.org/happy-life-ranch-texas-edition-M86462,32.21,-96.25,
Hambone's Mercantile,localharvest.org/hambones-mercantile-M83759,,,Not found
Living Branch Farm,localharvest.org/living-branch-farm-M83863,,,Not found
Big G Wagyu Beef,localharvest.org/big-g-wagyu-beef-M85999,32.02,-97.06,
Star Ranch,localharvest.org/star-ranch-M84898,32.9,-97.79,
Applewood Grove,localharvest.org/applewood-grove-M80211,,,Not found
Southspoon Farms,localharvest.org/southspoon-farms-M76455,32.9303985,-95.5749558,"Location: 775 CR 1441 Yantis, TX 75497"
Merry Meadows,localharvest.org/merry-meadows-M86011,33.95,-96.62,
Four Winds Ranch,localharvest.org/four-winds-ranch-M81149,33.78,-96.02,
Hawkins Organic,localharvest.org/hawkins-organic-M54719,32.5978933,-95.2328189,"Location: 379 CR 3425 Hawkins, TX 75765"
Caddo Springs Farm,localharvest.org/caddo-springs-farm-M83978,32.05,-95.51,
Fisher Family Farm & Ranch,localharvest.org/fisher-family-farm-ranch-M61417,32.7823239,-96.7912838,"Location: Main St Dallas, TX 75201"
Bonton Farm-Works,localharvest.org/bonton-farm-works-M65774,32.74189,-96.7493687,"Location: 6905 Valentine St. Dallas, TX 75215"
The Log House Farm,localharvest.org/the-log-house-farm-M50371,32.7776617,-96.6865706,"Location: 7814 Forney Rd Dallas, TX 75227"
Texas Worm Ranch,localharvest.org/texas-worm-ranch-M35086,32.8843697,-96.6731427,"Location: 2636 National Circle Garland, TX 75041"
Urban Farm Co. by Dallas Urban Farms,localharvest.org/urban-farm-co-by-dallas-urban-farms-M66941,32.6968694,-96.8405856,"Location: 3939 South Polk Street #511 Dallas, TX 75224"
Blooms Because,localharvest.org/blooms-because-M83539,32.97,-96.88,
