farm_name,profile_url,latitude,longitude,street_address
Pure Source Farms LLC,localharvest.org/pure-source-farms-llc-M83603,,,"Location: 29415 Country Place Rd. Magnolia, TX 77355"
Wild Honey Box - (formerly Bee Wilde),localharvest.org/wild-honey-box-formerly-bee-wilde-M18100,,,"Location: 4963 Price Road Montgomery, TX 77316"
Grand G Ranch,localharvest.org/grand-g-ranch-M84989,30.72,-95.06,
Hope Farms Urban Agricultural Showcase & Training Center,localharvest.org/hope-farms-urban-agricultural-showcase-amp-training-center-M74453,,,"Location: 10401 Scott Street Houston, TX 77051"
Jolly Farms Chickens,localharvest.org/jolly-farms-chickens-M70650,,,"Location: 618 CR 192 Alvin, TX 77511"
Gold Ring Wagyu,localharvest.org/gold-ring-wagyu-M79512,30.06,-95.93,
Wild Turkey Farm,localharvest.org/wild-turkey-farm-M27180,,,Not found
Honest Herd LLC,localharvest.org/honest-herd-llc-M85822,29.71,-96.54,
Far Out Farm,localharvest.org/far-out-farm-M43386,,,"Location: 16198 FM 230 Lovelady, TX 75851"
The Last Organic Outpost,localharvest.org/the-last-organic-outpost-M5344,,,"Location: 711 Emile St Houston, TX 77020"
Bee2Bee Honey Collective,localharvest.org/bee2bee-honey-collective-M74937,,,"Location: 1615 Branard St HOUSTON, TX 77006"
Jolie Vue Farms,localharvest.org/jolie-vue-farms-M8970,,,"Location: 3320 Sunset Blvd Houston, TX 77005"
Bellaire Honey Company,localharvest.org/bellaire-honey-company-M59523,,,Not found
Verdegreens Farms,localharvest.org/verdegreens-farms-M79210,29.86,-95.43,
Circle J Meat,localharvest.org/circle-j-meat-M79775,29.83,-95.47,
Plant It Forward,localharvest.org/plant-it-forward-M66686,,,"Location: 4030 Willowbend Blvd Houston, TX 77025"
Rio Grande Organics,localharvest.org/rio-grande-organics-M24889,,,"Location: 5306 Hollister Houston, TX 77040"
Helderman Farms,localharvest.org/helderman-farms-M52458,,,"Location: Just South of the City Limits Pearland, TX 77584"
Law Ranch Cattle Company,localharvest.org/law-ranch-cattle-company-M30152,,,"Location: 16130 Miller Rd #1 Houston, TX 77049"
EcoGrow Farming,localharvest.org/ecogrow-farming-M75595,,,"Location: 4908 West Davis Road Rosharon, TX 77583"
Buster's Chickens,localharvest.org/busters-chickens-M16948,,,Not found
Grow-4Health,localharvest.org/grow-4health-M74935,,,"Location: Cherry Blossom Drive League City, TX 77573"
Bellecreek Farm,localharvest.org/bellecreek-farm-M23276,,,"Location: 4520 County Road 64 Rosharon, TX 77583"
Murdock's Country Place,localharvest.org/murdocks-country-place-M64687,,,"Location: 13527 Amanda dr Alvin, TX 77511"
Hammond Farm,localharvest.org/hammond-farm-M11370,,,"Location: 23652 James St. New Caney, TX 77357"
BZ Honey,localharvest.org/bz-honey-M72519,,,"Location: 504 E Main St. Tomball, TX 77375"
Daniel's Farm/Ranch,localharvest.org/daniels-farm-ranch-M84021,29.74,-95.82,
Alaiyo Farm,localharvest.org/alaiyo-farm-M67917,,,Not found
On the Acre,localharvest.org/on-the-acre-M75929,,,"Location: 1724 Oleander Dr. Dickinson, TX 77539"
Toms Bee Farm,localharvest.org/toms-bee-farm-M54157,,,"Location: 3536 N Morning Glory Dr. Santa Fe, TX 77517"
Blessings Ranch,localharvest.org/blessings-ranch-M73742,,,"Location: 20000 Bauer Hockley Rd Tomball, TX 77377"
Victoria's Natural Market,localharvest.org/victorias-natural-market-M24037,,,"Location: 20158 Bauer Hockley Road Tomball, TX 77377"
Kenz Henz,localharvest.org/kenz-henz-M54022,,,"Location: 15701 Fir Rd Santa Fe, TX 77517"
Liberty Provisions,localharvest.org/liberty-provisions-M71076,,,Not found
Spiral Sprouts of Houston,localharvest.org/spiral-sprouts-of-houston-M9040,,,Not found
Misty Blue Hills,localharvest.org/misty-blue-hills-M74062,,,Not found
