farm_name,profile_url,latitude,longitude,street_address
Wild Turkey Farm,localharvest.org/wild-turkey-farm-M27180,,,Not found
Bellaire Honey Company,localharvest.org/bellaire-honey-company-M59523,,,Not found
Buster's Chickens,localharvest.org/busters-chickens-M16948,,,Not found
Alaiyo Farm,localharvest.org/alaiyo-farm-M67917,,,Not found
Liberty Provisions,localharvest.org/liberty-provisions-M71076,,,Not found
Spiral Sprouts of Houston,localharvest.org/spiral-sprouts-of-houston-M9040,,,Not found
Misty Blue Hills,localharvest.org/misty-blue-hills-M74062,,,Not found
Pastured Steps Family Farm,localharvest.org/pastured-steps-family-farm-M75854,,,Not found
Texas Organic Mushrooms,localharvest.org/texas-organic-mushrooms-M17453,,,Not found
Harmony Hollow Apiaries,localharvest.org/harmony-hollow-apiaries-M52935,,,Not found
Hambone's Mercantile,localharvest.org/hambones-mercantile-M83759,,,Not found
Living Branch Farm,localharvest.org/living-branch-farm-M83863,,,Not found
Applewood Grove,localharvest.org/applewood-grove-M80211,,,Not found
Bishop Hill Farm Flowers,localharvest.org/bishop-hill-farm-flowers-M77604,,,Not found
Everbloom Fields,localharvest.org/everbloom-fields-M75483,,,Not found
"""Your Garden"" CSA",localharvest.org/your-garden-csa-M28087,,,Not found
Star Ranch Azle,localharvest.org/star-ranch-azle-M39705,,,Not found
Lonesome Star Farm,localharvest.org/lonesome-star-farm-M33899,,,Not found
Jazbac Farm,localharvest.org/jazbac-farm-M60570,,,Not found
Falling Star Farms,localharvest.org/falling-star-farms-M63473,,,Not found
Eat Your Greens! Organic Farm,localharvest.org/eat-your-greens-organic-farm-M76452,,,Not found
Kin Heritage Farm,localharvest.org/kin-heritage-farm-M54975,,,Not found
Utopia Aquaponics,localharvest.org/utopia-aquaponics-M68132,,,Not found
Two Happy Children Farm,localharvest.org/two-happy-children-farm-M29774,,,Not found
Fitzhugh Creek LLC Farm,localharvest.org/fitzhugh-creek-llc-farm-M49443,,,Not found
Eat Your Greens! Organic Farm,localharvest.org/eat-your-greens-organic-farm-M76452,,,Not found
Kin Heritage Farm,localharvest.org/kin-heritage-farm-M54975,,,Not found
Utopia Aquaponics,localharvest.org/utopia-aquaponics-M68132,,,Not found
Two Happy Children Farm,localharvest.org/two-happy-children-farm-M29774,,,Not found
Fitzhugh Creek LLC Farm,localharvest.org/fitzhugh-creek-llc-farm-M49443,,,Not found
Eat Your Greens! Organic Farm,localharvest.org/eat-your-greens-organic-farm-M76452,,,Not found
Rancho Ojo de Agua,localharvest.org/rancho-ojo-de-agua-M42697,,,Not found
Leafers Microgreens,localharvest.org/leafers-microgreens-M78298,,,Not found
Hanson Family Farm,localharvest.org/hanson-family-farm-M49531,,,Not found
Bluebonnet Chicken Ranch,localharvest.org/bluebonnet-chicken-ranch-M64689,,,Not found
Wild Harvest,localharvest.org/wild-harvest-M64853,,,Not found
Broken B Ranch,localharvest.org/broken-b-ranch-M3846,,,Not found
Wild-Pere Market,localharvest.org/wild-pere-market-M62797,,,Not found
TXStems,localharvest.org/txstems-M76171,,,Not found
Kandace Ehlinger,localharvest.org/kandace-ehlinger-M76804,,,Not found
Uncertain Farms,localharvest.org/uncertain-farms-M27045,,,Not found
Barndo Honey Co,localharvest.org/barndo-honey-co-M76441,,,Not found
SteeleFarms,localharvest.org/steelefarms-M30061,,,Not found
