farm_name,profile_url,latitude,longitude,street_address
Central Texas Farmers Co-op,localharvest.org/central-texas-farmers-co-op-M74330,29.8942825,-97.9810845,"Location: Central Texas between Austin/ San Antonio San Marcos, TX 78666"
The Rowdy Roost,localharvest.org/the-rowdy-roost-M83573,29.58,-97.73,
Eat Your Greens! Organic Farm,localharvest.org/eat-your-greens-organic-farm-M76452,,,Not found
Armadillo Gardens,localharvest.org/armadillo-gardens-M86257,29.45,-98.46,
Ahimsa Farm,localharvest.org/ahimsa-farm-M30325,29.9255705,-98.768165,"Location: 65 Cravey Road Waring, TX 78006"
"Sussex Farm and Ranch, LLC",localharvest.org/sussex-farm-and-ranch-llc-M85503,29.99,-98.93,
Better Days Gardens,localharvest.org/better-days-gardens-M85110,29.86,-97.6,
Gather & Deliver,localharvest.org/gather-amp-deliver-M80348,30.35,-98.15,
Geosmin Regenerative,localharvest.org/geosmin-regenerative-M83580,30.19,-97.8,
Green Gate Farms,localharvest.org/green-gate-farms-M15256,30.2857234,-97.63489299999999,"Location: 8254 Canoga Avenue Austin, TX 78724"
Munkebo Farm,localharvest.org/munkebo-farm-M37675,30.2608428,-97.48358809999999,"Location: 20828 Blake Manor Rd. Manor, TX 78653"
Holland Cattle Co.,localharvest.org/holland-cattle-co--M72554,30.6220917,-98.2428721,"Location: 4400 CR 340 Marble Falls, TX 78654"
Headlong Farm,localharvest.org/headlong-farm-M84907,30.36,-97.34,
Shudde Ranch Beef / PARKER CREEK RANCH,localharvest.org/shudde-ranch-beef-parker-creek-ranch-M6541,29.4423775,-98.48020749999999,"Location: Pearl Farmers Market 312 Pearl Parkway San Antonio, TX 78215"
Rancho Ojo de Agua,localharvest.org/rancho-ojo-de-agua-M42697,,,Not found
Heritage Tomatoes of San Antonio,localharvest.org/heritage-tomatoes-of-san-antonio-M81716,29.57,-98.46,
Ryan's Happy Hens,localharvest.org/ryans-happy-hens-M84440,29.52,-98.64,
Leafers Microgreens,localharvest.org/leafers-microgreens-M78298,,,Not found
Shady Falls Farm,localharvest.org/shady-falls-farm-M25437,29.2523948,-98.35969659999999,"Location: 17049 Shady Falls Elmendorf, TX 78112"
Hanson Family Farm,localharvest.org/hanson-family-farm-M49531,,,Not found
Bluebonnet Chicken Ranch,localharvest.org/bluebonnet-chicken-ranch-M64689,,,Not found
Wild Harvest,localharvest.org/wild-harvest-M64853,,,Not found
Ragels Goat Farm,localharvest.org/ragels-goat-farm-M23162,29.6687949,-98.2363455,"Location: 2850 Bunker St New Braunfels, TX 78132"
Miller Farms,localharvest.org/miller-farms-M32943,29.2864165,-98.8440682,"Location: 12730 Fm 471 South Lacoste, TX 78039"
Goatilicious LLC,localharvest.org/goatilicious-llc-M75036,29.6687949,-98.2363455,"Location: 2850 Bunker St New Braunfels, TX 78132-4523"
Struthoff Ranch Grass Fed Longhorn Beef,localharvest.org/struthoff-ranch-grass-fed-longhorn-beef-M83023,29.71,-98.29,
Broken B Ranch,localharvest.org/broken-b-ranch-M3846,,,Not found
Windmill Crest Farms,localharvest.org/windmill-crest-farms-M50283,29.4974564,-98.06490409999999,"Location: 5151 FM 775 Seguin, TX 78155"
Lonesome Wind Ranch,localharvest.org/lonesome-wind-ranch-M70717,29.2301535,-98.09828209999999,"Location: 1770 CR 305 Floresville, TX 78114"
Wild-Pere Market,localharvest.org/wild-pere-market-M62797,,,Not found
TXStems,localharvest.org/txstems-M76171,,,Not found
Kandace Ehlinger,localharvest.org/kandace-ehlinger-M76804,,,Not found
Vintage Heart Farm,localharvest.org/vintage-heart-farm-M60813,29.2737644,-98.03282589999999,"Location: 1700 County Road 332 Stockdale, TX 78160"
Texas Fresh Harvest Farm,localharvest.org/texas-fresh-harvest-farm-M75408,29.6469349,-98.9528838,"Location: 475 Lake Forest Road Pipe Creek, TX 78063"
Spice Farm,localharvest.org/spice-farm-M49748,29.6507152,-98.96010559999999,"Location: 733 Rio Ranchero Pipe Creek, TX 78063"
Uncertain Farms,localharvest.org/uncertain-farms-M27045,,,Not found
Good Ground Farm,localharvest.org/good-ground-farm-M75009,29.6525018,-98.96311779999999,"Location: 854 Rio Ranchero Pipe Creek, TX 78063"
My Fathers' Farm,localharvest.org/my-fathers-farm-M18648,29.5905335,-97.941738,"Location: 1722 Steffens Road Seguin, TX 78155"
Barndo Honey Co,localharvest.org/barndo-honey-co-M76441,,,Not found
braune farms,localharvest.org/braune-farms-M18157,29.6508407,-97.9853006,"Location: 1300 Link Road Seguin, TX 78155"
SteeleFarms,localharvest.org/steelefarms-M30061,,,Not found
Trew Regenerative,localharvest.org/trew-regenerative-M80275,29.68,-97.99,
Trinity Ranch,localharvest.org/trinity-ranch-M82307,29.62,-97.91,
Wholesome Harvest Farm,localharvest.org/wholesome-harvest-farm-M21220,29.47467,-97.8673204,"Location: 727 Capote Oaks Dr Seguin, TX 78155"
Harvest Time Farm Stand,localharvest.org/harvest-time-farm-stand-M38822,29.93876449999999,-98.2570338,"Location: 21910 FM 306 Canyon Lake, TX 78133"
Grassfield Farm,localharvest.org/grassfield-farm-M61398,29.3493488,-99.1426954,"Location: 1208 17th Street Hondo, TX 78861"
A Garden in Every Home,localharvest.org/a-garden-in-every-home-M64856,29.7453687,-99.0356089,"Location: 251 Lost Oak Bandera, TX 78003"
CY Farm & Distillery,localharvest.org/cy-farm-distillery-M82082,29.55,-97.85,
