farm_name,street_address,city,county,zip_code,latitude,longitude,website,date_collected,geometry,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON
Dragon City Farms,2435 Walnut Ridge Street,"Dallas, TX",Dallas,75229,32.8943,-96.8856,https://dragoncityfarms.com,6/29/26,POINT (-96.8856 32.8943),1,G4020,27590555914097,48113,48,113,01383842,Dallas,Dallas County,06,A,H1,2261553244,91821724,1563,+32.7664847,-096.7777649,+32.7669866,-096.7784238
Gardeners in Community Development,901 Greenbriar Ln,"Richardson, TX",Dallas/Collin,75080,32.9554,-96.7456,https://www.facebook.com/gardendallas/,6/29/26,POINT (-96.7456 32.9554),1,G4020,27590555914097,48113,48,113,01383842,Dallas,Dallas County,06,A,H1,2261553244,91821724,1563,+32.7664847,-096.7777649,+32.7669866,-096.7784238
GROW North Texas,1451 John West Rd,"Dallas, TX",Dallas,75228,32.8123,-96.6578,http://www.grownorthtexas.org,6/29/26,POINT (-96.6578 32.8123),1,G4020,27590555914097,48113,48,113,01383842,Dallas,Dallas County,06,A,H1,2261553244,91821724,1563,+32.7664847,-096.7777649,+32.7669866,-096.7784238
Restorative Farms,4500 Todd Street,"Dallas, TX",Dallas,75210,32.7681,-96.7325,https://www.restorativefarms.org,6/29/26,POINT (-96.7325 32.7681),1,G4020,27590555914097,48113,48,113,01383842,Dallas,Dallas County,06,A,H1,2261553244,91821724,1563,+32.7664847,-096.7777649,+32.7669866,-096.7784238
Sustainable Stems,7017 Pickrell Dr,"Dallas, TX",Dallas,75227,32.79003147,-96.69194687,https://sustainablestemsdfw.com,6/29/26,POINT (-96.69194687 32.79003147),1,G4020,27590555914097,48113,48,113,01383842,Dallas,Dallas County,06,A,H1,2261553244,91821724,1563,+32.7664847,-096.7777649,+32.7669866,-096.7784238
Opal's  Farm,2500 Lasalle St,"Fort Worth, TX",Tarrant,76111,32.75659382,-97.31155814,https://www.facebook.com/opalsfarm/,6/29/26,POINT (-97.31155814 32.75659382),3,G4020,275901921448120,48439,48,439,01384005,Tarrant,Tarrant County,06,A,H1,2241376178,99392439,2656,+32.7718353,-097.2911316,+32.7721191,-097.2912241
Joe's  Microgreens,7206 Shelton Rd,"Austin, TX",Travis,78725,30.26177419,-97.66616341,https://joesmicrogreens.com/,6/29/26,POINT (-97.66616341 30.26177419),2,G4020,27590377912845,48453,48,453,01384012,Travis,Travis County,06,A,H1,2575299585,79506870,2420,+30.3343599,-097.7818171,+30.2395263,-097.6910527
Urban Roots ,7651 Delwau Ln,"Austin, TX",Travis,78725,30.26312865,-97.66420595,https://urbanrootsatx.org/,6/29/26,POINT (-97.66420595 30.26312865),2,G4020,27590377912845,48453,48,453,01384012,Travis,Travis County,06,A,H1,2575299585,79506870,2420,+30.3343599,-097.7818171,+30.2395263,-097.6910527
Tecolote Farm,"16301 Decker Lake Rd,","Manor, TX",Travis,78653,30.25777345,-97.56395878,http://www.tecolotefarm.net,6/29/26,POINT (-97.56395878 30.25777345),2,G4020,27590377912845,48453,48,453,01384012,Travis,Travis County,06,A,H1,2575299585,79506870,2420,+30.3343599,-097.7818171,+30.2395263,-097.6910527
Ivy Leaf Farms,4506 Fuqua St,"Houston, TX",Harris,77048,29.62,-95.3582,https://www.ivyleaffarms.com/,6/29/26,POINT (-95.3582 29.62),4,G4020,27590325947046,48201,48,201,01383886,Harris,Harris County,06,A,H1,4421991136,180517819,2814,+29.8573332,-095.3920016,+29.8572730,-095.3930371
Finca Tres Robles,5715 Canal St,"Houston, TX",Harris,77011,29.7454759,-95.3165174,https://smallplaces.org/places/fincatresrobles/,6/29/26,POINT (-95.3165174 29.7454759),4,G4020,27590325947046,48201,48,201,01383886,Harris,Harris County,06,A,H1,4421991136,180517819,2814,+29.8573332,-095.3920016,+29.8572730,-095.3930371
