osm_id,fclass,name,county,COUNTYFP,lat,lon,house_number,street,city,zipcode,full_address
42638984,allotments,Sunshine Community Gardens,Travis,453,30.31765947550858,-97.7361830571753,4814,Sunshine Drive,Austin,78756,"4814 Sunshine Dr, Austin, TX 78756, USA"
193018598,allotments,,Harris,201,29.646539386535714,-95.36750791985213,10401,Scott Street,Houston,77051,"10401 Scott St, Houston, TX 77051, USA"
392540887,farmland,"Sire, Inc.",Harris,201,30.050273615152822,-95.3632165352984,4610,Sloangate Drive,Spring,77373,"4610 Sloangate Dr, Spring, TX 77373, USA"
452081013,allotments,Emerald Wood Community Garden,Travis,453,30.212851050077767,-97.77928449480669,611,Emerald Wood Drive,Austin,78745,"611 Emerald Wood Dr, Austin, TX 78745, USA"
462420690,allotments,The Little Victory Community Garden & Compost Site,Bexar,029,29.49809311216199,-98.61500383906184,6440,Evers Road,Leon Valley,78238,"6440 Evers Rd, Leon Valley, TX 78238, USA"
463149246,farmland,Bonton Farms,Dallas,113,32.73460669801406,-96.75397798578334,6914,Canaan Street,Dallas,75215,"6914 Canaan St, Dallas, TX 75215, USA"
469544348,allotments,Deep Roots Garden,Travis,453,30.272937827614605,-97.7516985116155,717,Henderson Street,Austin,78703,"717 Henderson St, Austin, TX 78703, USA"
521947425,allotments,,Travis,453,30.314275992438898,-97.6736818435452,2803,Loyola Lane,Austin,78723,"2803 Loyola Ln, Austin, TX 78723, USA"
549493058,allotments,,Harris,201,29.71919032492268,-95.34749575689537,4277,Wheeler Avenue,Houston,77004,"4277 Wheeler Ave, Houston, TX 77004, USA"
560779245,allotments,Adelphi Acre Community Garden,Travis,453,30.42093960435058,-97.71548244983046,3701 1/2,Adelphi Lane,Austin,78759,"3701 1/2 Adelphi Ln, Austin, TX 78759, USA"
584028523,allotments,Festival Beach Community Garden,Travis,453,30.253727347299318,-97.73486009228087,35,Waller Street,Austin,78702,"35 Waller St, Austin, TX 78702, USA"
586407946,allotments,,Travis,453,30.353411892120885,-97.68265968050069,1201 1/2,East Rundberg Lane,Austin,78753,"1201 1/2 E Rundberg Ln, Austin, TX 78753, USA"
588733740,farmland,Johnson's Backyard Garden,Travis,453,30.235008859629495,-97.65666899534817,,,Austin,,"68PV+28 Austin, TX, USA"
605033065,allotments,,Harris,201,29.819656595029304,-95.61174282303114,3535,War Memorial Street,Houston,77084,"3535 War Memorial St, Houston, TX 77084, USA"
613594323,allotments,,Harris,201,29.82034656545287,-95.61128313654649,3503,War Memorial Street,Houston,77084,"3503 War Memorial St, Houston, TX 77084, USA"
619273811,allotments,,Travis,453,30.408509857251328,-97.72487706617923,11500,North Mopac Expressway,Austin,78759,"11500 N Mopac Expy, Austin, TX 78759, USA"
643879167,allotments,,Harris,201,29.88549447676846,-95.67435894874488,17411,Eastwood Circle,Houston,77095,"17411 Eastwood Cir, Houston, TX 77095, USA"
663641802,allotments,,Bexar,029,29.447093150126015,-98.66800510277433,1210,Hunt Lane,San Antonio,78251,"1210 Hunt Ln, San Antonio, TX 78251, USA"
668694649,farmland,Tree Farm,Harris,201,29.783343481407815,-95.63867729409023,13635,Katy Freeway,Houston,77079,"13635 Katy Fwy, Houston, TX 77079, USA"
701979523,farmland,Florence Ranch,Dallas,113,32.82394880956999,-96.61743682649104,1424,Barnes Bridge Road,Mesquite,75150,"1424 Barnes Bridge Rd, Mesquite, TX 75150, USA"
702541181,allotments,,Dallas,113,32.95683497639892,-96.77685271388691,7667,Roundrock Road,Dallas,75248,"7667 Roundrock Rd, Dallas, TX 75248, USA"
709063190,allotments,,Tarrant,439,32.75945649666582,-97.46064423547307,8215,White Settlement Road,White Settlement,76108,"8215 White Settlement Rd, White Settlement, TX 76108, USA"
724411856,allotments,,Travis,453,30.293242240683902,-97.69725775110149,4105 1/2,Vaughan Street,Austin,78723,"4105 1/2 Vaughan St, Austin, TX 78723, USA"
727660508,allotments,All Saints' Community Garden,Tarrant,439,32.740304665658215,-97.39508239571244,5001,Dexter Avenue,Fort Worth,76107,"5001 Dexter Ave, Fort Worth, TX 76107, USA"
732228997,allotments,,Harris,201,29.842896787713094,-95.72785140201319,5031,Grove Square Court,Katy,77449,"5031 Grove Square Ct, Katy, TX 77449, USA"
749919609,allotments,Jefferson Community Garden,Bexar,029,29.46300859602314,-98.53941855711889,2350,West Gramercy Place,San Antonio,78201,"2350 W Gramercy Pl, San Antonio, TX 78201, USA"
781627685,farmland,Heritage Farm,Harris,201,30.069633574134933,-95.73977547516236,20301,Mueschke Road,Tomball,77377,"20301 Mueschke Rd, Tomball, TX 77377, USA"
842036245,allotments,,Travis,453,30.34431736533978,-97.72057133379668,7605,Wildcat Pass,Austin,78757,"7605 Wildcat Pass, Austin, TX 78757, USA"
842036246,allotments,,Travis,453,30.344297065931965,-97.72058358645502,7605,Wildcat Pass,Austin,78757,"7605 Wildcat Pass, Austin, TX 78757, USA"
842036247,allotments,,Travis,453,30.344277600000297,-97.72059650000013,7605,Wildcat Pass,Austin,78757,"7605 Wildcat Pass, Austin, TX 78757, USA"
842036248,allotments,,Travis,453,30.344243865934324,-97.72061753655092,7615 1/2,Wildcat Pass,Austin,78757,"7615 1/2, 7615 1/2 Wildcat Pass, Austin, TX 78757, USA"
842036249,allotments,,Travis,453,30.344224650000292,-97.72062975000011,7615 1/2,Wildcat Pass,Austin,78757,"7615 1/2, 7615 1/2 Wildcat Pass, Austin, TX 78757, USA"
842036250,allotments,,Travis,453,30.3442054000003,-97.72064195000011,7615 1/2,Wildcat Pass,Austin,78757,"7615 1/2, 7615 1/2 Wildcat Pass, Austin, TX 78757, USA"
842036251,allotments,,Travis,453,30.3441874500003,-97.7206062000001,7615 1/2,Wildcat Pass,Austin,78757,"7615 1/2, 7615 1/2 Wildcat Pass, Austin, TX 78757, USA"
842036252,allotments,,Travis,453,30.344207450000305,-97.72059390000013,7615 1/2,Wildcat Pass,Austin,78757,"7615 1/2, 7615 1/2 Wildcat Pass, Austin, TX 78757, USA"
842036253,allotments,,Travis,453,30.344226348985707,-97.72058201588253,7605,Wildcat Pass,Austin,78757,"7605 Wildcat Pass, Austin, TX 78757, USA"
842036254,allotments,,Travis,453,30.34425973406864,-97.72056011354519,7605,Wildcat Pass,Austin,78757,"7605 Wildcat Pass, Austin, TX 78757, USA"
842036255,allotments,,Travis,453,30.344278850000304,-97.72054820000011,7605,Wildcat Pass,Austin,78757,"7605 Wildcat Pass, Austin, TX 78757, USA"
842036256,allotments,,Travis,453,30.344298565934324,-97.72053583655092,7605,Wildcat Pass,Austin,78757,"7605 Wildcat Pass, Austin, TX 78757, USA"
842036257,allotments,,Travis,453,30.3443180500003,-97.72052370000013,7605,Wildcat Pass,Austin,78757,"7605 Wildcat Pass, Austin, TX 78757, USA"
861099662,farmland,Wunderlich Farm Interactive History Park,Harris,201,30.029824261723654,-95.54790483351641,8039,Ash Valley Drive,Spring,77379,"8039 Ash Valley Dr, Spring, TX 77379, USA"
