name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude ,date_collected,website,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON
Garcia Street Urban Farm,"218 Garcia St, San Antonio, TX 78203, USA",29.4177657,-98.4442612,https://www.alamo.edu/sac/about-sac/college-offices/eco-centro/eco-centro-garcia-street-urban-farm/,"establishment, point_of_interest",ChIJxVZ3_PVZXIYRo0moK73xFaU,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bexar County AgriLife Urban Farm,"1615 Sherman, San Antonio, TX 78202, USA",29.4343668,-98.4531768,https://bexar-tx.tamu.edu/contact/,"establishment, local_government_office, point_of_interest",ChIJW5CQT1v1XIYRcC0zE8Sq9PQ,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Farmer's Market Association,"100 Jackson Keller Rd, San Antonio, TX 78216, USA",29.493349,-98.4947833,http://sanantoniofarmersmarket.org/,"establishment, point_of_interest",ChIJI_ovSbz1XIYRy79Dqml41kQ,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make Ready Market,"203 8th St, San Antonio, TX 78215, USA",29.4332211,-98.4834989,https://makereadymarket.com/,"establishment, food, point_of_interest, restaurant",ChIJUUzO9s31XIYRBY6jm8yL1gU,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicho Boys Fruit Market,"1631 S Laredo St, San Antonio, TX 78207, USA",29.4116504,-98.5103549,http://www.chichoboys.com/,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJ06Y1FsZYXIYRmFdm2lTGpk8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elsewhere Garden Bar & Kitchen,"103 E Jones Ave, San Antonio, TX 78215, USA",29.4362751,-98.480581,http://www.elsewheretexas.com/,"bar, establishment, food, point_of_interest, restaurant",ChIJ6Yjw6Iz1XIYRKShmHy0Qz_U,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Botanical Garden,"555 Funston Pl, San Antonio, TX 78209, USA",29.4576699,-98.4574396,https://sabgtx.org/,"establishment, point_of_interest, tourist_attraction",ChIJZeWSYrz1XIYR7_h51WlHYSQ,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Bexar Farm,"14997 FM 1346, St Hedwig, TX 78152, USA",29.3788453,-98.1879184,https://www.greenbexarfarm.com/,"establishment, point_of_interest",ChIJN1dYeNjpXIYRdifzW-PEndI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Plaza Center,"151 S San Saba St, San Antonio, TX 78207, USA",29.4252213,-98.50031,Not listed,"establishment, point_of_interest, shopping_mall",ChIJzRsrr0xfXIYRMO4W5GZS06w,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fanick's Garden Center,"1025 Holmgreen Rd, San Antonio, TX 78220, USA",29.4070805,-98.3991807,http://www.fanicknursery.com/,"establishment, general_contractor, point_of_interest, store",ChIJ_4zwicr2XIYRh_fSfHqpkS8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
