name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude ,date_collected,website,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON
Bhakti Urban Farm,"5415 Wheatley St, Houston, TX 77091, USA",29.8451,-95.430974,https://bhaktiurbanfarm.org/,"establishment, point_of_interest",ChIJ8bafqs7HQIYRC1jkAoeFhpg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope Farms Urban Agricultural Showcase and Training Center - Recipe for Success,"10401 Scott St, Houston, TX 77051, USA",29.6464207,-95.3674515,https://hopefarmshtx.org/,"establishment, point_of_interest",ChIJ34nmSxeVQIYRoRhZ4JnYa9M,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finca Tres Robles,"5715 Canal St, Houston, TX 77011, USA",29.7457197,-95.3156578,http://www.smallplaces.org/,"establishment, point_of_interest",ChIJf6jWI5y-QIYRaS3zCwz0TSc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montrose Urban Food Farm,"1914 W Clay St, Houston, TX 77019, USA",29.755287,-95.4027892,Not listed,"establishment, point_of_interest",ChIJYc04aFPBQIYRu67UUuXwq7g,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Harvest,"1911 W 34th St, Houston, TX 77018, USA",29.8170086,-95.4335405,https://www.urbanharvest.org/,"establishment, point_of_interest",ChIJSeCa6du-QIYRPcPBRiTTifU,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blodgett Urban Gardens,"7442 Park Pl Blvd, Houston, TX 77087, USA",29.6847205,-95.2937676,Not listed,"establishment, point_of_interest",ChIJgQn0wPW9QIYResr3Yv6T6Us,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verdegreens Farms,"1208 Bland St, Houston, TX 77091, USA",29.86114719999999,-95.4315871,http://www.verdegreens.com/,"establishment, point_of_interest",ChIJGYR6WgHHQIYRUMcXPhCi5A8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant It Forward Farms @ Braeswood Church,"10595 Fondren Rd, Houston, TX 77096, USA",29.6666517,-95.50837810000002,https://plantitforward.farm/,"establishment, point_of_interest",ChIJWR8DZdrpQIYR_HQ6QPoESck,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moonflower Farms & Technology Center,"3805 Fuqua St, Houston, TX 77047, USA",29.6127128,-95.3609035,http://www.moonflowerfarms.com/,"establishment, point_of_interest",ChIJbel5SZaVQIYRhMsTq6NHN-U,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant It Forward Farms @ University of St Thomas,"1318 Sul Ross St, Houston, TX 77006, USA",29.738083,-95.3955299,https://plantitforward.farm/,"establishment, point_of_interest",ChIJWYdpOZ3AQIYRhOIfad70n6A,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Harvest Farms LLC,"3511 Pinemont Dr A1, Houston, TX 77018, USA",29.8407721,-95.4327833,http://www.southernharvestfarms.com/,"establishment, point_of_interest",ChIJzxkjOJ3rQIYRUVmLj1EJ028,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Greenly,"13823 Cantwell Dr, Houston, TX 77014, USA",29.9691931,-95.436834,Not listed,"establishment, point_of_interest",ChIJUV3rAdrLQIYReFcB5ZqLZwA,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theiss Farms Market,"17045 Stuebner Airline Rd, Spring, TX 77379, USA",30.0233553,-95.5276641,http://theissfarmsmarket.com/,"establishment, point_of_interest",ChIJge7yqSPNQIYRcwikDcxISq8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heights Mercantile,"714 Yale St, Houston, TX 77007, USA",29.7838703,-95.3986266,http://heightsmercantile.com/,"establishment, point_of_interest, shopping_mall",ChIJWcnr41nHQIYRSBL3sLo4AfA,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Square Park,"301 Milam St, Houston, TX 77002, USA",29.7626451,-95.3623608,http://marketsquarepark.com/,"establishment, park, point_of_interest, tourist_attraction",ChIJ84Jv4S-_QIYRrPnSA2Vagik,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleanora's Market,"2120 Ella Blvd, Houston, TX 77008, USA",29.8050444,-95.4287583,https://www.facebook.com/Eleanoras-Market-LLC-122456951641372/,"establishment, point_of_interest",ChIJi-EwzQTHQIYRW1gUKGFCICE,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
