name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude ,date_collected,website,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON
Tabor Farms,"3400 Village Creek Rd, Fort Worth, TX 76105, USA",32.7125883,-97.2504882,https://www.facebook.com/people/Tabor-Farms/100085857597478/,"establishment, point_of_interest",ChIJa2qdxlB7ToYRe7bIf1U05Yc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opal's Farm,"2500 Lasalle St, Fort Worth, TX 76111, USA",32.7543407,-97.3105271,http://www.unityunlimited.org/,"establishment, point_of_interest",ChIJxzRig5RxToYRu-02Qx59mEo,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Barn (formerly Elizabeth Anna's Old World Garden),"2825 8th Ave, Fort Worth, TX 76110, USA",32.7104741,-97.3434287,http://thebarn.world/,"establishment, general_contractor, point_of_interest, store",ChIJyRm1SoxxToYRnP4XZuBQZ3g,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mushroom Street Farms,"8001 Valcasi Dr Ste 101, Arlington, TX 76001, USA",32.6155556,-97.1580556,https://www.mushroom.st/,"establishment, food, health, point_of_interest, store",ChIJt75Sy5thToYRVN6Qe0QLfzY,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viva City,"2825 8th Ave #3043, Fort Worth, TX 76110, USA",32.7103924,-97.3434234,https://www.vivacity.market/,"establishment, food, general_contractor, grocery_or_supermarket, point_of_interest, store",ChIJAQAQtY1xToYR_JPOkSlIqcY,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Fork Garden Market,"2932 Marquita Dr, Fort Worth, TX 76116, USA",32.7314435,-97.4438708,https://www.thegardenmarketfw.com/,"establishment, home_goods_store, point_of_interest, store",ChIJhxLWW80NToYRAqp2z3N5HWo,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Ground NRH Community Garden,"5301-5409 FM 1938, North Richland Hills, TX 76180, USA",32.8449582,-97.2150381,http://www.nrhcommunitygarden.com/,"establishment, point_of_interest",ChIJ6_r6sPN4ToYRzXS6Li7Bc1Y,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Worth Community Market,"105 S Main St, Fort Worth, TX 76104, USA",32.7433397,-97.3256295,https://www.facebook.com/fortworthcommunitymarket/?http_ref=eyJ0cyI6MTc4MTQ0ODg4OTAwMCwiciI6IiJ9,"establishment, point_of_interest",ChIJt-JXYwBxToYRWNoe4iHmNcY,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarrant County Master Gardeners Community Demonstration Garden,"1801 Circle Dr, Fort Worth, TX 76119, USA",32.6735577,-97.3080045,https://www.tarrantmg.org/demo_garden.html,"establishment, point_of_interest",ChIJsYM7Sc1vToYRauwHITskqQk,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZaGardens Market,"5555 Richardson St, Fort Worth, TX 76119, USA",32.7123725,-97.2358111,http://zagardensmarket1.godaddysites.com/,"establishment, point_of_interest",ChIJzywcCQd7ToYRrPHZqIWeWFI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansfield Farm and Cottage Market,"703 E Broad St, Mansfield, TX 76063, USA",32.5649508,-97.1347178,http://www.mtxfcm.com/,"establishment, point_of_interest",ChIJV5CA_YthToYRrHwx2FAEeMM,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Worth Public Market,"1400 Henderson St, Fort Worth, TX 76102, USA",32.7446173,-97.3380689,https://www.fortworthpublicmarket.com/,"bar, cafe, establishment, food, point_of_interest, restaurant",ChIJ2Q9iGCRxToYRKHxbPAsx69M,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Flower Market On 7th,"2733 W 7th St, Fort Worth, TX 76107, USA",32.7506748,-97.3561245,http://www.theflowermarketon7th.com/,"establishment, florist, point_of_interest, store",ChIJT8TwpuBzToYRDx7ccLQqvps,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmer's Market Precut,"2557 NE 33rd St, Fort Worth, TX 76111, USA",32.805571,-97.3140209,Not listed,"establishment, point_of_interest",ChIJYUTUeeR2ToYRUkVkxaQpGMI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Harden at Public Market,"1440 Henderson St, Fort Worth, TX 76102, USA",32.7441936,-97.3382308,https://thehardenatpublicmarket.com/,"establishment, point_of_interest, real_estate_agency",ChIJ64D1OhxxToYRUuAGVJ3t_Yc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nativo Gardens,"1701 White Settlement Rd, Fort Worth, TX 76107, USA",32.75867,-97.3442902,http://www.nativotx.com/,"establishment, general_contractor, point_of_interest, store",ChIJHy5tu6C4uScRFk-EilJPTiI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abundant Harvest Hydroponics & Organics,"3101 Avenue E, Arlington, TX 76011, USA",32.7571817,-97.0521129,http://www.abhydro.com/,"establishment, point_of_interest, store",ChIJJ-LSKgOHToYRsyQ6k9vLiLE,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caged Tomato,"2732 Shamrock Ave #108, Fort Worth, TX 76107, USA",32.7633454,-97.3560025,http://www.cagedtomato.com/,"establishment, point_of_interest, store",ChIJ91rUlfxzToYRA8Jv5sgV9F8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Phoenix Farms,"900 N Walnut Creek Dr, Mansfield, TX 76063, USA",32.5773172,-97.1321099,Not listed,"establishment, point_of_interest",ChIJAQCQyKZhToYRCaAaXH47LWw,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timberview Farmstead,"4274 Timberview Dr, Fort Worth, TX 76140, USA",32.6272985,-97.2538744,https://timberviewfarmstead.com/,"establishment, point_of_interest",ChIJx4GSMu5lToYRnRIqii1H1GQ,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grow Plant Shop,"4800 Camp Bowie Blvd, Fort Worth, TX 76107, USA",32.7389852,-97.391517,http://www.growplantshop.com/,"establishment, point_of_interest",ChIJZbY3UgNxToYRqeZFfyxujiM,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moreno Plant Farms,"7297 Remington Rd, Mansfield, TX 76063, USA",32.5680175,-97.1829091,Not listed,"establishment, point_of_interest, store",ChIJAbpO1YlnToYR-MDmVwiRtGw,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Greenhouse Co,"812 E Northside Dr, Fort Worth, TX 76102, USA",32.7778537,-97.3384187,http://www.texasgreenhouse.com/,"establishment, food, point_of_interest",ChIJXwGOU7J2ToYRIlqBFfjCz5k,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green's Produce and Plants,"3001 W Arkansas Ln, Arlington, TX 76016, USA",32.7072367,-97.1547607,https://greensproduce.com/,"establishment, food, general_contractor, grocery_or_supermarket, point_of_interest, store",ChIJW0HSzMd8ToYR0Y8yFT6qEdM,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claytonhill Greenhouse Co LLC,"1927 Golden Heights Rd Ste 410, Fort Worth, TX 76177, USA",32.9341915,-97.3310778,https://www.claytonhill.com/,"establishment, general_contractor, point_of_interest",ChIJscO5UbrZTYYRojY1EtbstBU,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claytonhill Greenhouse,"1045 Falcon Creek Dr, Kennedale, TX 76060, USA",32.6354804,-97.1950706,http://www.claytonhill.com/,"establishment, food, point_of_interest",ChIJcZVHTm9kToYRJdQJX1RoRoQ,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fifth Avenue Greenhouses Inc.,"1615 5th Ave, Fort Worth, TX 76104, USA",32.7272605,-97.3387527,http://www.fagreenhouses.com/,"establishment, point_of_interest",ChIJT5xnDp1xToYRsbzef8dBff4,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weston Gardens In Bloom, Inc","8101 Anglin Dr, Fort Worth, TX 76140, USA",32.6363159,-97.2521431,http://www.westongardens.com/,"establishment, general_contractor, point_of_interest, store",ChIJraXRrptlToYRHMym2LiQ2X8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Village Farm,"2901 Northern Cross Blvd #121, Fort Worth, TX 76137, USA",32.836599,-97.306802,Not listed,"establishment, point_of_interest",ChIJu7I3abN3ToYRlmMTgCO4dDQ,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
