name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude_1,date_collected,website,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON,llm_result
Elmwood Farm,"1014 Nolte Dr, Dallas, TX 75208, USA",32.733665,-96.839587,https://www.elmwoodfarm.co/,"establishment, point_of_interest",ChIJU0-cis2bToYRyZtlm5ZeI_o,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{
  ""website_found"": true,
  ""is_farm"": true,
  ""acres_not_listed"": false,
  ""more_5_acres"": false,
  ""social_media_found"": true,
  ""sells_produce"": ""evidence found"",
  ""sells_only_flowers_or_honey"": false,
  ""evidence"": ""Among city people, there is a growing awareness that sane and healthy agriculture requires an informed urban constituency. There is hope."",
  ""classification"": """"
}"
Joppy Momma's Farm,"7728 Carbondale St, Dallas, TX 75216, USA",32.7167069,-96.7508318,https://joppymommas.org/,"establishment, point_of_interest",ChIJ83XUCMSXToYRGSEJdqmd8Qo,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Hatcher Station Training Farm,"4500 Todd St, Dallas, TX 75210, USA",32.766178,-96.7441991,http://www.restorativefarms.org/,"establishment, point_of_interest",ChIJIUgpTvSjToYRBuHzeEgdWuw,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": ""Our goal is to empower individuals with the skills they need to break the cycle of poverty and contribute to a healthier, more resilient community."", ""classification"": """"}"
Hunnicut Farm,"6532 Hunnicut Rd, Dallas, TX 75227, USA",32.779563,-96.7196785,Not listed,"establishment, point_of_interest",ChIJtytHsQ6jToYR1hwp3WaBf5E,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Since the provided website is missing, I will search for an official website or social media.

{""name"": ""web_fetch"", ""parameters"": {""url"":""https://www.facebook.com/""}}"
Bonton Farms,"6911 Bexar St, Dallas, TX 75215, USA",32.73473450000001,-96.7537576,http://bontonfarms.org/,"establishment, point_of_interest",ChIJn7-J6wuYToYRL2NAvMPqb8k,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": ""Fresh produce is always for sale in our Farmer\u2019s Market at 6911 Bexar St."", ""classification"": """"}"
Deep Ellum Urban Gardens,"403 S Good Latimer Expy, Dallas, TX 75226, USA",32.7812813,-96.7861767,https://m.facebook.com/Deepellumurbangardens/,"establishment, point_of_interest",ChIJ_dWKR-eYToYRZZFq0tCCTic,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The HTML code provided appears to be a snippet from a Facebook post, specifically the SVG image used as the profile picture for Deep Ellum Urban Gardens | Dallas TX. The SVG code defines a complex path that represents a floral pattern with a mix of linear and radial gradients.

Here's a breakdown of the different elements:

*   **defs**: This element contains definitions for custom shapes and styles.
    *   **radialGradient**: This gradient is used to create a soft, pastel effect. It has an ID of `paint1_radial_15251_63610` and is defined with two stops: one at offset 0.5637 with color #E11731 and stop-opacity 0, and another at offset 1 with the same color but stop-opacity 0.1.
    *   **linearGradient**: This gradient is used to create a darker, more muted effect. It has an ID of `paint0_linear_15251_63610` and is defined with three stops: one at offset 0.5001 with color #FF74AE, another at offset 1 with color #FA2E3E, and the third with color #FF5758.
*   **clipPath**: This element defines a clipping path for the SVG image. It has an ID of `clip0_15251_63610` and contains a single path that sets the fill to white.

Overall, this code snippet is used to create a visually appealing profile picture for Deep Ellum Urban Gardens | Dallas TX, featuring a delicate floral pattern with soft pastel colors and darker accents."
Samuell Farm,"100 US-80, Mesquite, TX 75149, USA",32.7860749,-96.5842866,https://www.dallasparks.org/Facilities/Facility/Details/Samuell-East-Farm-648,"establishment, park, point_of_interest",ChIJ-ShZu4-lToYRcylZzhNHz30,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{
  ""website_found"": true,
  ""is_farm"": true,
  ""acres_not_listed"": false,
  ""more_5_acres"": false,
  ""social_media_found"": true,
  ""sells_produce"": ""evidence found"",
  ""sells_only_flowers_or_honey"": false,
  ""evidence"": ""The Outdoor Adventures program provides several activities in the park including kayaking, fishing, mountain biking, archery, geocaching, outdoor education and more."",
  ""classification"": """"
}"
Texas Trees Foundation Urban Tree Farm,"Parking, 12800 Abrams Rd Lot D, Dallas, TX 75243, USA",32.9230424,-96.7347579,http://www.texastrees.org/,"establishment, point_of_interest",ChIJ4R0VoJMfTIYRYMVp1N9VnRI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": false, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Bonton Farms Extension,"12400 Ravenview Rd, Dallas, TX 75253, USA",32.694169,-96.603067,http://www.bontonfarms.org/,"establishment, point_of_interest",ChIJg91ZoOy6ToYRO4ne1iLt44A,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{
    ""website_found"": true,
    ""is_farm"": true,
    ""acres_not_listed"": false,
    ""more_5_acres"": true,
    ""social_media_found"": false,
    ""sells_produce"": ""evidence found"",
    ""sells_only_flowers_or_honey"": false,
    ""evidence"": ""\""Fresh produce is always for sale in our Farmer\u2019s Market at 6911 Bexar St.\"", \""We have volunteer hours Tuesdays - Fridays. If you have any questions or want to inquire about a day please email volunteer@bontonfarms.org."", 
    ""classification"": """"
}"
Gardner Brother Farms,"2636 Walnut Hill Ln, Dallas, TX 75220, USA",32.8792981,-96.8890047,Not listed,"establishment, point_of_interest",ChIJez7OWr-YToYRxegAA6upHTs,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": false, ""is_farm"": true, ""acres_not_listed"": true, ""more_5_acres"": true, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
USDA Urban Service Center - Agriculture,"3102 Maple Ave #100, Dallas, TX 75201, USA",32.7991514,-96.8079183,http://www.farmers.gov/,"establishment, point_of_interest",ChIJISCregCZToYRzzcb9vhUGyk,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
Eden's Organic Garden Center & CSA Farm,"4710 Pioneer Rd, Balch Springs, TX 75180, USA",32.7058244,-96.6053968,http://www.edensorganicgardencenter.com/,"establishment, point_of_interest, store",ChIJ45xm7cC6ToYRjG_NnSXH-Fs,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": false, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": ""Market Day at Eden's REAL Farmers! REAL Food! Grown with Integrity!"", ""classification"": """"}"
Taylor Farms,"1171 N Cockrell Hill Rd, Dallas, TX 75211, USA",32.7507433,-96.8922056,http://www.taylorfarms.com/,"establishment, point_of_interest, storage",ChIJVVVVVeWaToYRdoYkAeK_Tsw,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence found"", ""sells_only_flowers_or_honey"": false, ""evidence"": ""Taylor Farms: Leading Producer of Healthy Salads & Fresh Foods"", ""classification"": """"}"
Market Provisions,"1451 John West Rd, Dallas, TX 75228, USA",32.8076164,-96.6928087,http://marketprovisions.org/,"establishment, food, point_of_interest, store",ChIJvbUKj-GYToYRepfkgxFKEIA,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": false, ""is_farm"": true, ""acres_not_listed"": false, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
The Garden Dallas,"111 Oak Lawn Ave, Dallas, TX 75207, USA",32.7903968,-96.8250878,http://thegardendallas.com/,"bar, establishment, food, point_of_interest, restaurant",ChIJV00_kFeZToYREkF9vL-gsyc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""website_found"": true, ""is_farm"": false, ""acres_not_listed"": true, ""more_5_acres"": false, ""social_media_found"": true, ""sells_produce"": ""evidence not found"", ""sells_only_flowers_or_honey"": false, ""evidence"": """", ""classification"": """"}"
